ID,_Type,_Name,_Summary,_Descript,_AchievePoint,_Icon,_IconIndex,_Mission1,_Mission2,_Mission3,_Mission4,_Mission5,_Mission6,_Mission7,_Mission8,_Reward_ID1,_Reward_Rare1,_Reward_Point1,_Reward_Count1,_Reward_ID2,_Reward_Rare2,_Reward_Point2,_Reward_Count2,_Reward_ID3,_Reward_Rare3,_Reward_Point3,_Reward_Count3,_Reward_ID4,_Reward_Rare4,_Reward_Point4,_Reward_Count4,_Reward_Choice
1,1,征服華納海姆,"消滅花, 夢, 月亮之路副本的Boss!","打倒花之路的莉莉, 夢之路的卡茲諾, 月亮之路泰勒,成為征服者吧!",90,10001315,101,100114,100115,100116,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2,1,征服世界樹,打倒尼克胡德&奧丁,"打倒世界樹的尼克胡德和奧丁,成為征服者吧!",90,10001315,101,100117,100118,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
3,1,征服伊米勒研究所,打倒艾溫 & 艾爾梅!,"打倒守護著伊米勒研究所的艾溫和艾爾梅,成為征服者吧!",90,10001315,101,100001,100002,0,0,0,0,0,0,120100203,1,250,1,60100204,1,250,1,0,1,0,0,0,1,0,0,1
4,1,征服星星搖籃,打倒魯茲曼 & 提修斯!,"打倒星星搖籃8人副本中的魯茲曼和提修斯,成為征服者吧!",80,10001315,101,100003,100004,0,0,0,0,0,0,160600103,1,250,1,0,1,0,0,0,1,0,0,0,1,0,0,1
5,1,征服崩壞之塔,打倒尼奧爾德!,"打倒崩壞之塔最底層的尼奧爾德,成為征服者吧!",85,10001315,101,100005,0,0,0,0,0,0,0,164002504,1,250,1,164502504,1,250,1,0,1,0,0,0,1,0,0,1
6,1,征服深夜餐廳,打倒MD!,"打倒深夜餐廳的MD,成為征服者吧!",85,10001315,101,100006,0,0,0,0,0,0,0,164000201,1,250,1,164600202,1,250,1,164800201,1,250,1,0,1,0,0,1
7,1,征服魔法書閱覽室,打倒貝爾法圖書館員 & 伊普莉特!,"打倒魔法書閱覽室的貝爾法圖書館員和伊普莉特,成為征服者吧!",70,10001315,101,100007,100008,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8,1,征服被遺忘的花園,打倒凱羅貝魯斯 & 德古氏!,"打倒被遺忘的花園的凱羅貝魯斯和德古氏,成為征服者吧!",75,10001315,101,100009,100010,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
9,1,征服春植島,打倒偷溜進來的羅基和奉春植!,"打倒偷溜進來的羅基和奉春植,成為征服者吧!",75,10001315,101,100011,100012,100013,100014,0,0,0,0,160600205,1,250,1,160600206,1,250,1,0,1,0,0,0,1,0,0,1
10,1,征服怪物塔,打倒德古氏15次!,"打倒怪物塔最底層的兵蟻王,成為征服者吧!",65,10001315,101,100015,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
