ID,_Hidden,_Mission_String,_Mission_Type,_Mission_ID,_Mission_Count
100001,0,消滅艾溫,1,810002249,1
100002,0,消滅艾爾梅,1,810002158,1
100003,0,消滅魯茲曼,1,810001749,1
100004,0,消滅提修斯,1,810001745,1
100005,0,消滅尼奧爾德,1,810001964,1
100006,0,消滅MD,1,810002365,1
100007,0,消滅貝爾法圖書館員,1,810001580,1
100008,0,消滅伊普莉特,1,810001581,1
100009,0,消滅凱羅貝魯斯,1,810001594,1
100010,0,消滅德古氏,1,810001596,1
100011,0,消滅偷溜進來的羅基,1,810002474,10
100012,0,消滅博物館醜八怪統領,1,810000392,3
100013,0,消滅博物館貞德,1,810000393,3
100014,0,消滅博物館鏽蝕的軀殼,1,810000394,3
100015,0,消滅塔內的德古氏,1,810001925,15
100016,0,消滅魯塞利亞,1,810001744,60
100017,0,消滅小章魚UFO,1,810001326,15
100018,1,進入蛇龍巢穴,2,100018,1
100019,1,進入十六日的月,2,100019,1
100020,1,進入已冷卻的心臟,2,100020,1
100021,1,進入無法被命名的世界,2,100021,1
100022,1,進入地獄之門,2,100022,1
100023,1,進入被遺忘的花園,2,100023,1
100025,1,進入雪爾奇溫泉,2,100025,1
100026,1,進入安息庭園,2,100026,1
100027,1,進入恐怖村莊,2,100027,1
100028,1,進入街舞俱樂部,2,100028,1
100029,1,進入貝希摩斯肚子,2,100029,1
100030,1,進入太空梭發射台,2,100030,1
100031,1,進入奧利佛高速公路,2,100031,1
100032,1,進入春植領主館,2,100032,1
100033,1,進入螞蟻洞穴,2,100033,1
100034,0,獲得華麗的魚,14,190171176,1
100035,0,獲得花紋鯨魚,14,190190931,1
100036,0,獲得胖嘟嘟河豚,14,170194832,300
100037,0,獲得黃金大肚魚,14,170194831,300
100038,0,獲得100年水草,14,180400101,300
100039,0,獲得山寨海星蛙,14,180400102,300
100040,0,達成200等級,4,200,1
100041,0,達成170等級,4,170,1
100042,0,達成140等級,4,140,1
100043,0,達成100等級,4,100,1
100044,0,達成50等級,4,50,1
100045,0,強化姜太公的披風至 +6,5,40190271,1
100046,0,強化姜太公的耳環至 +6,5,110195415,1
100047,0,強化姜太公的戒指至 +6,5,160202017,1
100048,0,強化防禦耳環★,5,110101509,1
100049,0,強化彩椒水晶至 +25,5,120101426,1
100050,0,強化彩椒眼鏡至 +25,5,100101326,1
100051,0,13等級鑲嵌成功,6,13,5
100052,0,12等級鑲嵌失敗,7,12,10
100053,0,11等級鑲嵌成功,6,11,20
100054,0,3等級鑲嵌失敗,7,3,30
100055,0,製作經驗的香油,8,64,30
100056,0,製作致命的香油,8,63,30
100057,0,製作博物館馬徽章,8,102,1
100058,0,製作博物館的教材,8,103,1
100059,0,製作技術披風,8,117,1
100060,0,技能初始化 30次,9,0,30
100061,0,寵物名稱變更一次,10,0,1
100062,0,使用伺服器麥克風,11,170200103,10
100063,0,使用頻道麥克風,11,170200207,10
100064,0,使用彩虹島特別活動麥克風,11,170200111,10
100065,0,暴風監視者達成7等級,12,1,7
100066,0,無限迴廊達成7等級,12,2,7
100067,0,貝爾法達成7等級,12,3,7
100068,0,銀色腳趾達成7等級,12,4,7
100069,0,星星守護者的後裔達成7等級,12,6,7
100070,0,怪物同盟達成50等級,12,7,50
100071,0,怪物同盟達成100等級,12,7,100
100072,0,黑月一族達成7等級,12,8,7
100073,0,吉恩蒂亞達成7等級,12,9,7
100074,0,普雷伊奧斯達成7等級,12,10,7
100075,0,大師 V 等級達成,36,1,3500
100076,0,鉑金 V 等級達成,36,1,1500
100077,0,黃金 V 等級達成,36,1,1000
100078,0,白銀 V 等級達成,36,1,500
100079,0,持有寵物8隻,15,0,8
100080,0,完成每日任務 200次,16,0,200
100081,0,完成隨機任務 60次,17,0,60
100082,0,收集80個稱號,18,0,80
100083,0,收集50個稱號,18,0,50
100084,0,收集30個稱號,18,0,30
100085,0,達成交往天數1天,19,0,1
100086,0,達成交往天數100天,19,0,100
100087,0,達成交往天數200天,19,0,200
100088,0,達成交往天數300天,19,0,300
100089,0,達成交往天數365天,19,0,365
100090,0,達成猜謎第一名,20,0,30
100091,0,達成猜謎第一名,20,0,10
100092,0,達成猜謎第一名,20,0,1
100093,0,吃星星的樹達到4500分以上,21,4500,1
100094,0,髮型變更1次,22,1,1
100095,0,髮色變更1次,22,2,1
100096,0,眼型變更1次,22,3,1
100097,0,膚色變更1次,22,5,1
100098,0,"公會貢獻度達成10,000,000點",24,0,1000000
100099,0,"公會貢獻度達成5,000,000點",24,0,500000
100100,0,"公會貢獻度達成2,000,000點",24,0,200000
100101,0,"公會貢獻度達成1,000,000點",24,0,100000
100102,0,"公會貢獻度達成500,000點",24,0,50000
100103,0,個人排名獲勝 10次,37,3,10
100104,0,個人排名獲勝 1次,37,3,1
100105,0,連續登入30日,27,0,30
100106,0,滯留在艾利亞斯村莊24小時,28,6,1440
100107,0,滯留在貝羅斯村莊24小時,28,2,1440
100108,0,套用所有部位的特殊物品,29,0,1
100109,0,支付拍賣手續費,31,24000000,1
100110,0,購買2億彩虹幣以上的物品,31,200000000,1
100111,0,"發生77,777傷害",32,77777,1
100112,0,"發生777,777傷害",32,777777,1
100113,0,變為HP 1,33,1,1
100114,0,打倒莉莉,1,810002649,3
100115,0,打倒卡茲諾,1,810002626,3
100116,0,打倒泰勒,1,810002623,3
100117,0,打倒尼克胡德,1,810002629,1
100118,0,打倒奧丁,1,810002630,1
100119,0,打倒巴里伍德,1,810002648,150
100120,0,製作粉色眉心貼,8,1305004,1
100121,0,製作黃色眉心貼,8,1305005,1
100122,0,製作白綠色眉心貼,8,1305006,1
100123,0,製作英雄王披風,8,11,1
100124,0,製作魯塞利亞的披風,8,13,1
100125,0,製作知名頭盔,8,620027,1
100126,0,製作知名靴子,8,620031,1
100127,0,製作經驗值重置拼圖[強化],8,1401001,3
100128,0,製作道具掉落率重置拼圖[強化],8,1401002,3
100129,0,消滅人面獅身,1,810002774,10
100130,0,消滅斯諾比王,1,810002766,5
100131,0,消滅黑月公主,1,810002765,5
100132,1,進入白色平原,2,100132,1
100133,1,進入餅乾公園,2,100133,1
100134,1,進入貝勒翰之橋,2,100134,1
100135,1,艾利亞斯道具店招牌上,2,100135,1
100136,1,彭哥列列車餐廳車廂,2,100136,1
100137,1,幽靈海盜船,2,100137,1
100138,0,強化精靈樹力量寶石至 +3,5,160101826,1
100139,0,強化精靈樹知識寶石至 +3,5,160101836,1
100140,0,寵物25等級鑲嵌成功,6,25,4
100141,0,蘊含不滅協調的浪漫徽章,8,1313100,1
100142,0,強化製作匠人的頭盔,5,90511941,1
100143,0,強化製作匠人的護甲,5,20611941,1
100144,0,強化製作匠人的褲裙,5,30211941,1
100145,0,強化製作匠人的手套,5,10211941,1
100146,0,強化製作匠人的靴子,5,70211941,1
100147,0,強化體力的羅馬競技場護甲+1,5,40112412,1
100148,0,消滅影波克,1,810000291,1
100149,0,消滅冰魔卡妙,1,810000294,1
100150,0,消滅潘朵拉,1,810000303,1
100151,0,消滅可雅,1,810000211,1
100152,1,搭乘納伊的器具,2,100152,1
100153,0,消滅西爾戈斯,1,810002919,5
100154,0,消滅身分不明的幼龍,1,810002912,100
100155,0,混沌,1,810003014,10
100156,0,布迪德古氏,1,810003050,10
100157,0,哈瓦,1,810003086,10
100158,0,哈瓦,1,810003122,10
100159,0,突變小章魚士兵,1,810003185,5
100160,0,突變機器耶比,1,810003186,5
100161,0,突變大眼劍,1,810003187,5
100162,0,達成210等級,4,210,1
100163,0,達成220等級,4,220,1
100164,0,消滅黃龍,1,810003522,1
100165,0,月華院的星星徽章,8,1313101,1
100166,0,月華院的教本,8,1307101,1
100167,0,月華院的太陽徽章,8,1313102,1
100168,1,龍皇城6之月!,2,100168,1
100169,0,消滅月華院主,1,810003516,1
100170,0,成功30等級鑲嵌,6,30,1
100171,0,成功40等級鑲嵌,6,40,1
100172,0,成功50等級鑲嵌,6,50,1
100173,1,發現特洛里村莊,2,100173,1
100174,0,達成特洛里聲望5級,12,11,5
100175,0,達成特洛里聲望6級,12,11,6
100176,0,達成特洛里聲望7級,12,11,7
100177,0,消滅奈潘斯,1,810003623,1
100178,0,消滅凱米努茲,1,810003630,1
100179,0,製作歐若拉的貓咪貼紙,8,1309101,1
100180,0,製作高級突變腰帶,8,1603037,1
100181,1,歐若拉森林 6,2,100181,1
100182,0,消滅歐若拉,1,810006734,1
100183,0,消滅迪特,1,810006834,1
100184,0,消滅傑凱,1,810006835,1
100185,0,消滅變種鯊,1,810006816,1
100186,0,消滅奧莉安,1,810006817,1
100187,1,發現梅林島,2,100187,1
100188,0,製作奧莉安的變異教本 +1,5,164200502,1
100189,0,製作傑凱的胸針 +1,5,165300102,1
