ID,_Name,_ActionType,_ActiveType,_InventoryType,_Icon,_IconIndex,_Description,_QuickSlotUse,_MotionType,_SubID,_SubIndex,_Class
1,等候,0,2,1,10003000,9,靜靜站在原地,0,0,0,0,0
2,倚靠梯子、繩索,0,2,0,10003000,12,停止或懸掛在梯子和繩索中間,0,0,0,0,0
3,爬平行繩索,0,2,1,10003000,8,懸掛在平行繩索左右移動,0,0,0,0,0
4,行走,0,2,1,10003000,10,往左、右移動 ←(持續): 向左行走 →(持續): 向右行走,0,0,0,0,0
5,行走,0,2,0,10003000,10,往左、右移動 ←(持續): 向左行走 →(持續): 向右行走,0,0,0,0,0
6,跳躍,6,1,1,10003000,1,跳躍,1,0,101,0,0
7,跳躍下降,0,1,0,10003000,1,跳躍後往下降,0,0,0,0,0
8,跳躍落地,0,1,0,10003000,1,跳躍後落地,0,0,0,0,0
9,爬梯子、繩索,0,2,1,10003000,12,攀爬梯子和垂直繩索上下移動,0,0,0,0,0
10,爬梯子、繩索,0,2,0,10003000,12,攀爬梯子和垂直繩索上下移動,0,0,0,0,0
11,爬平行繩索,0,2,0,10003000,8,懸掛在平行繩索左右移動,0,0,0,0,0
12,爬平行繩索,0,2,0,10003000,8,懸掛在平行繩索左右移動,0,0,0,0,0
13,奔跑,0,2,1,10003000,5,快速往左、右移動 ←(持續): 向左奔跑 →(持續): 向右奔跑,0,6,101,0,0
14,奔跑,0,2,0,10003000,5,快速往左、右移動 ←(持續): 向左奔跑 →(持續): 向右奔跑,0,6,0,0,0
15,停止奔跑,0,1,0,10003000,5,停止奔跑,0,0,0,0,0
16,弱攻擊,16,1,1,10003000,3,在地上或是跳躍途中微弱地攻擊對手,1,0,101,0,0
17,強攻擊,17,1,1,10003000,4,在地上或是跳躍途中強烈地攻擊對手,1,0,101,0,0
18,被擊,0,1,0,10003000,99,遭到些微傷害後產生的被擊狀態,0,0,0,0,0
19,強烈被擊,0,1,0,10003000,99,遭到強烈傷害後產生的被擊狀態,0,0,0,0,0
20,防禦,0,2,1,10003000,7,持續消耗SP後，防禦對方的攻擊以減少傷害。 ↓(持續): 防禦,0,23,101,0,0
21,死亡,0,2,0,10003000,99,無法戰鬥,0,0,0,0,0
22,撿取,22,1,1,10003000,2,撿取物品等,1,0,101,0,0
23,等待撿取,0,2,0,10003000,2,等待撿取物品,0,0,0,0,0
24,撿取完畢,0,1,0,10003000,2,結束撿取物品等的動作,0,0,0,0,0
25,坐下,25,2,1,10003000,6,在原地坐下。每隔一段時間恢復HP和SP。,1,0,101,0,0
26,坐下等候,0,2,0,10003000,6,坐在原地。每隔一段時間恢復HP和SP。,0,0,0,0,0
27,坐下站立,0,1,0,10003000,6,在原地坐下後站起。在坐下的狀態中欲進行其他動作時發生。,0,0,0,0,0
28,擊倒,0,1,0,10003000,99,被擊倒,0,0,0,0,0
29,擊倒站立,0,1,0,10003000,99,擊倒後站立,0,0,0,0,0
30,技能,0,1,0,10003000,99,所有技能的動作值,0,0,0,0,0
31,防禦傷害,0,1,0,10003000,99,防禦中遭受傷害時的動作,0,0,0,0,0
32,Action Block,0,1,0,10003000,99,,0,0,0,0,0
33,鑲嵌中,0,2,0,10003000,99,嘗試鑲嵌中的狀態,0,0,0,0,0
34,鑲嵌結果,0,1,0,10003000,99,鑲嵌結果,0,0,0,0,0
35,個人商店,0,2,0,10003000,99,個人商店開設狀態,0,0,0,0,0
36,特殊弱攻擊,37,1,1,10003000,17,消耗特殊計量條後微弱地攻擊敵人,1,0,101,0,10005
37,特殊強攻擊,38,1,1,10003000,18,消耗特殊計量條後強烈地攻擊敵人,1,0,101,0,10006
38,釣魚,39,1,1,10003000,19,可在釣魚場中釣魚。 \n唯有在套用釣竿的狀態下可利用。 \n\n魚咬到魚餌後請再點擊一次。 \n注意!! 若是未在正確的時間點拉起釣竿魚會跑掉。,1,0,101,0,0
