ID,_Des,_Count,_Delay,_Multicolor,_SAlpha,_EAlpha,_Color_R1,_Color_G1,_Color_B1,_Color_R2,_Color_G2,_Color_B2,_Color_R3,_Color_G3,_Color_B3,_Color_R4,_Color_G4,_Color_B4,_Color_R5,_Color_G5,_Color_B5,_Color_R6,_Color_G6,_Color_B6,_Color_R7,_Color_G7,_Color_B7
1,?? ????,1,5,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,?? ????,2,5,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,?? ????,3,5,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,?? ????,4,5,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,?? ????,5,5,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,?? ????,6,5,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,?? ????,7,5,1,80,20,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0
8,?? ????,7,5,1,80,20,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0
9,?? ????,7,5,1,80,20,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255
10,?? ????,7,5,1,80,20,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
11,?? ??,1,5,1,50,50,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0
12,?? ?? +1,2,5,1,50,45,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0
13,?? ?? +2,3,5,1,50,40,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0
14,?? ?? +3,4,5,1,50,35,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0
15,?? ?? +4,5,5,1,50,30,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0
16,?? ?? +5,6,5,1,50,25,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0
17,?? ?? +6,7,5,1,50,20,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0
18,?? ??,1,5,1,50,50,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0
19,?? ?? +1,2,5,1,50,45,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0
20,?? ?? +2,3,5,1,50,40,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0
21,?? ?? +3,4,5,1,50,35,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0
22,?? ?? +4,5,5,1,50,30,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0
23,?? ?? +5,6,5,1,50,25,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0
24,?? ?? +6,7,5,1,50,20,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0
25,?? ??,1,5,1,50,50,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255
26,?? ?? +1,2,5,1,50,45,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255
27,?? ?? +2,3,5,1,50,40,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255
28,?? ?? +3,4,5,1,50,35,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255
29,?? ?? +4,5,5,1,50,30,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255
30,?? ?? +5,6,5,1,50,25,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255
31,?? ?? +6,7,5,1,50,20,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,255
32,?? ??,1,5,0,50,50,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
33,?? ?? +1,2,5,0,50,45,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
34,?? ?? +2,3,5,0,50,40,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
35,?? ?? +3,4,5,0,50,35,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
36,?? ?? +4,5,5,0,50,30,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
37,?? ?? +5,6,5,0,50,25,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
38,?? ?? +6,7,5,0,50,20,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
39,?? ??,1,5,1,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,?? ?? +1,2,5,1,50,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,?? ?? +2,3,5,1,50,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,?? ?? +3,4,5,1,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,?? ?? +4,5,5,1,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,?? ?? +5,6,5,1,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,?? ?? +6,7,5,1,50,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,?? ??,1,5,1,50,50,255,255,0,255,255,0,255,255,0,255,255,0,255,255,0,255,255,0,255,255,0
47,?? ?? +1,2,5,1,50,45,255,255,0,255,255,0,255,255,0,255,255,0,255,255,0,255,255,0,255,255,0
48,?? ?? +2,3,5,1,50,40,255,255,0,255,255,0,255,255,0,255,255,0,255,255,0,255,255,0,255,255,0
49,?? ?? +3,4,5,1,50,35,255,255,0,255,255,0,255,255,0,255,255,0,255,255,0,255,255,0,255,255,0
50,?? ?? +4,5,5,1,50,30,255,255,0,255,255,0,255,255,0,255,255,0,255,255,0,255,255,0,255,255,0
51,?? ?? +5,6,5,1,50,25,255,255,0,255,255,0,255,255,0,255,255,0,255,255,0,255,255,0,255,255,0
52,?? ?? +6,7,5,1,50,20,255,255,0,255,255,0,255,255,0,255,255,0,255,255,0,255,255,0,255,255,0
53,?? ??,1,5,1,50,50,127,80,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,?? ?? +1,2,5,1,50,45,127,80,133,127,80,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,?? ?? +2,3,5,1,50,40,127,80,133,127,80,133,127,80,133,0,0,0,0,0,0,0,0,0,0,0,0
56,?? ?? +3,4,5,1,50,35,127,80,133,127,80,133,127,80,133,127,80,133,0,0,0,0,0,0,0,0,0
57,?? ?? +4,5,5,1,50,30,127,80,133,127,80,133,127,80,133,127,80,133,127,80,133,0,0,0,0,0,0
58,?? ?? +5,6,5,1,50,25,127,80,133,127,80,133,127,80,133,127,80,133,127,80,133,127,80,133,0,0,0
59,?? ?? +6,7,5,1,50,20,127,80,133,127,80,133,127,80,133,127,80,133,127,80,133,127,80,133,127,80,133
60,??? ??,1,5,1,50,50,245,184,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,??? ?? +1,2,5,1,50,45,245,184,119,245,184,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,??? ?? +2,3,5,1,50,40,245,184,119,245,184,119,245,184,119,0,0,0,0,0,0,0,0,0,0,0,0
63,??? ?? +3,4,5,1,50,35,245,184,119,245,184,119,245,184,119,245,184,119,0,0,0,0,0,0,0,0,0
64,??? ?? +4,5,5,1,50,30,245,184,119,245,184,119,245,184,119,245,184,119,245,184,119,0,0,0,0,0,0
