ID,_Exp,_Point
1,1000000000000,1
2,1150000000000,1
3,1300000000000,1
4,1450000000000,1
5,1600000000000,1
6,1750000000000,1
7,1900000000000,1
8,2100000000000,1
9,2350000000000,1
10,2600000000000,1
11,2900000000000,1
12,3200000000000,1
13,3500000000000,1
14,3817000000000,1
15,4012000000000,1
16,4217000000000,1
17,4432000000000,1
18,4658000000000,1
19,4896000000000,1
20,5146000000000,1
21,5408000000000,1
22,5684000000000,1
23,5974000000000,1
24,6279000000000,1
25,6599000000000,1
26,6936000000000,1
27,7290000000000,1
28,7662000000000,1
29,8053000000000,1
30,8464000000000,1
31,8896000000000,1
32,9350000000000,1
33,9827000000000,1
34,10328000000000,1
35,10855000000000,1
36,11409000000000,1
37,11991000000000,1
38,12603000000000,1
39,13246000000000,1
40,13922000000000,1
41,14632000000000,1
42,15378000000000,1
43,16162000000000,1
44,16986000000000,1
45,17852000000000,1
46,18762000000000,1
47,19719000000000,1
48,20725000000000,1
49,21782000000000,1
50,22893000000000,1
51,24061000000000,1
52,25288000000000,1
53,26578000000000,1
54,27933000000000,1
55,29358000000000,1
56,30855000000000,1
57,32429000000000,1
58,34083000000000,1
59,35821000000000,1
60,37648000000000,1
61,39568000000000,1
62,41586000000000,1
63,43707000000000,1
64,45936000000000,1
65,48279000000000,1
66,50741000000000,1
67,53329000000000,1
68,56049000000000,1
69,58907000000000,1
70,61911000000000,1
71,65068000000000,1
72,68386000000000,1
73,71874000000000,1
74,75540000000000,1
75,79393000000000,1
76,83442000000000,1
77,87698000000000,1
78,92171000000000,1
79,96872000000000,1
80,101812000000000,1
81,107004000000000,1
82,112461000000000,1
83,118197000000000,1
84,124225000000000,1
85,130560000000000,1
86,137219000000000,1
87,144217000000000,1
88,151572000000000,1
89,159302000000000,1
90,167426000000000,1
91,175965000000000,1
92,184939000000000,1
93,194371000000000,1
94,204284000000000,1
95,214702000000000,1
96,225652000000000,1
97,237160000000000,1
98,249255000000000,1
99,261967000000000,1
100,1,1
