ID,_Class,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Require4_Type,_Require4_ID,_Require4_Value1,_Require4_Value2,_Require5_Type,_Require5_ID,_Require5_Value1,_Require5_Value2,_Require6_Type,_Require6_ID,_Require6_Value1,_Require6_Value2,_QuestID1,_QuestID2,_QuestID3,_QuestID4,_QuestID5,_QuestID6,_QuestID7,_QuestID8
1,36,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3813607,,212100001,212100002,212100003,212100004,212100005,212100006,212100007,212100008
2,37,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3813707,,212100001,212100002,212100003,212100004,212100005,212100006,212100007,212100008
3,38,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3813807,,212100001,212100002,212100003,212100004,212100005,212100006,212100007,212100008
4,39,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3813907,,212100001,212100002,212100003,212100004,212100005,212100006,212100007,212100008
5,40,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3814007,,212100001,212100002,212100003,212100004,212100005,212100006,212100007,212100008
6,41,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3814107,,212100001,212100002,212100003,212100004,212100005,212100006,212100007,212100008
7,42,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3814207,,212100001,212100002,212100003,212100004,212100005,212100006,212100007,212100008
8,43,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3814307,,212100001,212100002,212100003,212100004,212100005,212100006,212100007,212100008
9,44,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3814407,,212100001,212100002,212100003,212100004,212100005,212100006,212100007,212100008
10,45,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3814507,,212100001,212100002,212100003,212100004,212100005,212100006,212100007,212100008
11,49,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3814907,,212100001,212100002,212100003,212100004,212100005,212100006,212100007,212100008
12,52,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3815207,,212100001,212100002,212100003,212100004,212100005,212100006,212100007,212100008
13,56,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3815607,,212100001,212100002,212100003,212100004,212100005,212100006,212100007,212100008
14,60,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3816007,,212100001,212100002,212100003,212100004,212100005,212100006,212100007,212100008
15,64,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3816407,,212100001,212100002,212100003,212100004,212100005,212100006,212100007,212100008
16,68,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3816807,,212100001,212100002,212100003,212100004,212100005,212100006,212100007,212100008
17,73,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3817307,,212100001,212100002,212100003,212100004,212100005,212100006,212100007,212100008
18,24,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3812407,,212100011,212100012,212100013,212100014,212100015,212100016,212100017,212100018
19,25,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3812507,,212100011,212100012,212100013,212100014,212100015,212100016,212100017,212100018
20,26,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3812607,,212100011,212100012,212100013,212100014,212100015,212100016,212100017,212100018
21,27,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3812707,,212100011,212100012,212100013,212100014,212100015,212100016,212100017,212100018
22,28,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3812807,,212100011,212100012,212100013,212100014,212100015,212100016,212100017,212100018
23,29,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3812907,,212100011,212100012,212100013,212100014,212100015,212100016,212100017,212100018
24,30,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3813007,,212100011,212100012,212100013,212100014,212100015,212100016,212100017,212100018
25,31,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3813107,,212100011,212100012,212100013,212100014,212100015,212100016,212100017,212100018
26,32,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3813207,,212100011,212100012,212100013,212100014,212100015,212100016,212100017,212100018
27,69,1,594,400000,,21,1,6,,22,1,6,,23,1,13,,1,578,1500,,3,1,3816907,,212100011,212100012,212100013,212100014,212100015,212100016,212100017,212100018
