ID,_Equip_item,_Item_number,_Require_slot1,_Require_slot2,_Require_slot3,_Require_slot4,_Limit_slot1,_Limit_slot2,_Icon_instance,_Line_instance1,_Line_instance2,_Line_instance3,_Line_instance4,_itemslot_name,_itemslot_description,_24,_25,_26,_27,_28,_29,_30,_31,_32,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_49,_52,_56,_60,_64,_68,_69,_73
1,0,0,2,8,14,0,0,0,1001,21,37,29,0,,,24001,25001,26001,27001,28001,29001,30001,31001,32001,36001,37001,38001,39001,40001,41001,42001,43001,44001,45001,49001,52001,56001,60001,64001,68001,69001,73001
2,0,0,1,3,0,0,0,0,1002,21,22,0,0,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,0,0,2,4,6,0,0,0,1003,22,23,26,0,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,0,0,3,5,0,0,0,0,1004,23,24,0,0,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,0,0,4,6,7,0,0,0,1005,24,25,28,0,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,0,0,3,5,7,0,0,0,1006,26,25,27,0,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,0,0,5,6,23,0,0,0,1007,27,28,80,0,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,0,0,1,9,0,0,0,0,1008,29,30,0,0,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
9,0,0,8,10,12,0,0,0,1009,30,31,34,0,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,0,0,9,11,0,0,0,0,1010,31,32,0,0,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
11,0,0,10,12,13,0,0,0,1011,32,33,36,0,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
12,0,0,9,11,13,0,0,0,1012,34,33,35,0,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
13,0,0,11,12,49,0,0,0,1013,35,36,81,0,,,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
14,0,0,1,15,16,0,0,0,1014,37,38,39,0,,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
15,0,0,14,16,17,0,0,0,1015,38,40,41,0,,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
16,0,0,14,15,18,0,0,0,1016,39,40,43,0,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
17,0,0,15,283,0,0,0,0,1017,41,42,0,0,,,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
18,0,0,16,283,0,0,0,0,1018,43,44,0,0,,,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
19,0,0,283,20,52,86,0,0,1019,45,46,79,131,,,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
20,0,0,19,79,21,0,0,0,1020,46,47,121,0,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
21,0,0,20,76,22,0,0,0,1021,47,48,116,0,,,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
22,0,0,23,21,65,0,0,0,1022,49,48,98,0,,,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
23,0,0,7,22,24,57,0,0,1023,80,49,50,88,,,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
24,0,0,23,53,25,0,0,0,1024,50,51,82,0,,,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
25,0,0,24,26,0,0,0,0,1025,51,52,0,0,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
26,0,0,25,27,0,0,0,0,1026,52,53,0,0,,,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
27,0,0,26,165,28,0,0,0,1027,53,235,54,0,,,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
28,0,0,27,166,29,0,0,0,1028,54,236,55,0,,,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
29,0,0,61,28,170,30,0,0,1029,97,55,56,242,,,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
30,0,0,29,174,179,31,0,0,1030,56,57,246,247,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
31,0,0,32,30,115,0,0,0,1031,57,58,172,0,,,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
32,0,0,33,68,69,31,0,0,1032,102,103,59,58,,,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
33,0,0,34,32,0,0,0,0,1033,60,59,0,0,,,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
34,0,0,74,33,35,125,0,0,1034,111,61,60,184,,,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
35,0,0,77,34,134,0,0,0,1035,196,61,117,0,,,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
36,0,0,82,135,0,0,0,0,1036,122,197,0,0,,,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
37,0,0,89,38,145,0,0,0,1037,132,64,209,0,,,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
38,0,0,92,37,39,146,0,0,1038,137,64,65,210,,,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
