ID,_SeasonID,_Level,_Level_Point,_Normal_Reward,_Premium_Reward
1,1,1,100,21050101,21050112
2,1,2,200,21050102,21050113
3,1,3,300,21050103,21050114
4,1,4,400,21050104,21050115
5,1,5,500,21050105,21050116
6,1,6,600,21050106,21050117
7,1,7,700,21050107,21050118
8,1,8,800,21050108,21050119
9,1,9,900,21050109,21050120
10,1,10,1000,21050110,21050121
11,1,11,1100,21050111,21050122
12,2,1,500,21051301,21051320
13,2,2,1000,21051302,21051321
14,2,3,1500,21051303,21051322
15,2,4,2000,21051304,21051323
16,2,5,2500,21051305,21051324
17,2,6,3000,21051306,21051325
18,2,7,3500,21051307,21051326
19,2,8,4000,21051308,21051327
20,2,9,4500,21051309,21051328
21,2,10,5000,21051310,21051329
22,2,11,6000,21051311,21051330
23,2,12,7000,21051312,21051331
24,2,13,8000,21051313,21051332
25,2,14,9000,21051314,21051333
26,2,15,10000,21051315,21051334
27,2,16,15000,21051316,21051335
28,2,17,20000,21051317,21051336
29,2,18,30000,21051318,21051337
30,2,19,1900,21051319,21051338
31,3,1,100,21080301,21080391
32,3,2,200,21080302,21080392
33,3,3,300,21080303,21080393
34,3,4,400,21080304,21080394
35,3,5,500,21080305,21080395
36,3,6,600,21080306,21080396
37,3,7,700,21080307,21080397
38,3,8,800,21080308,21080398
39,3,9,900,21080309,21080399
40,3,10,1000,21080310,21080400
41,3,11,1100,21080311,21080401
42,3,12,1200,21080312,21080402
43,3,13,1300,21080313,21080403
44,3,14,1400,21080314,21080404
45,3,15,1500,21080315,21080405
46,3,16,1600,21080316,21080406
47,3,17,1700,21080317,21080407
48,3,18,1800,21080318,21080408
49,3,19,1900,21080319,21080409
50,3,20,2000,21080320,21080410
51,3,21,2100,21080321,21080411
52,3,22,2200,21080322,21080412
53,3,23,2300,21080323,21080413
54,3,24,2400,21080324,21080414
55,3,25,2500,21080325,21080415
56,3,26,2600,21080326,21080416
57,3,27,2700,21080327,21080417
58,3,28,2800,21080328,21080418
59,3,29,2900,21080329,21080419
60,3,30,3000,21080330,21080420
61,3,31,3100,21080331,21080421
62,3,32,3200,21080332,21080422
63,3,33,3300,21080333,21080423
64,3,34,3400,21080334,21080424
65,3,35,3500,21080335,21080425
66,3,36,3600,21080336,21080426
67,3,37,3700,21080337,21080427
68,3,38,3800,21080338,21080428
69,3,39,3900,21080339,21080429
70,3,40,4000,21080340,21080430
71,3,41,4100,21080341,21080431
72,3,42,4200,21080342,21080432
73,3,43,4300,21080343,21080433
74,3,44,4400,21080344,21080434
75,3,45,4500,21080345,21080435
76,3,46,4600,21080346,21080436
77,3,47,4700,21080347,21080437
78,3,48,4800,21080348,21080438
79,3,49,4900,21080349,21080439
80,3,50,5000,21080350,21080440
81,3,51,5100,21080351,21080441
82,3,52,5200,21080352,21080442
83,3,53,5300,21080353,21080443
84,3,54,5400,21080354,21080444
85,3,55,5500,21080355,21080445
86,3,56,5600,21080356,21080446
87,3,57,5700,21080357,21080447
88,3,58,5800,21080358,21080448
89,3,59,5900,21080359,21080449
90,3,60,6000,21080360,21080450
91,3,61,6100,21080361,21080451
92,3,62,6200,21080362,21080452
93,3,63,6300,21080363,21080453
94,3,64,6400,21080364,21080454
95,3,65,6500,21080365,21080455
96,3,66,6600,21080366,21080456
97,3,67,6700,21080367,21080457
98,3,68,6800,21080368,21080458
99,3,69,6900,21080369,21080459
100,3,70,7000,21080370,21080460
101,3,71,7100,21080371,21080461
102,3,72,7200,21080372,21080462
103,3,73,7300,21080373,21080463
104,3,74,7400,21080374,21080464
105,3,75,7500,21080375,21080465
106,3,76,7600,21080376,21080466
107,3,77,7700,21080377,21080467
108,3,78,7800,21080378,21080468
109,3,79,7900,21080379,21080469
110,3,80,8000,21080380,21080470
111,3,81,8100,21080381,21080471
112,3,82,8200,21080382,21080472
113,3,83,8300,21080383,21080473
114,3,84,8400,21080384,21080474
115,3,85,8500,21080385,21080475
116,3,86,8600,21080386,21080476
117,3,87,8700,21080387,21080477
118,3,88,8800,21080388,21080478
119,3,89,8900,21080389,21080479
120,3,90,9000,21080390,21080480
