ID,_Test,_Page,_Image,_Left,_Top,_Right,_Bottom,_Image_PosX,_Image_PosY,_Image_Width,_Image_Height,_Text_PosX,_Text_PosY,_Text_Width,_Text_Height,_Text_Size,_Red,_Green,_Blue,_Bold,_Horizontal_Align,_Vertical_Align,_Text
1,???,1,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,505,361,509,365,206,123,594,248,-1,-1,-1,-1,-1,0,0,0,0,0,0,
2,?????,1,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,473,351,489,367,238,145,16,16,261,147,496,14,14,49,76,97,1,1,0,關於紅利商店
3,??????,1,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,178,8,8,261,177,496,12,12,70,140,124,0,1,0,可在紅利商店裡購得功能較佳的物品。
4,??????,1,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,197,8,8,261,196,496,12,12,70,140,124,0,1,0,紅利僅可在紅利商店內使用。
5,??????,1,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,216,8,8,261,215,496,12,12,70,140,124,0,1,0,紅利可透過賣給NPC時尚物品獲得。
6,??????,1,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,235,8,8,261,234,496,12,12,70,140,124,0,1,0,點數也可透過轉售點數優惠券獲得。
7,??????,1,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,254,8,8,261,253,496,12,12,70,140,124,0,1,0,點數優惠券可在點數商店購買，或是透過角色間的交易獲得。
8,?????,1,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,473,351,489,367,238,279,16,16,261,281,496,14,14,49,76,97,1,1,0,關於清單
9,??????,1,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,312,8,8,261,311,496,12,12,70,140,124,0,1,0,點擊清單中的物品後，便可在預覽中確認套用後的模樣。
10,??????,1,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,331,8,8,261,330,496,12,12,70,140,124,0,1,0,若是在該狀態下再次點擊選擇之物品，則該物品便會從預覽中消失。
11,??????,1,DATA/INTERFACE/CONCEPT/CASHSHOP01_ver2.PNG,493,359,501,367,246,350,8,8,261,349,496,12,12,70,140,124,0,1,0,點擊清單中的物品兩次，該物品便會移至購物車中。
