ID,_CategoryView,_CategoryIndex,_CategoryIndex2,_CategoryIndex3,_PositionIndex,_EventPage,_Name,_Description,_IconFile,_IconIndex,_Gender,_PriceType,_CashPrice,_SalePrice,_EventIcon,_ItemID1,_ItemRare1,_ItemCount1,_PriceRate1,_ItemID2,_ItemRare2,_ItemCount2,_PriceRate2,_ItemID3,_ItemRare3,_ItemCount3,_PriceRate3,_ItemID4,_ItemRare4,_ItemCount4,_PriceRate4,_ItemID5,_ItemRare5,_ItemCount5,_PriceRate5,_ItemID6,_ItemRare6,_ItemCount6,_PriceRate6,_ItemID7,_ItemRare7,_ItemCount7,_PriceRate7,_ItemID8,_ItemRare8,_ItemCount8,_PriceRate8,_MotionID,_ClassID,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Buy_Disable,_Give_Disable,_Limited_Time_Type
300751,1,3,9,0,1,1,塭纔橾 煎撾 鼻濠必,,10001314,239,0,0,1500,0,4,190144174,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
300753,1,6,18,0,2,1,塭纔橾 煎撾 鼻濠必 x10,"塭纔橾 煎撾 鼻濠 必 \n""か滌и 嬴檜蠱戲煎 掘撩и Щ葬嘐樵 摹僭 鼻濠""\n\nＣ2014 撲陳 か摹!\n\n≦�膩�≦\nＣ煎撾 鼻濠曖 晦遴戲煎 偃瑰 衛 模榆曖 唳я纂 隸陛 \n\nっ衙晦除\n2014.01.28 ~ 2014.02.26",10001314,239,0,0,15000,12000,4,190144174,1,10,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
320006,1,3,9,0,3,1,錶Щ 觼葬蝶驍,,10001302,184,0,0,4900,2900,0,190150701,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
400031,1,2,7,0,4,1,ъ蝶酈 憲 (Lv.1),,10001312,163,0,0,5800,0,2,700103601,5,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,815000548,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
400019,1,2,7,0,5,1,掘嘐�� 憲 (Lv.1),,10001307,229,0,0,5800,0,2,700102401,5,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,815000523,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
400029,1,2,7,0,6,1,紫梟綠 憲 (Lv.1),,10001311,198,0,0,5800,0,2,700103301,5,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,815100521,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
400027,1,2,7,0,10012,1,詭檜萄 紫詭蝶じ 憲 (Lv.1),,10001310,24,0,0,5800,0,0,700102901,5,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,815000534,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
400026,1,2,7,0,10010,1,餵餌 蝶ぅ橫お 憲 (Lv.1),,10001310,21,0,0,5800,0,0,700102801,5,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,815000532,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
400017,1,2,7,0,10018,1,棻觼等網 憲 (Lv.1),,10001306,225,0,0,5800,0,0,700102201,5,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,815100517,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
400016,1,2,7,0,10016,1,蝶嶺撻薨 憲 (Lv.1),,10001306,222,0,0,5800,0,0,700102101,5,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,815100516,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
