ID,_Cash_Shop_ID,_Price_Ratio,_Start_Year,_Start_Month,_Start_Day,_Start_Hour,_Start_Minute,_End_Year,_End_Month,_End_Day,_End_Hour,_End_Minute,_Amount,_Show_Preview,_Show_afterview,_Notice_Time,_Time_alert,_Amount_Alert,_Cool_Time
1,9001783,100,2022,4,11,0,0,2022,4,24,23,59,0,60,60,30,30,0,0
2,9001784,100,2022,4,11,0,0,2022,4,24,23,59,0,60,60,30,30,0,0
3,9001785,100,2022,4,11,0,0,2022,4,24,23,59,0,60,60,30,30,0,0
4,9001779,100,2022,3,28,0,0,2022,4,10,23,59,0,60,60,30,30,0,0
5,9001780,100,2022,3,28,0,0,2022,4,10,23,59,0,60,60,30,30,0,0
6,9001185,100,2022,4,8,0,0,2022,4,8,23,59,10,60,60,30,30,0,180
7,9001186,100,2022,4,9,0,0,2022,4,9,23,59,10,60,60,30,30,0,180
8,9001187,100,2022,4,10,0,0,2022,4,10,23,59,10,60,60,30,30,0,180
9,9001188,100,2022,4,11,0,0,2022,4,11,23,59,10,60,60,30,30,0,180
10,9000325,100,2022,4,8,0,0,2022,4,8,23,59,18,60,60,30,30,0,60
11,9000326,100,2022,4,9,0,0,2022,4,9,23,59,18,60,60,30,30,0,60
12,9000327,100,2022,4,10,0,0,2022,4,10,23,59,18,60,60,30,30,0,60
13,9000328,100,2022,4,11,0,0,2022,4,11,23,59,18,60,60,30,30,0,60
14,9000720,100,2022,4,8,0,0,2022,4,8,23,59,12,60,60,30,30,0,180
15,9000721,100,2022,4,9,0,0,2022,4,9,23,59,12,60,60,30,30,0,180
16,9000722,100,2022,4,10,0,0,2022,4,10,23,59,12,60,60,30,30,0,180
17,9000723,100,2022,4,11,0,0,2022,4,11,23,59,12,60,60,30,30,0,180
18,9001481,100,2022,4,8,0,0,2022,4,8,23,59,8,60,60,30,30,0,180
19,9001482,100,2022,4,9,0,0,2022,4,9,23,59,8,60,60,30,30,0,180
20,9001483,100,2022,4,10,0,0,2022,4,10,23,59,8,60,60,30,30,0,180
21,9001484,100,2022,4,11,0,0,2022,4,11,23,59,8,60,60,30,30,0,180
22,9001786,100,2022,4,8,0,0,2022,4,8,23,59,16,60,60,30,30,0,180
23,9001787,100,2022,4,9,0,0,2022,4,9,23,59,16,60,60,30,30,0,180
24,9001788,100,2022,4,10,0,0,2022,4,10,23,59,16,60,60,30,30,0,180
25,9001789,100,2022,4,11,0,0,2022,4,11,23,59,16,60,60,30,30,0,180
