ID,_Challenge_Name,_Challenge_Level,_Challenge_Stage_Image,_Challenge_Stage_Index,_Challenge_Background,_Challenge_Background_Index,_Challenge_Title_Image,_Challenge_Title_Index,_Challenge_Monster_Image,_Challenge_Monster_Index,_Challenge_Description1,_Challenge_Description2,_Challenge_Point,_Bonus_Challenge_Point,_Reward_ITEM_ID1,_Reward _ITEM_Count1,_Reward _ITEM_Rare1,_Reward_ITEM_Point1,_Reward_ITEM_ID_2,_Reward _ITEM_Count_2,_Reward _ITEM_Rare_2,_Reward_ITEM_Point2,_Reward_ITEM_ID_3,_Reward _ITEM_Count_3,_Reward _ITEM_Rare_3,_Reward_ITEM_Point3,_Reward_ITEM_ID_4,_Reward _ITEM_Count_4,_Reward _ITEM_Rare_4,_Reward_ITEM_Point4,_Challenge_Type,_Challenge_Goal1_Type,_Challenge_Goal1_Id,_Challenge_Goal1_Count,_Challenge_Goal2_Type,_Challenge_Goal2_Id,_Challenge_Goal2_Count,_Challenge_Goal3_Type,_Challenge_Goal3_Id,_Challenge_Goal3_Count,_Challenge_Goal4_Type,_Challenge_Goal4_Id,_Challenge_Goal4_Count,_Challenge_Goal5_Type,_Challenge_Goal5_Id,_Challenge_Goal5_Count,_Challenge_Goal6_Type,_Challenge_Goal6_Id,_Challenge_Goal6_Count,_Challenge_Goal7_Type,_Challenge_Goal7_Id,_Challenge_Goal7_Count,_Challenge_Goal8_Type,_Challenge_Goal8_Id,_Challenge_Goal8_Count,_Challenge_Goal9_Type,_Challenge_Goal9_Id,_Challenge_Goal9_Count,_Challenge_Goal10_Type,_Challenge_Goal10_Id,_Challenge_Goal10_Count
10001,異種族的進攻,235等級以上,51000001,9,51000002,9,UI_YChallengeTitle01.png,1,UI_YChallengeMob02.png,1,必須阻止異種族的侵略。,善用可強化角色的道具吧。,1500,0,190146192,5,1,0,190146189,1,1,0,170195738,20,1,0,0,0,0,0,2,4,71000211,1,4,71000212,1,4,71000213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002,擊退傳說的怪物,235等級以上,51000001,1,51000002,1,UI_YChallengeTitle01.png,1,UI_YChallengeMob01.png,1,雖然接近傳說BOSS的路途非常凶險，但還是盡力去抓傳說BOSS怪物吧。,請小心強烈的攻擊,1500,0,190146192,5,1,0,190146189,1,1,0,170195738,20,1,0,0,0,0,0,1,1,810008115,1,1,810008113,1,1,810008112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003,擊退草原的怪物,235等級以上,51000001,2,51000002,2,UI_YChallengeTitle01.png,4,UI_YChallengeMob01.png,2,聽說廣闊的草原中存在著恐怖的怪物，請發揮冒險家的戰鬥實力吧!,抓住所有怪物後，將開啟前往下個地區的道路。,1500,0,190146192,5,1,0,190146189,1,1,0,170195737,20,1,0,0,0,0,0,1,1,810008117,1,1,810008122,2,1,810008128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10004,擊退教堂的怪物,235等級以上,51000001,3,51000002,3,UI_YChallengeTitle01.png,5,UI_YChallengeMob01.png,4,聽說突然有怪物入侵了神聖的教堂，需要借助冒險家的力量!,有時間限制。,1500,0,190146192,5,1,0,190146189,1,1,0,170195737,20,1,0,0,0,0,0,2,4,71000152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005,尋找些許不同的礦物,235等級以上,51000001,4,51000002,4,UI_YChallengeTitle01.png,6,UI_YChallengeMob01.png,3,怎麼看都是一樣的…聽說有長得些許不同的礦物…。,有時間限制。,1500,0,190146192,5,1,0,190146189,1,1,0,170195736,20,1,0,0,0,0,0,2,4,25200516,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006,尋找隱藏的巴里伍德,235等級以上,51000001,5,51000002,5,UI_YChallengeTitle01.png,1,UI_YChallengeMob01.png,5,消滅隱藏的巴里伍德及其同黨吧。,有時間限制。,1500,0,190146192,5,1,0,190146189,1,1,0,170195738,20,1,0,0,0,0,0,2,1,810008170,3,1,810008163,80,1,810008164,80,1,810008165,80,1,810008166,80,1,810008167,80,1,810008168,80,1,810008169,80,0,0,0,0,0,0
10007,耶比!耶比!耶比!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,235等級以上,51000001,6,51000002,6,UI_YChallengeTitle01.png,3,UI_YChallengeMob01.png,6,耶比!耶比!耶比!!!! 什麼耶比這麼多啊?!!!,消滅源源不絕的怪物吧。,1500,0,190146192,5,1,0,190146189,1,1,0,170195737,20,1,0,0,0,0,0,1,1,810008187,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008,答案是下水溝,235等級以上,51000001,8,51000002,8,UI_YChallengeTitle01.png,2,UI_YChallengeMob01.png,8,呃這..,保持專注直到最後一刻。,1500,0,190146192,5,1,0,190146189,1,1,0,170195736,20,1,0,0,0,0,0,1,4,71000202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009,擊退爬呀爬大樹的怪物,235等級以上,51000001,7,51000002,7,UI_YChallengeTitle01.png,4,UI_YChallengeMob01.png,7,消滅破壞爬呀爬大樹的怪物吧。,有時間限制。,1500,0,190146192,5,1,0,190146189,1,1,0,170195736,20,1,0,0,0,0,0,2,1,810008238,10,1,810008239,10,1,810008229,30,1,810008230,30,1,810008231,30,1,810008232,30,1,810008233,30,1,810008234,30,1,810008236,30,1,810008237,4
10010,擊退彭哥列盜賊團,235等級以上,51000001,10,51000002,10,UI_YChallengeTitle01.png,2,UI_YChallengeMob02.png,2,消滅佔領彭哥列列車的盜賊團吧。,有時間限制。,1500,0,190146192,5,1,0,190146189,1,1,0,170195737,20,1,0,0,0,0,0,2,1,810008299,1,1,810008303,1,1,810008306,1,1,810008309,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
