ID,_ChatKey,_ChatType,_ChatTypeID
1,/戰,1,1
2,/wjs,1,1
3,/s,1,1
4,/n,1,1
5,/友,1,2
6,/cls,1,2
7,/b,1,2
8,/yu,1,2
9,/公,1,3
10,/rlf,1,3
11,/g,1,3
12,/h,1,3
13,/隊,1,4
14,/vk,1,4
15,/p,1,4
16,/e,1,4
17,/悄,1,5
18,/rnlt,1,5
19,/w,1,5
20,/j,1,5
21,/微笑,2,4000001
22,/發火,2,4000002
23,/傷心,2,4000003
24,/鬥氣,2,4000004
25,/前面,2,4000005
26,/上面,2,4000006
27,/我,2,4000007
28,/問好,2,4000008
29,/好,2,4000009
30,/不好,2,4000010
31,/?,3,2003
32,/邀請加入公會,8,501
33,/guildadd,8,501
34,/退出公會,8,502
35,/guildleave,8,502
36,/邀請加入隊伍,4,201
37,/partyadd,4,201
38,/退出隊伍,4,202
39,/partyleave,4,202
40,/新增好友,5,301
41,/buddyadd,5,301
42,/刪除好友,5,302
43,/buddydel,5,302
44,/新增黑名單,5,303
45,/blockadd,5,303
46,/刪除黑名單,5,304
47,/blockdel,5,304
48,/兌換,6,401
49,/trade,6,401
50,/大笑,2,4000011
51,/哭泣,2,4000012
52,/害羞,2,4000013
53,/驚嚇,2,4000014
54,/荒唐,2,4000015
55,/好奇,2,4000016
56,/裝傻,2,4000017
57,/感動,2,4000018
58,/眨眼,2,4000019
59,/做鬼臉,2,4000020
60,/喜愛,2,4000021
61,/打瞌睡,2,4000022
62,/親親,2,4000023
63,/跳舞,2,4000024
64,/挫折,2,4000025
65,/傲慢,2,4000026
66,/最棒,2,4000027
67,/傻笑,2,4000028
68,/祝賀,2,4000029
69,/冷顫,2,4000030
70,/祈禱,2,4000031
71,/拍手,2,4000032
72,/撒嬌,2,4000033
73,/剪刀,2,4000034
74,/石頭,2,4000035
75,/布,2,4000036
76,/鏘,2,4000037
77,/鏘鏘,2,4000038
78,/用。,2,4000039
79,/拍額搞笑,2,4000040
80,/拍臉搞笑,2,4000041
81,/揮手搞笑,2,4000042
82,/交替拍額,2,4000043
83,/放屁,2,4000044
84,/復古,2,4000045
85,/兔子,2,4000046
86,/親親2,2,4000047
87,/搖擺,2,4000051
88,/拍打翅膀,2,4000052
89,/巨集,9,602
90,/哆嗦,2,4000054
91,/街舞1,2,4000062
92,/街舞2,2,4000063
93,/街舞3,2,4000064
94,/咆哮,2,4000057
95,/耍賴,2,4000059
96,/咳嗽,2,4000061
97,/裝死,2,4000065
98,/對戰,0,0
99,/match,0,0
100,/頻道,11,1101
101,/ch,11,1101
102,/c,11,1101
103,/dr,12,1031
104,/??,12,1031
105,/pdr,13,1041
106,/???,13,1041
107,/DR,12,1031
108,/PDR,13,1041
109,/C,11,1101
