ID,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Require4_Type,_Require4_ID,_Require4_Value1,_Require4_Value2,_Require5_Type,_Require5_ID,_Require5_Value1,_Require5_Value2,_Require6_Type,_Require6_ID,_Require6_Value1,_Require6_Value2,_Require7_Type,_Require7_ID,_Require7_Value1,_Require7_Value2,_Require8_Type,_Require8_ID,_Require8_Value1,_Require8_Value2,_Consumption_ItemID,_Consumption_Ely,_Class_Change,_ItemID1,_ItemCount1,_ItemRare1,_ItemID2,_ItemCount2,_ItemRare2,_ItemID3,_ItemCount3,_ItemRare3,_ItemID4,_ItemCount4,_ItemRare4,_Effect1,_Effect2,_Effect3,_Effect4
5,1,1,1,0,1,3,50,0,10,3,13,0,10,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,80801561,1,3,80400697,1,3,0,0,1,0,0,1,14002507,0,0,0
6,1,1,1,0,1,3,50,0,10,3,13,0,10,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,80601199,1,1,80601198,1,3,0,0,1,0,0,1,14002507,0,0,0
7,1,1,2,0,1,3,50,0,10,3,13,0,10,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,80700697,1,3,80301561,1,3,81101561,1,3,0,0,1,14002507,0,0,0
8,1,1,2,0,1,3,50,0,10,3,13,0,10,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,80100599,1,1,80100698,1,3,0,0,1,0,0,1,14002507,0,0,0
9,1,1,3,0,1,3,50,0,10,3,13,0,10,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,81200698,1,3,0,0,1,0,0,1,0,0,1,14002507,0,0,0
10,1,1,3,0,1,3,50,0,10,3,13,0,10,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,81301200,1,1,81301197,1,3,0,0,1,0,0,1,14002507,0,0,0
11,1,1,4,0,1,3,50,0,10,3,13,0,10,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,81000597,1,3,80900697,1,3,80200697,1,3,0,0,1,14002507,0,0,0
12,1,1,4,0,1,3,50,0,10,3,13,0,10,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,81401199,1,1,81401198,1,3,0,0,1,0,0,1,14002507,0,0,0
14,1,1,13,0,1,3,50,0,10,3,13,0,10,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,81600199,1,1,81600196,1,3,0,0,1,0,0,1,14002507,0,0,0
15,1,1,5,0,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,1,0,0,1,0,0,1,14002507,0,0,0
16,1,1,6,0,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,1,0,0,1,0,0,1,14002507,0,0,0
17,1,1,7,0,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,1,0,0,1,0,0,1,14002507,0,0,0
18,1,1,8,0,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,1,0,0,1,0,0,1,14002507,0,0,0
19,1,1,9,0,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,1,0,0,1,0,0,1,14002507,0,0,0
20,1,1,10,0,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,0,1,0,0,1,0,0,1,14002507,0,0,0
21,1,1,11,0,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,1,0,0,1,0,0,1,14002507,0,0,0
22,1,1,12,0,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0,1,0,0,1,0,0,1,14002507,0,0,0
23,1,1,14,0,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,1,0,0,1,0,0,1,14002507,0,0,0
34,1,1,33,0,1,3,50,0,10,3,13,0,10,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,82800697,1,3,0,0,1,0,0,1,0,0,1,14002507,0,0,0
35,1,1,34,0,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,1,0,0,1,0,0,1,0,0,1,14002507,0,0,0
36,1,1,5,0,1,3,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,164002502,1,4,170196603,1,1,0,0,1,0,0,1,14002507,0,0,0
37,1,1,6,0,1,3,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,164002502,1,4,170196603,1,1,0,0,1,0,0,1,14002507,0,0,0
38,1,1,7,0,1,3,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,164002502,1,4,170196603,1,1,0,0,1,0,0,1,14002507,0,0,0
39,1,1,8,0,1,3,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,164002502,1,4,170196603,1,1,0,0,1,0,0,1,14002507,0,0,0
40,1,1,9,0,1,3,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,164002502,1,4,170196603,1,1,0,0,1,0,0,1,14002507,0,0,0
41,1,1,10,0,1,3,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,164002502,1,4,170196603,1,1,0,0,1,0,0,1,14002507,0,0,0
42,1,1,11,0,1,3,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,164002502,1,4,170196603,1,1,0,0,1,0,0,1,14002507,0,0,0
43,1,1,12,0,1,3,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,164002502,1,4,170196603,1,1,0,0,1,0,0,1,14002507,0,0,0
44,1,1,14,0,1,3,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,164002502,1,4,170196603,1,1,0,0,1,0,0,1,14002507,0,0,0
45,1,1,34,0,1,3,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,164002502,1,4,170196603,1,1,0,0,1,0,0,1,14002507,0,0,0
