ID,_FX1,_FX2,_SoundEffect1,_Message,_Red,_Green,_Blue
1,0,0,0,已轉職為戰士。,0,0,0
2,0,0,0,已轉職為騎士。,0,0,0
3,0,0,0,已轉職為法師。,0,0,0
4,0,0,0,已轉職為遊俠。,0,0,0
5,15427,0,0,恭喜您! 已轉職為督軍!,0,0,0
6,15427,0,0,恭喜您! 已轉職為劍鬥士!,0,0,0
7,15427,0,0,恭喜您! 已轉職為聖殿騎士!,0,0,0
8,15427,0,0,恭喜您! 已轉職為武術家!,0,0,0
9,15427,0,0,恭喜您! 已轉職為魔導士!,0,0,0
10,15427,0,0,恭喜您! 已轉職為吟遊詩人!,0,0,0
11,15427,0,0,恭喜您! 已轉職為寶藏獵人!,0,0,0
12,15427,0,0,恭喜您! 已轉職為神槍手!,0,0,0
13,0,0,0,已轉職為工程師。,0,0,0
14,15427,0,0,恭喜您! 已轉職為機甲師!,0,0,0
15,15427,0,0,恭喜您! 已轉職為龍騎兵!,0,0,0
16,15427,0,0,恭喜您! 已轉職為劍聖!,0,0,0
17,15427,0,0,恭喜您! 已轉職為神騎士!,0,0,0
18,15427,0,0,恭喜您! 已轉職為宗師!,0,0,0
19,15427,0,0,恭喜您! 已轉職為元素使!,0,0,0
20,15427,0,0,恭喜您! 已轉職為演奏家!,0,0,0
21,15427,0,0,恭喜您! 已轉職為神射手!,0,0,0
22,15427,0,0,恭喜您! 已轉職為狙擊手!,0,0,0
23,15427,0,0,恭喜您! 已轉職為操控師!,0,0,0
24,15427,0,0,恭喜您! 已轉職為魂之勇者!,0,0,0
25,15427,0,0,恭喜您! 已轉職為劍刃舞者!,0,0,0
26,15427,0,0,恭喜您! 已轉職為恐懼騎士!,0,0,0
27,15427,0,0,恭喜您! 已轉職為鬥神!,0,0,0
28,15427,0,0,恭喜您! 已轉職為幻術師!,0,0,0
29,15427,0,0,恭喜您! 已轉職為音樂大師!,0,0,0
30,15427,0,0,恭喜您! 已轉職為忍者!,0,0,0
31,15427,0,0,恭喜您! 已轉職為審判者!,0,0,0
32,15427,0,0,恭喜您! 已轉職為改造大師!,0,0,0
33,0,0,0,已轉職為靈魂破壞者!,0,0,0
34,15427,0,0,恭喜您! 已轉職為靈魂掠奪者!,0,0,0
35,15427,0,0,恭喜您! 已轉職為靈魂統治者!,0,0,0
36,15427,0,0,恭喜成功轉職為天之王者!現在在跳躍時可以多跳一下囉!,0,0,0
37,15427,0,0,恭喜成功轉職為幻武劍豪!現在在跳躍時可以多跳一下囉!,0,0,0
38,15427,0,0,恭喜成功轉職為創世主!現在在跳躍時可以多跳一下囉!,0,0,0
39,15427,0,0,恭喜成功轉職為諸神使者!現在在跳躍時可以多跳一下囉!,0,0,0
40,15427,0,0,恭喜成功轉職為大毀滅者!現在在跳躍時可以多跳一下囉!,0,0,0
41,15427,0,0,恭喜成功轉職為流行天王!現在在跳躍時可以多跳一下囉!,0,0,0
42,15427,0,0,恭喜成功轉職為風之潛行者!現在在跳躍時可以多跳一下囉!,0,0,0
43,15427,0,0,恭喜成功轉職為裁決射手!現在在跳躍時可以多跳一下囉!,0,0,0
44,15427,0,0,恭喜成功轉職為究極兵甲!現在在跳躍時可以多跳一下囉!,0,0,0
45,15427,0,0,恭喜成功轉職為弒魂者!現在在跳躍時可以多跳一下囉!,0,0,0
46,0,0,0,已轉職為卡片大師!,0,0,0
47,15427,0,0,恭喜你! 已轉職為高階大師!,0,0,0
48,15427,0,0,恭喜你! 已轉職為神聖大師!,0,0,0
49,15427,0,0,恭喜你! 已轉職為弧形大師!,0,0,0
50,15427,0,0,恭喜你! 已轉職為決鬥大師!,0,0,0
51,15427,0,0,恭喜你! 已轉職為黑暗大師!,0,0,0
52,15427,0,0,恭喜你! 已轉職為暴力大師!,0,0,0
53,0,0,0,恭喜你! 已轉職為浪人劍客!,0,0,0
54,15427,0,0,恭喜你! 已轉職為狂刃武士!,0,0,0
55,15427,0,0,恭喜你! 已轉職為黑狼武士!,0,0,0
56,15427,0,0,恭喜你! 已轉職為闇影武士!,0,0,0
57,0,0,0,已轉職為修道士!,0,0,0
58,15427,0,0,恭喜您!已轉職為對戰大師!,0,0,0
59,15427,0,0,恭喜您!已轉職為復仇者!,0,0,0
60,15427,0,0,恭喜您!已轉職為混血天神!,0,0,0
61,0,0,0,已轉職為傭兵！,0,0,0
62,15427,0,0,恭喜你！已轉職為火焰大師！,0,0,0
63,15427,0,0,恭喜你！已轉職為喚焱者！,0,0,0
64,15427,0,0,恭喜你！已轉職為炙焰天！,0,0,0
65,0,0,0,轉職為擊劍士!,0,0,0
66,15427,0,0,恭喜! 轉職為終結者!,0,0,0
67,15427,0,0,恭喜! 轉職為劍極大師!,0,0,0
68,15427,0,0,恭喜! 轉職為黑暗追擊者!,0,0,0
69,15427,0,0,恭喜你! 已轉職為寶石之星!,0,0,0
70,0,0,0,已轉職為槍兵!,0,0,0
71,15427,0,0,恭喜! 已轉職為黑暗騎士!,0,0,0
72,15427,0,0,恭喜! 已轉職為和平使者!,0,0,0
73,15427,0,0,恭喜! 已轉職為暗影行者!,0,0,0
