ID,_Position,_Switch,_Class_Image,_Image_X,_Image_Y,_Graph_Str,_Graph_Def,_Graph_Ele,_Graph_Luk,_Weapon1,_Weapon2,_Weapon3,_Weapon4,_Cortrol,_Class_Description,_Class_BDescription,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Require4_Type,_Require4_ID,_Require4_Value1,_Require4_Value2,_Require5_Type,_Require5_ID,_Require5_Value1,_Require5_Value2,_Require6_Type,_Require6_ID,_Require6_Value1,_Require6_Value2,_Require7_Type,_Require7_ID,_Require7_Value1,_Require7_Value2,_Require8_Type,_Require8_ID,_Require8_Value1,_Require8_Value2,_Require_Error_Message,_ItemID1,_ItemCount1,_ItemRare1,_ItemID2,_ItemCount2,_ItemRare2,_ItemID3,_ItemCount3,_ItemRare3,_ItemID4,_ItemCount4,_ItemRare4,_Effect1,_Effect2,_Effect3,_Effect4,_Switch_Atk,_Switch_Def,_Switch_Ele,_Switch_Luk
1,1,24,DATA/INTERFACE/CONCEPT/UI_Button_022.png,257,1,45,30,10,15,1,0,0,0,2,守護位於天空之城'普雷伊奧斯'最高處之'魂之島'的偉大戰士。留下了曾於紛爭地區中使用特殊武器戰鬥的紀錄。,使用螺旋劍快速地攻擊周圍敵人。屬於近距離物理型職業。,1,3,140,0,10,3,13,0,10,3,14,0,10,3,15,0,10,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,需解除武器才能轉換。,81801599,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15,5,8
2,2,25,DATA/INTERFACE/CONCEPT/UI_Button_023.png,1,1,30,25,15,30,2,0,0,0,3,透過過去'龍京帝國'內的'劍法秘笈'學習劍術之人。他們所使用的劍看起來就像是在跳舞一樣。,利用飛燕劍舞出美麗的劍舞，並透過無法預測的飛劍造成敵人致命性的傷害。屬於中長距離物理型職業。,1,3,140,0,10,3,13,0,10,3,14,0,10,3,15,0,10,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,需解除武器才能轉換。,81901599,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,8,15
3,3,26,DATA/INTERFACE/CONCEPT/UI_Button_023.png,1,260,40,40,10,10,3,0,0,0,4,使用長拳套內蘊含了席巴黎雅帝國流傳的'不祥力量'的騎士。雖然這股力量在過去危險到幾乎可以讓帝國毀滅，但聽說利用帝國技術所製成的長拳套能得以控制。,擁有強大的體能，在與敵人的戰鬥中利用不堅的強韌意志與破壞力強大的攻擊壓制敵人。屬於近距離物理型職業。,1,3,140,0,10,3,13,0,10,3,14,0,10,3,15,0,10,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,需解除武器才能轉換。,82001599,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,5,6
4,4,27,DATA/INTERFACE/CONCEPT/UI_Button_022.png,257,260,30,30,20,20,4,0,0,0,4,透過席巴黎雅帝國的'魔法第1研究所'所進行的研究而獲得超能力的人。雖然初期存在暴走症狀，但在漸漸穩定後，已成為被眾人認可的職業。,透過近身搏鬥中特化而成的近身短打型技能，以及中長距離戰鬥中所特化而成的迅風快擊型技能進行獨樹一格的戰鬥。屬於近距離物理型職業。,1,3,140,0,10,3,13,0,10,3,14,0,10,3,15,0,10,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,需解除武器才能轉換。,82101599,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,10,10
5,5,28,DATA/INTERFACE/CONCEPT/UI_Button_023.png,257,260,30,20,35,15,5,0,0,0,4,認為塔內的研究無法改變世界而向外尋求的'賢者之塔'法師。聽說他們揮舞著蘊含魔力的巨大武器時，看起來就像幽靈一樣。,透過可以砍斬一切的巨大戰擊拐杖使敵人受到致命傷害。屬於近距離混合型(物理/魔法)職業。,1,3,140,0,10,3,13,0,10,3,14,0,10,3,15,0,10,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,需解除武器才能轉換。,82601599,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,18,8
6,6,29,DATA/INTERFACE/CONCEPT/UI_Button_024.png,1,1,15,20,50,15,6,0,0,0,2,來自同時具有魔法與音樂才能的魔法學院—傑芮尼斯魔法師。因魔力與音樂產生共鳴的樣子所著迷，便將志願由帝國魔法學院變更為同時進行魔法及音樂。,親自指揮管弦樂，利用優美的旋律讓敵人感受到痛苦。屬於中長距離魔法型職業。,1,3,140,0,10,3,13,0,10,3,14,0,10,3,15,0,10,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,需解除武器才能轉換。,82201599,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,25,8
7,7,30,DATA/INTERFACE/CONCEPT/UI_Button_022.png,1,260,20,20,15,45,7,0,0,0,5,具有特殊好奇心與執著，於獸人王國'剋立德'中習得好戰與快速戰鬥的探險家。看見他們活躍樣貌的人都認為他們像盜賊的幻影一般，不免對他們感到讚嘆。,利用短劍及盜賊短劍偷襲敵人後方，給予致命攻擊。屬於近距離物理型職業。,1,3,140,0,10,3,13,0,10,3,14,0,10,3,15,0,10,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,需解除武器才能轉換。,82301599,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,8,23
8,8,31,DATA/INTERFACE/CONCEPT/UI_Button_023.png,257,1,35,25,15,25,8,0,0,0,3,默默地幫助受苦的居民，不知不覺就成為審判罪人的冒險家。某些地區稱他們為守護者，但對某些地區來說，卻又是恐怖的存在。,同時擁有貫穿一切的'神槍類'技能和給予強烈攻擊的'劍類'技能。屬於物理型職業。,1,3,140,0,10,3,13,0,10,3,14,0,10,3,15,0,10,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,需解除武器才能轉換。,82401599,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,8,13
9,9,32,DATA/INTERFACE/CONCEPT/UI_Button_024.png,257,1,25,35,20,20,9,0,0,0,1,亞斯卡勒特人因為對電波科學及技術所著迷，進而加入席巴黎雅帝國工作室研究人工智慧的技術者。他們總是不停歇地在製造或研究些什麼。,利用守護自己的人工智慧機器人，以及能夠踏平周圍地區的陷阱型機器人對敵人進行強烈攻擊。屬於召喚型物理職業。,1,3,140,0,10,3,13,0,10,3,14,0,10,3,15,0,10,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,需解除武器才能轉換。,82501599,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,13,10
10,10,69,DATA/INTERFACE/CONCEPT/UI_Button_022.png,1,1,15,20,50,15,10,0,0,0,3,以光之聯合都市'魯曼'為中心，操縱著魔法寶石的寶石匠。在與戴伊墨斯教團的戰鬥中獲勝後，劍神吉斯卡德為了表達感謝之意便贈予了該稱號。,將美麗的寶石加以切割，給予我軍增益效果，同時帶給敵人致命的傷害。屬於中長距離魔法型職業。,1,3,140,0,10,3,13,0,10,3,14,0,10,3,15,0,10,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,需解除武器才能轉換。,84500901,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,25,8
