ID,_MobID,_StatusType1,_StatusValue1,_StatusType2,_StatusValue2,_StatusType3,_StatusValue3,_StatusType4,_StatusValue4,_Category,_Type,_Image,_ImageIndex,_ImagePosS_X,_ImagePosS_Y,_DisableFXGID,_FrontFXGID,_BackFXGID,_OpenLV,_OpenHP,_Kind,_Area,_ActiveFXGID,_ActiveSoundID,_Des,_Show
1,810000101,14,1,0,0,0,0,0,0,1,1,30011001,1,96,170,0,16255,0,1,1,1,1,16251,2248,無法將他當作怪物的可愛生物,1
2,810000104,26,1,0,0,0,0,0,0,1,2,30012001,1,64,106,0,16255,0,1,1,1,1,16251,2248,同時具備螞蟻和甲蟲特色的生物\n巨大的昆蟲形態，有堅硬的甲殼包裹全身。,1
3,810000109,22,1,0,0,0,0,0,0,1,2,30012001,2,64,106,0,16255,0,1,1,1,1,16251,2248,分佈在山林地帶的犬型怪物，身上貼附著樹葉。,1
4,810000111,18,1,0,0,0,0,0,0,1,2,30012001,3,64,106,0,16255,0,1,1,1,1,16251,2248,狼型怪物\n比起野狗，更善於戰鬥且力量強大。,1
6,810000112,14,10,22,10,0,0,0,0,1,2,30012001,5,64,106,0,16255,0,1,1,1,3,16251,2248,藍野狼\n有時會掉出很好的物品。\n如果是用矛槍的冒險家，可以專打藍野狼。,1
7,810000242,22,1,0,0,0,0,0,0,1,2,30012001,6,64,106,0,16255,0,1,1,1,3,16251,2248,具有非常快速又機敏的身體，遇到敵人時，會將脖子上的官帽立起，讓自己看起來很高大以威脅敵人。\n聽說有些種類甚至可以在水上行走…\n據說對準考生和更年期男性很好，使大家開始濫捕，最近陷入滅種的危機。,1
9,810000233,14,1,0,0,0,0,0,0,1,2,30012001,8,64,106,0,16255,0,1,1,1,3,16251,2248,古木林裡的兇猛怪獸。\n橫衝直撞這句話就是來自於對這怪獸的形容。,1
10,810000115,26,1,0,0,0,0,0,0,1,2,30012001,9,64,106,0,16255,0,1,1,1,4,16251,2248,在神殿登場的泡泡形怪物\n不是難纏的敵手，但不要以為他頭上有花就放心~!,1
12,810000113,18,1,0,0,0,0,0,0,1,2,30012001,10,64,106,0,16255,0,1,1,1,4,16251,2248,在冥王神殿中成群結隊生活的可愛泡泡形怪物，從冥王神殿中誕生，分散在世界各地。,1
15,810000118,22,1,0,0,0,0,0,0,1,1,30011001,2,96,170,0,16255,0,1,1,1,4,16251,2248,在六面體的身體裡，有著星形核心的軟泥形態怪物\n用糊狀的身體邊碰撞邊衝過來。,1
16,810000120,18,1,0,0,0,0,0,0,1,2,30012001,13,64,106,0,16255,0,1,1,1,4,16251,2248,使用鈍器攻擊人的怪物\n雖然臉看起來愚笨，其實實力堅強,1
17,810000105,14,1,0,0,0,0,0,0,1,2,30012001,14,64,106,0,16255,0,1,1,1,6,16251,2248,兵蟻G在地下洞穴繁殖，受到產生毒器的怪物攻擊時，會有一定的機率中毒。,1
18,810000170,26,1,0,0,0,0,0,0,1,1,30011001,3,96,170,0,16255,0,1,1,1,7,16251,2248,在原野地帶自在爬行，但如果有人經過，就會撲上來的可怕怪物。,1
19,810000114,26,10,18,10,0,0,0,0,1,2,30012001,15,64,106,0,16255,0,1,1,1,6,16251,2248,躲在貝羅斯地下洞穴，個性乖僻的變形泡泡。,1
41,810000121,26,1,0,0,0,0,0,0,1,2,30012002,7,64,106,0,16255,0,1,1,1,4,16251,2248,在許多的哥布林當中，擁有最強力量的哥布林。,1
22,810000171,26,1,0,0,0,0,0,0,1,2,30012002,1,64,106,0,16255,0,1,1,1,7,16251,2248,生存在原野地帶的怪物，雖然膽小，但攻擊時很恐怖。,1
29,810000147,14,1,0,0,0,0,0,0,2,1,30011001,4,96,170,0,16255,0,1,1,2,6,16251,2248,成群飛翔的怪物\n說不定會成為地下洞穴裡最難纏的敵手…?\n關鍵在於如何分散他們，並一對一進行攻擊!!,1
26,810000287,26,1,0,0,0,0,0,0,2,3,30013012,1,0,0,0,16255,0,1,1,1,11,16251,2248,原本住在 AJJIYA 山洞穴裡的小爬蟲類\n雖然看起來像隻蜥蜴，但是擁有暗黑龍提亞馬特和幼龍影波克的魔力，可以變大成人類的高度。\n做為一個忠實的士兵，會接受命令並守護家園。,1
27,810000288,22,1,0,0,0,0,0,0,2,3,30013012,2,0,0,0,16255,0,1,1,1,11,16251,2248,雖然看起來像隻蜥蜴，但是擁有暗黑龍提亞馬特和幼龍影波克的魔力，變大成人類的高度後，做為一個忠實的士兵，會接受命令並守護家園，具有邪惡蜥蜴的靈魂。,1
28,810000124,18,1,0,0,0,0,0,0,2,2,30012002,4,64,106,0,16255,0,1,1,1,12,16251,2248,居住在山嶽地帶的好戰怪物，具有會讓人聯想到狐狸的外貌，四處都有他們嘟嚕嘟嚕走動的蹤跡。\n對於磨練武器是相當好的怪物。,1
32,810000285,14,1,0,0,0,0,0,0,2,3,30013001,2,0,0,0,16255,0,1,1,1,11,16251,2248,他是亞瑟王圓桌武士中的一人，出發尋找成敗的冒險，卻跌入次元的縫隙當中，現在在彩虹島世界中徘徊。他認為這是上天給予他的試煉。\n不過，他的想法卻是受到 <影波克>施予的控制精神魔法所操縱。,1
33,810000123,26,1,0,0,0,0,0,0,2,3,30013001,1,0,0,0,16255,0,1,1,1,12,16251,2248,在山嶽地帶襲擊旅行者的兇暴野熊，雖然速度比老虎慢，但具有更強大的力量和體力。,1
35,810000289,18,1,0,0,0,0,0,0,2,2,30012008,2,64,106,0,16255,0,1,1,2,11,16251,2248,侍奉精靈王歐備倫和王妃泰翼娜的精靈族成員。\n受影波克影響喪失力量，只能守護地牢，個性變得扭曲。\n也對，原本在精靈國是守護國王和女王的的重要角色，現在卻被派到人類世界來… ，不管是誰個性都會扭曲的。,1
37,810000286,26,2,70,5,0,0,0,0,2,3,30013012,3,0,0,0,16255,0,1,1,1,11,16251,2248,這東西若因傳說中不祥的魔水而誕生，將會使國家農作物歉收或發生怪病。\n他的外貌結合了許多動物，名字本身就具有‘不知道是什麼’的意義。\n 無法知道他為什麼或從哪裡出現，據說他會為了保護幼龍，而召喚提亞馬特…,1
38,810000132,22,1,0,0,0,0,0,0,2,3,30013001,3,0,0,0,16255,0,1,1,1,12,16251,2248,棲息在山嶽地帶深處洞穴中的兇暴野熊,1
40,810000175,14,1,0,0,0,0,0,0,2,1,30011001,6,96,170,0,16255,0,1,1,1,12,16251,2248,生長在山嶽地帶，長得可愛卻唐突的怪物。,1
44,810000174,106,1,114,10,118,10,0,0,2,3,30013001,4,0,0,0,16255,0,1,1,1,12,16251,2248,生長在山嶽地帶，變得兇巴巴的怪力野狼。,1
46,810000108,22,1,0,0,0,0,0,0,2,2,30012002,9,64,106,0,16255,0,1,1,1,16,16251,2248,生活在紅高粱地，長得很華麗的變形兵蟻G,1
48,810000130,14,1,0,0,0,0,0,0,2,1,30011001,8,96,170,0,16255,0,1,1,1,17,16251,2248,生長在阿爾卡笛亞，非常可怕的變形青蛙怪,1
50,810000128,22,1,0,0,0,0,0,0,2,2,30012002,10,64,106,0,16255,0,1,1,1,12,16251,2248,雖然她有美麗少女的外貌，實際上卻是有九條尾巴的狐狸?!,1
51,810000129,18,1,0,0,0,0,0,0,2,2,30012002,11,64,106,0,16255,0,1,1,1,17,16251,2248,行經阿爾卡笛亞，看起來軟弱但其實非常兇狠的變形九尾狐,1
