ID,_Stat
1,14
2,18
3,22
4,26
5,30
6,34
7,38
8,42
9,46
10,50
11,54
12,58
13,62
14,66
15,70
16,74
17,78
18,82
19,86
20,90
21,94
22,98
23,102
24,106
25,110
26,114
27,118
28,124
29,128
30,132
31,136
32,140
33,144
34,148
35,152
36,156
37,158
38,162
39,164
40,168
41,172
42,176
43,180
44,184
45,188
46,192
47,196
48,198
49,199
50,200
51,201
52,204
53,206
54,207
55,208
56,209
57,212
58,216
59,222
60,223
61,224
62,225
63,226
64,227
65,228
66,229
67,232
68,236
69,240
70,244
71,254
72,258
73,262
74,266
75,270
76,274
77,278
78,282
79,292
80,296
81,300
82,305
83,306
84,307
85,308
86,309
87,310
88,311
89,312
90,313
91,314
92,315
93,316
94,319
95,323
96,327
97,331
98,335
99,217
100,15
101,19
102,23
103,27
104,455
105,456
106,457
107,458
108,459
109,460
110,461
111,462
112,463
113,464
114,465
115,466
116,31
117,35
118,492
119,496
120,552
121,553
122,408
123,409
124,410
125,71
126,494
127,495
128,448
129,566
130,570
131,573
132,574
