ID,_MissionType,_QuestID,_Item1,_ItemCount1,_ItemRare1,_Item2,_ItemCount2,_ItemRare2,_Item3,_ItemCount3,_ItemRare3,_Item4,_ItemCount4,_ItemRare4,_Effect1,_Effect2,_Effect3,_Effect4,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Require4_Type,_Require4_ID,_Require4_Value1,_Require4_Value2,_Require5_Type,_Require5_ID,_Require5_Value1,_Require5_Value2,_Require6_Type,_Require6_ID,_Require6_Value1,_Require6_Value2,_Require7_Type,_Require7_ID,_Require7_Value1,_Require7_Value2,_Require8_Type,_Require8_ID,_Require8_Value1,_Require8_Value2,_Save1,_Save2,_A_Save1,_A_Save2,_Save_Check,_Reputation_Open,_EventType,_TypeID,_Consumption_ItemID1,_Consumption_ItemID2,_Consumption_ItemID3,_Consumption_ItemID4,_Del_Effect1,_Del_Effect2,_Del_Effect3,_Del_Effect4,_NoticeType,_Notice
9101121,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9101122,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9101123,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9101124,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9101125,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9101126,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9101127,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9101128,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9101129,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9101130,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9101131,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9101132,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9101133,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2210011,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2220011,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2230011,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2240011,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2250011,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2260011,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2270011,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116401001,2,0,0,0,1,0,0,1,0,0,1,0,0,1,70000001,0,0,0,1,3,10,0,16,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116401002,2,0,0,0,1,0,0,1,0,0,1,0,0,1,70000003,0,0,0,1,3,10,0,16,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116401003,2,0,0,0,1,0,0,1,0,0,1,0,0,1,70000002,0,0,0,1,3,10,0,16,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116401004,2,0,0,0,1,0,0,1,0,0,1,0,0,1,70000004,0,0,0,1,3,10,0,16,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116401005,2,0,0,0,1,0,0,1,0,0,1,0,0,1,70000005,0,0,0,1,3,10,0,16,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116402000,2,0,0,0,1,0,0,1,0,0,1,0,0,1,14600501,0,0,0,3,1,6000001,0,3,3,6005001,0,3,3,6006001,0,1,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116402001,2,0,0,0,1,0,0,1,0,0,1,0,0,1,14600601,0,0,0,3,1,6000001,0,3,3,6005001,0,3,3,6006001,0,1,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116403000,2,0,0,0,1,0,0,1,0,0,1,0,0,1,14600502,0,0,0,3,1,6000002,0,3,3,6005002,0,3,3,6006002,0,1,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116403001,2,0,0,0,1,0,0,1,0,0,1,0,0,1,14600602,0,0,0,3,1,6000002,0,3,3,6005002,0,3,3,6006002,0,1,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116404000,2,0,0,0,1,0,0,1,0,0,1,0,0,1,14600503,0,0,0,3,1,6000003,0,3,3,6005003,0,3,3,6006003,0,1,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116404001,2,0,0,0,1,0,0,1,0,0,1,0,0,1,14600603,0,0,0,3,1,6000003,0,3,3,6005003,0,3,3,6006003,0,1,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116405000,2,0,0,0,1,0,0,1,0,0,1,0,0,1,14600301,0,0,0,3,1,6002001,0,3,3,6003001,0,3,3,6003101,0,1,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116405001,2,0,0,0,1,0,0,1,0,0,1,0,0,1,14600311,0,0,0,3,1,6002001,0,3,3,6003001,0,3,3,6003101,0,1,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116406000,2,0,0,0,1,0,0,1,0,0,1,0,0,1,14600302,0,0,0,3,1,6002002,0,3,3,6003002,0,3,3,6003102,0,1,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116406001,2,0,0,0,1,0,0,1,0,0,1,0,0,1,14600312,0,0,0,3,1,6002002,0,3,3,6003002,0,3,3,6003102,0,1,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116407000,2,0,0,0,1,0,0,1,0,0,1,0,0,1,14600303,0,0,0,3,1,6002003,0,3,3,6003003,0,3,3,6003103,0,1,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116407001,2,0,0,0,1,0,0,1,0,0,1,0,0,1,14600313,0,0,0,3,1,6002003,0,3,3,6003003,0,3,3,6003103,0,1,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116408000,2,0,0,0,1,0,0,1,0,0,1,0,0,1,14600304,0,0,0,3,1,6002004,0,3,3,6003004,0,3,3,6003104,0,1,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116408001,2,0,0,0,1,0,0,1,0,0,1,0,0,1,14600314,0,0,0,3,1,6002004,0,3,3,6003004,0,3,3,6003104,0,1,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116409000,2,0,0,0,1,0,0,1,0,0,1,0,0,1,14600305,0,0,0,3,1,6002005,0,3,3,6003005,0,3,3,6003105,0,1,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116409001,2,0,0,0,1,0,0,1,0,0,1,0,0,1,14600315,0,0,0,3,1,6002005,0,3,3,6003005,0,3,3,6003105,0,1,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9000022,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8911230,2,0,170140305,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,0,0,0,0,0,3,8811222,0,0,0,0,0,0,0,0,0,
9011146,2,0,170140102,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,568,0,1,3,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9012052,2,0,170140201,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,569,0,1,3,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93507000,2,0,190150901,3,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,567,0,1,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9001132,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,2,566,0,1,3,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
115001000,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
