ID,_Inventory1,_InventoryCount1,_Inventory2,_InventoryCount2,_Inventory3,_InventoryCount3,_Inventory4,_InventoryCount4,_QuestCount,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Require4_Type,_Require4_ID,_Require4_Value1,_Require4_Value2,_Require5_Type,_Require5_ID,_Require5_Value1,_Require5_Value2,_Require6_Type,_Require6_ID,_Require6_Value1,_Require6_Value2,_Require7_Type,_Require7_ID,_Require7_Value1,_Require7_Value2,_Require8_Type,_Require8_ID,_Require8_Value1,_Require8_Value2,_EventType,_EventTypeID,_Cp_Mission
8800111,2,1,0,0,0,0,0,0,0,9,2,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8811211,0
9000038,2,1,0,0,0,0,0,0,0,9,2,568,0,1,3,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9011038,0
9000039,2,1,0,0,0,0,0,0,0,9,2,569,0,1,3,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9012039,0
93507000,4,1,0,0,0,0,0,0,0,9,2,567,0,1,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93507000,0
9000020,0,0,0,0,0,0,0,0,0,9,2,566,0,1,3,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9001020,0
820011,0,0,0,0,0,0,0,0,0,4,3,115042000,0,9,2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,831111,0
820012,0,0,0,0,0,0,0,0,0,9,1,41,0,9,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,832112,0
820013,0,0,0,0,0,0,0,0,0,9,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,833113,0
820014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,834114,0
115003000,0,0,0,0,0,0,0,0,0,9,2,3,0,9,1,2,0,1,3,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115003000,0
115004000,0,0,0,0,0,0,0,0,0,9,2,3,0,0,0,0,0,1,3,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115004000,0
115004100,0,0,0,0,0,0,0,0,0,9,2,4,0,9,1,3,0,1,3,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115004100,0
115005000,0,0,0,0,0,0,0,0,0,9,2,5,0,9,1,4,0,1,3,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115005000,0
115006000,0,0,0,0,0,0,0,0,0,9,2,6,0,9,1,5,0,1,3,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115006000,0
115007000,0,0,0,0,0,0,0,0,0,9,2,7,0,9,1,6,0,1,3,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115007000,0
115008000,0,0,0,0,0,0,0,0,0,9,2,8,0,9,1,7,0,1,3,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115008000,0
115009000,0,0,0,0,0,0,0,0,0,9,2,9,0,9,1,8,0,1,3,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115009000,0
115010000,0,0,0,0,0,0,0,0,0,9,2,10,0,9,1,9,0,1,3,999,0,4,1,115009000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115010000,0
115011000,0,0,0,0,0,0,0,0,0,9,2,11,0,9,1,10,0,1,3,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115011000,0
115012000,0,0,0,0,0,0,0,0,0,9,2,12,0,9,1,9,0,1,3,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115012000,0
115013000,0,0,0,0,0,0,0,0,0,9,2,13,0,9,1,12,0,1,3,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115013000,0
115014000,0,0,0,0,0,0,0,0,0,4,3,115015000,0,9,1,13,0,1,3,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115014000,0
115015000,0,0,0,0,0,0,0,0,0,9,2,15,0,0,0,0,0,1,3,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115015000,0
115016000,0,0,0,0,0,0,0,0,0,4,3,115017000,0,9,1,15,0,1,3,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115016000,0
115017000,0,0,0,0,0,0,0,0,0,9,2,17,0,9,1,16,0,1,3,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115017000,0
115018000,0,0,0,0,0,0,0,0,0,9,2,18,0,9,1,17,0,1,3,999,0,4,3,115018000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115018000,0
115019000,0,0,0,0,0,0,0,0,0,9,2,19,0,9,1,18,0,1,3,999,0,4,3,115018000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115019000,0
115020000,0,0,0,0,0,0,0,0,0,9,2,20,0,9,1,19,0,1,3,999,0,4,3,115021000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115020000,0
115021000,0,0,0,0,0,0,0,0,0,9,2,21,0,9,1,20,0,1,3,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115021000,0
