ID,_EventID1,_EventID2,_EventID3,_EventID4,_EventID5,_EventID6,_EventID7,_EventID8,_EventID9,_EventID10
9000017,9000017,0,0,0,0,0,0,0,0,0
9000021,9000021,0,0,0,0,0,0,0,0,0
9000022,9000022,0,0,0,0,0,0,0,0,0
9000023,9000023,0,0,0,0,0,0,0,0,0
9000024,9000024,0,0,0,0,0,0,0,0,0
9000025,9000025,0,0,0,0,0,0,0,0,0
9000026,9000026,0,0,0,0,0,0,0,0,0
9000027,9000027,0,0,0,0,0,0,0,0,0
9000028,9000028,0,0,0,0,0,0,0,0,0
9000029,9000029,0,0,0,0,0,0,0,0,0
9000030,9000030,0,0,0,0,0,0,0,0,0
9000031,9000031,0,0,0,0,0,0,0,0,0
9000032,9000032,0,0,0,0,0,0,0,0,0
9000033,9000033,0,0,0,0,0,0,0,0,0
2210011,2210011,0,0,0,0,0,0,0,0,0
2220011,2220011,0,0,0,0,0,0,0,0,0
2230011,2230011,0,0,0,0,0,0,0,0,0
2240011,2240011,0,0,0,0,0,0,0,0,0
2250011,2250011,0,0,0,0,0,0,0,0,0
2260011,2260011,0,0,0,0,0,0,0,0,0
2270011,2270011,0,0,0,0,0,0,0,0,0
115001000,115001000,0,0,0,0,0,0,0,0,0
115003000,115003000,0,0,0,0,0,0,0,0,0
115004000,115004000,0,0,0,0,0,0,0,0,0
115004100,115004100,0,0,0,0,0,0,0,0,0
115005000,115005000,0,0,0,0,0,0,0,0,0
115006000,115006000,0,0,0,0,0,0,0,0,0
115007000,115007000,0,0,0,0,0,0,0,0,0
115008000,115008000,0,0,0,0,0,0,0,0,0
115009000,115009000,0,0,0,0,0,0,0,0,0
115010000,115010000,0,0,0,0,0,0,0,0,0
115011000,115011000,0,0,0,0,0,0,0,0,0
115012000,115012000,0,0,0,0,0,0,0,0,0
115013000,115013000,0,0,0,0,0,0,0,0,0
115014000,115014000,0,0,0,0,0,0,0,0,0
115015000,115015000,0,0,0,0,0,0,0,0,0
115016000,115016000,0,0,0,0,0,0,0,0,0
115017000,115017000,0,0,0,0,0,0,0,0,0
115018000,115018000,0,0,0,0,0,0,0,0,0
115019000,115019000,0,0,0,0,0,0,0,0,0
115020000,115020000,0,0,0,0,0,0,0,0,0
115021000,115021000,0,0,0,0,0,0,0,0,0
115022000,115022000,0,0,0,0,0,0,0,0,0
115023000,115023000,0,0,0,0,0,0,0,0,0
115024000,115024000,0,0,0,0,0,0,0,0,0
115025000,115025000,0,0,0,0,0,0,0,0,0
115026000,115026000,0,0,0,0,0,0,0,0,0
115027000,115027000,0,0,0,0,0,0,0,0,0
115028000,115028000,0,0,0,0,0,0,0,0,0
115029000,115029000,0,0,0,0,0,0,0,0,0
115030000,115030000,0,0,0,0,0,0,0,0,0
115031000,115031000,0,0,0,0,0,0,0,0,0
115032000,115032000,0,0,0,0,0,0,0,0,0
115033000,115033000,0,0,0,0,0,0,0,0,0
115034000,115034000,0,0,0,0,0,0,0,0,0
115035000,115035000,0,0,0,0,0,0,0,0,0
115036000,115036000,0,0,0,0,0,0,0,0,0
115037000,115037000,0,0,0,0,0,0,0,0,0
115038000,115038000,0,0,0,0,0,0,0,0,0
115039000,115039000,115039100,115039200,0,0,0,0,0,0,0
115040000,115040000,0,0,0,0,0,0,0,0,0
115041000,115041000,0,0,0,0,0,0,0,0,0
115042000,115042000,0,0,0,0,0,0,0,0,0
115043000,115043000,0,0,0,0,0,0,0,0,0
115044000,115044000,0,0,0,0,0,0,0,0,0
115045000,115045000,115045100,115045200,0,0,0,0,0,0,0
115046000,115046000,125001000,0,0,0,0,0,0,0,0
20204,104110,201110,201120,201130,601110,601120,601130,602110,602120,0
9000013,8800111,0,0,0,0,0,0,0,0,0
9000038,9000038,0,0,0,0,0,0,0,0,0
9000039,9000039,0,0,0,0,0,0,0,0,0
93507000,93507000,0,0,0,0,0,0,0,0,0
9000020,9000020,0,0,0,0,0,0,0,0,0
117101000,117101000,117101001,117109000,0,0,0,0,0,0,0
117102000,117102000,0,0,0,0,0,0,0,0,0
