ID,_class,_item,_ClassInfo_image,_ClassInfo_X,_ClassInfo_Y,_ClassTree_image,_ClassTree_X,_ClassTree_Y,_image,_ClassType,_Class_Number1,_Class_Number2,_ClassType1_Weaporn,_ClassType1_Skill1,_ClassType1_Skill2,_ClassType1_Skill3,_ClassType1_Skill4,_ClassType1_Skill5,_ClassType2_Weaporn,_ClassType2_Skill1,_ClassType2_Skill2,_ClassType2_Skill3,_ClassType2_Skill4,_ClassType2_Skill5
1,1,6,R_Lobby_015.png,1,1,R_Lobby_018.png,1,1,R_Create_Warrior.png,2,36,37,80404801,1107005,1212005,1210005,1211005,1802401,80604801,1210021,1109021,1210103,1210104,1802403
2,2,25,R_Lobby_015.png,1,170,R_Lobby_018.png,1,139,R_Create_Knight.png,2,38,39,80704801,1211101,1211103,1802407,1211104,1802406,80104801,1104001,1100109,1106001,1106002,1802408
3,3,256,R_Lobby_015.png,1,339,R_Lobby_018.png,1,277,R_Create_Mage.png,2,40,41,81204801,2107006,2211103,2107002,2106001,1802409,81304801,1108001,3001016,3101023,1108000,1802410
4,4,224,R_Lobby_015.png,1,508,R_Lobby_018.png,1,415,R_Create_Explorer.png,2,42,43,81004801,1105009,1108019,1211009,1109009,1802413,81404801,1100420,1100520,1103020,1100620,1802414
5,5,512,R_Lobby_015.png,1,677,R_Lobby_018.png,1,553,R_Create_Engineer.png,1,44,0,81604801,1101022,1102022,1212026,1210022,3814404,0,0,0,0,0,0
6,6,1024,R_Lobby_015.png,1,846,R_Lobby_018.png,1,691,R_Create_Soul.png,1,45,0,82804801,1100033,1106033,1103033,1210036,1802416,0,0,0,0,0,0
7,7,2048,R_Lobby_016.png,1,1,R_Lobby_018.png,1,829,R_Create_Card.png,2,49,52,82904801,1313048,1310049,1311052,1311049,1802417,82904801,1313250,1310056,1310052,1311051,1802418
8,8,4096,R_Lobby_016.png,1,170,R_Lobby_019.png,1,1,R_Create_Wanderer.png,1,56,0,84004801,1411055,1412055,1802419,1416055,1802420,0,0,0,0,0,0
9,9,8192,R_Lobby_016.png,1,339,R_Lobby_019.png,1,139,R_Create_Monk.png,1,60,0,84204801,1759106,1759107,1759108,1759109,1802421,0,0,0,0,0,0
10,10,16384,R_Lobby_016.png,1,508,R_Lobby_019.png,1,277,R_Create_Agni.png,1,64,0,84304801,1801301,1801302,1801306,1801307,1802422,0,0,0,0,0,0
11,11,32768,R_Lobby_016.png,1,677,R_Lobby_019.png,1,415,R_Create_Fencer.png,1,68,0,84404801,1802308,1802311,1802305,1802306,1802423,0,0,0,0,0,0
12,12,65536,R_Lobby_016.png,1,846,R_Lobby_019.png,1,553,R_Create_Lancer.png,1,73,0,84604801,1803321,1803323,1803324,1803322,1802424,0,0,0,0,0,0
