ID,_Crop_Require1_Type,_Crop_Require1_ID,_Crop_Require1_Value1,_Crop_Require1_Value2,_Crop_Require2_Type,_Crop_Require2_ID,_Crop_Require2_Value1,_Crop_Require2_Value2,_Crop_Require3_Type,_Crop_Require3_ID,_Crop_Require3_Value1,_Crop_Require3_Value2,_Crop_ItemID1,_Crop_ItemCount1,_Crop_Create_Event1,_Crop_Create_Event2,_Crop_Time,_Crop_Level2_Time,_Crop_Level3_Time,_Crop_Cooltime,_Crop_Level1_Image,_Crop_Talk1,_Crop_Cut1_Image,_Crop_Level2_Image,_Crop_Talk2,_Crop_Cut2_Image,_Crop_Level3_Image,_Crop_Talk3,_Crop_Cut3_Image,_Crop_Level4_Image,_Crop_Talk4,_Crop_Cut4_Image,_Crop_Ui_Image1,_Crop_Ui_Image2,_Crop_Ui_Image3,_Crop_Ui_Image4,_Crop_Harvest_Call
1,2,1,190170402,1,8,2,1,1,8,1,1,50,190170402,1,591000,0,1209600,864000,345600,36000,812090000,…你有聽說過小璞咻呼咻是吃素的嗎？緊張緊張，心跳心跳,27101100,812090001,我才小小年紀就要對一個家負責… 肩膀沉重…,27101101,812090002,守秩序、又保持中立，大家都是難纏的人耶。不管怎麼樣，享受人生才是最重要的吧？不是嗎？朋友~,27101102,812090003,喔!年輕人，可以在我的根部倒點啤酒嗎？嘿~呵~嘿~呵~呵呵呵呵~,27101103,27101000,27101001,27101002,27101003,10701
2,2,1,190170502,1,8,2,2,2,8,1,1,50,190170502,1,592000,0,1209600,864000,345600,36000,812090100,這塊地太陰暗了… 好冷喔… 你可以多陪我一會兒嗎？,27102100,812090101,我有好多好多媽媽和爸爸，我好幸福,27102101,812090102,美麗的朋友，我今天又夢到你囉。是充滿花和陽光的夢喔。,27102102,812090103,最後一天就要來臨了。 我相信我們會在黃金庭園中再相逢，所以不悲傷。你好，青春和永遠的孩子們~,27102103,27102000,27102001,27102002,27102003,10702
3,2,1,190170602,1,8,2,3,3,8,1,1,50,190170602,1,593000,0,1209600,864000,345600,36000,812090200,和Big Bang一起到來的世紀大明星！不要因為是迷你版就小看他！呀呼嗚嗚嗚!!!!,27103100,812090201,不要因為是迷你版就小看他!這可是個了不起的植物!,27103101,812090202,今天在我胃裡的世界，第72個勇士擊敗了魔王。真討厭! 那些正義又長得不好看的傢夥被毆打了。不是很可憐嗎？嗯？嗯？,27103102,812090203,哼嗯… 在我胃裡出生又死去的小東西和你們其實是一樣的。要不要小小的來比一場？呵呵呵…,27103103,27103000,27103001,27103002,27103003,10703
4,2,1,190170403,1,8,2,1,1,8,1,1,50,190170403,1,591000,0,10,7,4,36000,812090000,…你有聽說過小璞咻呼咻是吃素的嗎？緊張緊張，心跳心跳,27101100,812090001,我才小小年紀就要對一個家負責… 肩膀沉重…,27101101,812090002,守秩序、又保持中立，大家都是難纏的人耶。不管怎麼樣，享受人生才是最重要的吧？不是嗎？朋友~,27101102,812090003,喔!年輕人，可以在我的根部倒點啤酒嗎？嘿~呵~嘿~呵~呵呵呵呵~,27101103,27101000,27101001,27101002,27101003,10701
5,2,1,190170503,1,8,2,2,2,8,1,1,50,190170503,1,592000,0,10,7,4,36000,812090100,這塊地太陰暗了… 好冷喔… 你可以多陪我一會兒嗎？,27102100,812090101,我有好多好多媽媽和爸爸，我好幸福,27102101,812090102,美麗的朋友，我今天又夢到你囉。是充滿花和陽光的夢喔。,27102102,812090103,最後一天就要來臨了。 我相信我們會在黃金庭園中再相逢，所以不悲傷。你好，青春和永遠的孩子們~,27102103,27102000,27102001,27102002,27102003,10702
6,2,1,190170603,1,8,2,3,3,8,1,1,50,190170603,1,593000,0,10,7,4,36000,812090200,和Big Bang一起到來的世紀大明星！不要因為是迷你版就小看他！呀呼嗚嗚嗚!!!!,27103100,812090201,不要因為是迷你版就小看他!這可是個了不起的植物!,27103101,812090202,今天在我胃裡的世界，第72個勇士擊敗了魔王。真討厭! 那些正義又長得不好看的傢夥被毆打了。不是很可憐嗎？嗯？嗯？,27103102,812090203,哼嗯… 在我胃裡出生又死去的小東西和你們其實是一樣的。要不要小小的來比一場？呵呵呵…,27103103,27103000,27103001,27103002,27103003,10703
7,2,1,190170404,1,8,2,1,1,8,1,1,50,190170404,1,591000,0,1209600,864000,345600,36000,812090000,…你有聽說過小璞咻呼咻是吃素的嗎？緊張緊張，心跳心跳,27101100,812090001,我才小小年紀就要對一個家負責… 肩膀沉重…,27101101,812090002,守秩序、又保持中立，大家都是難纏的人耶。不管怎麼樣，享受人生才是最重要的吧？不是嗎？朋友~,27101102,812090003,喔!年輕人，可以在我的根部倒點啤酒嗎？嘿~呵~嘿~呵~呵呵呵呵~,27101103,27101000,27101001,27101002,27101003,10081
8,2,1,190170504,1,8,2,2,2,8,1,1,50,190170504,1,592000,0,1209600,864000,345600,36000,812090100,這塊地太陰暗了… 好冷喔… 你可以多陪我一會兒嗎？,27102100,812090101,我有好多好多媽媽和爸爸，我好幸福,27102101,812090102,美麗的朋友，我今天又夢到你囉。是充滿花和陽光的夢喔。,27102102,812090103,最後一天就要來臨了。 我相信我們會在黃金庭園中再相逢，所以不悲傷。你好，青春和永遠的孩子們~,27102103,27102000,27102001,27102002,27102003,10082
9,2,1,190170604,1,8,2,3,3,8,1,1,50,190170604,1,593000,0,1209600,864000,345600,36000,812090200,和Big Bang一起到來的世紀大明星！不要因為是迷你版就小看他！呀呼嗚嗚嗚!!!!,27103100,812090201,不要因為是迷你版就小看他!這可是個了不起的植物!,27103101,812090202,今天在我胃裡的世界，第72個勇士擊敗了魔王。真討厭! 那些正義又長得不好看的傢夥被毆打了。不是很可憐嗎？嗯？嗯？,27103102,812090203,哼嗯… 在我胃裡出生又死去的小東西和你們其實是一樣的。要不要小小的來比一場？呵呵呵…,27103103,27103000,27103001,27103002,27103003,10083
10,2,1,190170405,1,8,2,1,1,8,1,1,50,190170405,1,591000,0,10,7,4,36000,812090000,…你有聽說過小璞咻呼咻是吃素的嗎？緊張緊張，心跳心跳,27101100,812090001,我才小小年紀就要對一個家負責… 肩膀沉重…,27101101,812090002,守秩序、又保持中立，大家都是難纏的人耶。不管怎麼樣，享受人生才是最重要的吧？不是嗎？朋友~,27101102,812090003,喔!年輕人，可以在我的根部倒點啤酒嗎？嘿~呵~嘿~呵~呵呵呵呵~,27101103,27101000,27101001,27101002,27101003,10081
11,2,1,190170505,1,8,2,2,2,8,1,1,50,190170505,1,592000,0,10,7,4,36000,812090100,這塊地太陰暗了… 好冷喔… 你可以多陪我一會兒嗎？,27102100,812090101,我有好多好多媽媽和爸爸，我好幸福,27102101,812090102,美麗的朋友，我今天又夢到你囉。是充滿花和陽光的夢喔。,27102102,812090103,最後一天就要來臨了。 我相信我們會在黃金庭園中再相逢，所以不悲傷。你好，青春和永遠的孩子們~,27102103,27102000,27102001,27102002,27102003,10082
12,2,1,190170605,1,8,2,3,3,8,1,1,50,190170605,1,593000,0,10,7,4,36000,812090200,和Big Bang一起到來的世紀大明星！不要因為是迷你版就小看他！呀呼嗚嗚嗚!!!!,27103100,812090201,不要因為是迷你版就小看他!這可是個了不起的植物!,27103101,812090202,今天在我胃裡的世界，第72個勇士擊敗了魔王。真討厭! 那些正義又長得不好看的傢夥被毆打了。不是很可憐嗎？嗯？嗯？,27103102,812090203,哼嗯… 在我胃裡出生又死去的小東西和你們其實是一樣的。要不要小小的來比一場？呵呵呵…,27103103,27103000,27103001,27103002,27103003,10083
13,2,1,190170406,1,8,2,1,1,8,1,1,50,190170406,1,591000,0,10,7,4,36000,812090000,…你有聽說過小璞咻呼咻是吃素的嗎？緊張緊張，心跳心跳,27101100,812090001,我才小小年紀就要對一個家負責… 肩膀沉重…,27101101,812090002,守秩序、又保持中立，大家都是難纏的人耶。不管怎麼樣，享受人生才是最重要的吧？不是嗎？朋友~,27101102,812090003,喔!年輕人，可以在我的根部倒點啤酒嗎？嘿~呵~嘿~呵~呵呵呵呵~,27101103,27101000,27101001,27101002,27101003,10701
14,2,1,190170506,1,8,2,2,2,8,1,1,50,190170506,1,592000,0,10,7,4,36000,812090100,這塊地太陰暗了… 好冷喔… 你可以多陪我一會兒嗎？,27102100,812090101,我有好多好多媽媽和爸爸，我好幸福,27102101,812090102,美麗的朋友，我今天又夢到你囉。是充滿花和陽光的夢喔。,27102102,812090103,最後一天就要來臨了。 我相信我們會在黃金庭園中再相逢，所以不悲傷。你好，青春和永遠的孩子們~,27102103,27102000,27102001,27102002,27102003,10702
15,2,1,190170606,1,8,2,3,3,8,1,1,50,190170606,1,593000,0,10,7,4,36000,812090200,和Big Bang一起到來的世紀大明星！不要因為是迷你版就小看他！呀呼嗚嗚嗚!!!!,27103100,812090201,不要因為是迷你版就小看他!這可是個了不起的植物!,27103101,812090202,今天在我胃裡的世界，第72個勇士擊敗了魔王。真討厭! 那些正義又長得不好看的傢夥被毆打了。不是很可憐嗎？嗯？嗯？,27103102,812090203,哼嗯… 在我胃裡出生又死去的小東西和你們其實是一樣的。要不要小小的來比一場？呵呵呵…,27103103,27103000,27103001,27103002,27103003,10703
16,2,1,190170407,1,8,2,1,1,8,1,1,50,190170407,1,591000,0,10,7,4,36000,812090000,…你有聽說過小璞咻呼咻是吃素的嗎？緊張緊張，心跳心跳,27101100,812090001,我才小小年紀就要對一個家負責… 肩膀沉重…,27101101,812090002,守秩序、又保持中立，大家都是難纏的人耶。不管怎麼樣，享受人生才是最重要的吧？不是嗎？朋友~,27101102,812090003,喔!年輕人，可以在我的根部倒點啤酒嗎？嘿~呵~嘿~呵~呵呵呵呵~,27101103,27101000,27101001,27101002,27101003,10081
17,2,1,190170507,1,8,2,2,2,8,1,1,50,190170507,1,592000,0,10,7,4,36000,812090100,這塊地太陰暗了… 好冷喔… 你可以多陪我一會兒嗎？,27102100,812090101,我有好多好多媽媽和爸爸，我好幸福,27102101,812090102,美麗的朋友，我今天又夢到你囉。是充滿花和陽光的夢喔。,27102102,812090103,最後一天就要來臨了。 我相信我們會在黃金庭園中再相逢，所以不悲傷。你好，青春和永遠的孩子們~,27102103,27102000,27102001,27102002,27102003,10082
18,2,1,190170607,1,8,2,3,3,8,1,1,50,190170607,1,593000,0,10,7,4,36000,812090200,和Big Bang一起到來的世紀大明星！不要因為是迷你版就小看他！呀呼嗚嗚嗚!!!!,27103100,812090201,不要因為是迷你版就小看他!這可是個了不起的植物!,27103101,812090202,今天在我胃裡的世界，第72個勇士擊敗了魔王。真討厭! 那些正義又長得不好看的傢夥被毆打了。不是很可憐嗎？嗯？嗯？,27103102,812090203,哼嗯… 在我胃裡出生又死去的小東西和你們其實是一樣的。要不要小小的來比一場？呵呵呵…,27103103,27103000,27103001,27103002,27103003,10083
