ID,CUT_IN_TYPE,WINDOW_1_ID,WIN_1_SHOW,WIN_1_RESOL_1_X,WIN_1_RESOL_1_Y,WIN_1_RESOL_2_X,WIN_1_RESOL_2_Y,WIN_1_RESOL_3_X,WIN_1_RESOL_3_Y,WIN_1_RESOL_4_X,WIN_1_RESOL_4_Y,WIN_1_RESOL_5_X,WIN_1_RESOL_5_Y,WIN_1_RESOL_6_X,WIN_1_RESOL_6_Y,WINDOW_2_ID,WIN_2_SHOW,WIN_2_RESOL_1_X,WIN_2_RESOL_1_Y,WIN_2_RESOL_2_X,WIN_2_RESOL_2_Y,WIN_2_RESOL_3_X,WIN_2_RESOL_3_Y,WIN_2_RESOL_4_X,WIN_2_RESOL_4_Y,WIN_2_RESOL_5_X,WIN_2_RESOL_5_Y,WIN_2_RESOL_6_X,WIN_2_RESOL_6_Y,WINDOW_3_ID,WIN_3_SHOW,WIN_3_RESOL_1_X,WIN_3_RESOL_1_Y,WIN_3_RESOL_2_X,WIN_3_RESOL_2_Y,WIN_3_RESOL_3_X,WIN_3_RESOL_3_Y,WIN_3_RESOL_4_X,WIN_3_RESOL_4_Y,WIN_3_RESOL_5_X,WIN_3_RESOL_5_Y,WIN_3_RESOL_6_X,WIN_3_RESOL_6_Y,WINDOW_4_ID,WIN_4_SHOW,WIN_4_RESOL_1_X,WIN_4_RESOL_1_Y,WIN_4_RESOL_2_X,WIN_4_RESOL_2_Y,WIN_4_RESOL_3_X,WIN_4_RESOL_3_Y,WIN_4_RESOL_4_X,WIN_4_RESOL_4_Y,WIN_4_RESOL_5_X,WIN_4_RESOL_5_Y,WIN_4_RESOL_6_X,WIN_4_RESOL_6_Y,WINDOW_5_ID,WIN_5_SHOW,WIN_5_RESOL_1_X,WIN_5_RESOL_1_Y,WIN_5_RESOL_2_X,WIN_5_RESOL_2_Y,WIN_5_RESOL_3_X,WIN_5_RESOL_3_Y,WIN_5_RESOL_4_X,WIN_5_RESOL_4_Y,WIN_5_RESOL_5_X,WIN_5_RESOL_5_Y,WIN_5_RESOL_6_X,WIN_5_RESOL_6_Y,WINDOW_6_ID,WIN_6_SHOW,WIN_6_RESOL_1_X,WIN_6_RESOL_1_Y,WIN_6_RESOL_2_X,WIN_6_RESOL_2_Y,WIN_6_RESOL_3_X,WIN_6_RESOL_3_Y,WIN_6_RESOL_4_X,WIN_6_RESOL_4_Y,WIN_6_RESOL_5_X,WIN_6_RESOL_5_Y,WIN_6_RESOL_6_X,WIN_6_RESOL_6_Y
1,1,805376000,1,95,0,319,169,575,199,467,-16,584,80,744,189,805728256,0,0,309,0,439,0,469,88,270,205,366,365,475,805330944,1,0,504,0,672,0,704,0,649,0,781,0,961,805699584,0,514,539,738,707,994,739,514,539,738,707,994,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,805384192,1,2,2,63,57,140,91,588,144,588,196,720,286,805335040,1,2,325,63,380,140,414,0,144,0,196,132,286,805339136,0,337,325,543,380,621,414,0,0,0,0,0,0,805380096,1,0,1000,0,1000,0,1000,947,-80,1175,-70,1454,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,805351424,1,5,92,100,100,241,166,2,52,70,118,163,208,805588992,0,317,92,412,100,553,166,0,0,0,0,0,0,805380096,1,0,1000,0,1000,0,1000,947,-80,1175,-70,1454,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,805335040,0,5,215,24,337,113,357,0,157,0,196,69,286,805339136,0,354,215,506,337,597,357,0,0,0,0,0,0,805404672,1,9,8,24,35,113,55,588,157,588,196,657,286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,805523456,1,20,50,175,155,237,187,378,197,492,263,655,353,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,9,805335040,1,365,10,367,31,427,80,422,130,536,196,763,286,805535744,0,0,365,367,31,427,80,422,130,536,196,763,286,805532928,1,1,10,10,31,74,80,61,130,175,196,402,286,805380096,1,0,1000,0,1000,0,1000,947,-80,1175,-70,1454,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,10,805601280,1,0,0,145,67,281,78,437,225,556,291,714,381,805380096,1,0,1000,0,1000,0,1000,947,-80,1175,-70,1454,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,11,805642240,1,140,90,294,214,456,203,518,176,636,242,795,332,805679104,0,110,50,237,137,311,126,514,159,631,225,791,315,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,12,805646336,1,150,150,294,272,456,251,518,176,636,242,795,332,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,13,805335040,1,10,240,175,330,237,356,0,144,0,196,129,286,805666816,1,10,10,175,100,237,126,588,144,588,196,717,286,805380096,1,0,1000,0,1000,0,1000,947,-80,1175,-70,1454,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
