ID,_Type,_CategoryView,_PositionIndex,_Name,_IconFile,_IconIndex,_Activation_Description,_Deactivation_Description1,_Deactivation_Description2,_Decorate_Item,_Decorate_Item_Count,_DAMAGE_ImgLink,_Foot_FX1
1,1,1,1,基本,10001113,1,點擊使用鍵即可使用基本外觀。,,,0,0,Data/FX/DMG_FONT_000.png,0
999999,1,0,2,,10001113,1,,,,190145949,1,,0
999998,1,0,1,,10001113,1,,,,190145949,1,,0
100066,1,1,2,橘子橙花,10001113,88,點擊使用鍵即可使用 [橘子橙花] 傷害字型效果。,點擊學習鍵即可學習 [橘子橙花] 傷害字型效果。,[橘子橙花傷害字型外觀裝扮票券] 道具不足。,190147383,1,Data/FX/DMG_FONT_071.png,0
100065,1,1,60,小鴨,10001113,87,點擊使用鍵即可使用 [小鴨] 傷害字型效果。,點擊學習鍵即可學習 [小鴨] 傷害字型效果。,[傷害字型外觀裝扮票券] 道具不足。,190145949,1,Data/FX/DMG_FONT_070.png,0
100064,1,1,38,蜜絲汪,10001113,80,點擊使用鍵即可使用 [蜜絲汪] 傷害字型效果。,點擊學習鍵即可學習 [蜜絲汪] 傷害字型效果。,[蜜絲汪傷害字型外觀裝扮票券] 道具不足。,190147164,1,Data/FX/DMG_FONT_063.png,0
100063,1,1,44,眠之精靈夢夢,10001113,86,點擊使用鍵即可使用 [眠之精靈夢夢] 傷害字型效果。,點擊學習鍵即可學習 [眠之精靈夢夢] 傷害字型效果。,[眠之精靈夢夢傷害字型外觀裝扮票券] 道具不足。,190147274,1,Data/FX/DMG_FONT_069.png,0
100062,1,1,43,裔奧,10001113,84,點擊使用鍵即可使用 [裔奧] 傷害字型效果。,點擊學習鍵即可學習 [裔奧] 傷害字型效果。,[裔奧傷害字型外觀裝扮票券] 道具不足。,190147275,1,Data/FX/DMG_FONT_067.png,0
100061,1,1,4,週年蛋糕,10001113,85,點擊使用鍵即可使用 [週年蛋糕] 傷害字型效果。,點擊學習鍵即可學習 [週年蛋糕] 傷害字型效果。,[[活動] 週年蛋糕傷害字型外觀裝扮票券] 道具不足。,190147356,1,Data/FX/DMG_FONT_068.png,0
100060,1,1,57,太陽,10001113,83,點擊使用鍵即可使用 [太陽] 傷害字型效果。,點擊學習鍵即可學習 [太陽] 傷害字型效果。,[傷害字型外觀裝扮票券] 道具不足。,190145949,1,Data/FX/DMG_FONT_066.png,0
