ID,_Crop_Id,_Map_Event1,_Map_Event2,_Map_Event3,_Map_Event4,_Map_Event5,_Map_Event6,_Map_Event7,_Map_Event8,_Map_Event9,_Map_Event10
1,1,597102,0,0,0,0,0,0,0,0,0
2,2,597002,0,0,0,0,0,0,0,0,0
3,3,597202,0,0,0,0,0,0,0,0,0
4,4,597102,0,0,0,0,0,0,0,0,0
5,5,597002,0,0,0,0,0,0,0,0,0
6,6,597202,0,0,0,0,0,0,0,0,0
7,7,595101,0,0,0,0,0,0,0,0,0
8,8,595001,0,0,0,0,0,0,0,0,0
9,9,595201,0,0,0,0,0,0,0,0,0
10,10,595101,0,0,0,0,0,0,0,0,0
11,11,595001,0,0,0,0,0,0,0,0,0
12,12,595201,0,0,0,0,0,0,0,0,0
13,13,597102,0,0,0,0,0,0,0,0,0
14,14,597002,0,0,0,0,0,0,0,0,0
15,15,597202,0,0,0,0,0,0,0,0,0
16,16,595101,0,0,0,0,0,0,0,0,0
17,17,595001,0,0,0,0,0,0,0,0,0
18,18,595201,0,0,0,0,0,0,0,0,0
