ID,_StageID,_MapGroupID,_MapID,_PosX,_PosY
330010,0,0,0,0,0
980001,0,0,0,100,100
980002,0,0,0,100,100
990010,0,0,0,500,500
890040,0,0,0,0,0
890042,0,0,0,0,0
890044,0,0,0,0,0
890046,0,0,0,0,0
890048,0,0,0,0,0
890050,0,0,0,0,0
890052,0,0,0,0,0
990200,0,1,0,800,200
990201,0,1,0,800,512
600000330,0,7,0,173,831
600000331,0,8,0,164,831
1001,1,0,0,164,1238
10003,1,0,0,2879,1408
10001,1,1,0,191,830
3241403,1,2,0,2100,1437
10201,1,3,0,800,1375
190401,1,3,0,1330,1375
1002,2,0,0,164,1375
2030000,2,0,0,164,1375
3000,2,0,0,5000,1375
1900001,2,0,0,1308,1375
1890001,2,0,0,1404,1375
520702,2,0,0,2183,1375
520703,2,0,0,2183,1375
600402,2,0,0,2203,1375
991001,2,0,0,2103,1375
115001000,2,0,0,64,1375
500001,2,0,0,2972,1375
600000138,2,0,0,3700,1375
3580601,2,0,0,164,1375
600000326,2,0,0,300,300
600000327,2,0,0,300,300
1010101,2,0,0,453,1375
600000429,2,0,0,465,1375
4440303,2,0,0,530,1375
999001,2,0,1,156,1375
47000,2,0,1,1764,1375
2006,2,0,1,2108,1375
2050001,2,0,1,2108,1375
2007,2,0,1,2780,1375
2004,2,1,0,1180,783
2003,2,2,0,484,262
2009,2,2,0,1756,870
2008,2,3,0,164,2262
730002,2,3,0,833,488
1580000,2,3,0,1412,2271
1590000,2,3,0,1412,1930
1600000,2,3,0,1412,1630
1610000,2,3,0,1412,1340
20503,2,3,0,160,2264
2010214,2,3,0,940,2271
999014,2,4,0,540,1486
10014,2,4,0,64,1494
20013,2,4,0,1436,1494
780001,2,4,0,540,1486
780002,2,4,0,540,1486
780003,2,4,0,540,1486
780004,2,4,0,540,1486
780005,2,4,0,540,1486
1100,2,4,0,1436,1494
440201,2,4,0,500,1486
20501,2,4,0,430,1375
2001,3,0,0,200,1375
3002,3,0,0,2883,1375
30014,3,0,0,3136,1376
3001,3,1,0,254,751
3004,3,1,0,2876,1007
3003,3,2,0,164,1238
3006,3,2,0,3036,790
30011,3,2,0,164,1238
3005,3,3,0,164,678
34001,3,4,0,1372,1110
47004,4,0,0,2805,735
4004,4,0,0,391,1375
1010301,4,0,0,1293,959
6000,4,1,0,2941,2975
4003,4,1,0,260,895
4008,4,1,0,2874,895
520003,4,1,0,1336,351
1410101,4,1,0,1450,351
4005,4,2,0,196,2198
1910001,4,2,0,620,534
1910018,4,2,0,620,534
520401,4,2,0,3036,790
77770001,4,3,0,420,544
40301,4,2,0,250,543
480002,5,0,0,164,1087
6003,5,0,0,196,1087
5003,5,0,0,3004,831
5006,5,0,0,3004,1071
5000,5,1,0,196,1375
250000,5,1,0,2844,831
1560000,5,1,0,3004,790
1560001,5,1,0,3004,790
1560002,5,1,0,3004,790
5002,5,1,0,196,1375
21000,5,1,0,3004,831
990501,5,3,0,3000,800
4002,6,0,0,196,1391
6063,6,0,0,1600,1391
6010,6,0,0,4922,1199
6051,6,0,0,8266,1391
990014,6,0,0,535,1391
