ID,_Descript,_Type,_Contents1,_ID1,_Count1,_Point1,_Contents2,_ID2,_Count2,_Point2,_Contents3,_ID3,_Count3,_Point3,_Contents4,_ID4,_Count4,_Point4,_Contents5,_ID5,_Count5,_Point5,_Contents6,_ID6,_Count6,_Point6,_Contents7,_ID7,_Count7,_Point7,_Contents8,_ID8,_Count8,_Point8,_Contents9,_ID9,_Count9,_Point9,_Contents10,_ID10,_Count10,_Point10,_RewardRank1,_RewardRank2,_RewardRank3,_RewardRank4,_RewardRank5,_RewardRank6,_RewardRank7,_RewardRank8,_RewardRank9,_RewardRank10,_RewardRank11,_RewardRank12,_RewardRank13,_RewardRank14,_RewardRank15,_RewardRank16,_RewardRank17,_RewardRank18,_RewardRank19,_RewardRank20,_RewardRank21,_RewardRank22,_RewardRank23,_RewardRank24,_RewardRank25,_RewardRank26,_RewardRank27,_RewardRank28,_RewardRank29,_RewardRank30,_RewardRank31,_RewardRank32,_RewardRank33,_RewardRank34,_RewardRank35,_RewardRank36,_RewardRank37,_RewardRank38,_RewardRank39,_RewardRank40,_RewardRank41,_RewardRank42,_RewardRank43,_RewardRank44,_RewardRank45,_RewardRank46,_RewardRank47,_RewardRank48,_RewardRank49,_RewardRank50,_RewardRank51_60,_RewardRank61_70,_RewardRank71_80,_RewardRank81_90,_RewardRank91_100
16053002,活動期間內，整個怪物身上可獲得“挑戰！排行箱子”,1,4,1300000209,1,1,4,1300000210,1,2,4,1300000211,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16060101,16060101,16060101,16060102,16060102,16060102,16060103,16060103,16060103,16060103,16060104,16060104,16060104,16060104,16060104,16060104,16060104,16060104,16060104,16060104,16060104,16060104,16060104,16060104,16060104,16060104,16060105,16060105,16060105,16060105,16060105,16060105,16060105,16060105,16060105,16060105,16060105,16060105,16060105,16060105,16060105,16060105,16060106,16060106,16060106,16060106,16060106,16060106,16060106,16060106,16060106,16060107,16060107,16060107,16060107
17070501,活動期間內，整個怪物身上可獲得“Summer排名箱子”（一天限定50個）,1,4,1300000511,1,1,4,1300000512,1,2,4,1300000513,1,3,4,1300000514,1,4,4,1300000515,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17070501,17070502,17070502,17070502,17070502,17070503,17070503,17070503,17070503,17070503,17070503,17070503,17070503,17070503,17070503,17070504,17070504,17070504,17070504,17070504,17070504,17070504,17070504,17070504,17070504,17070504,17070504,17070504,17070504,17070504,17070505,17070505,17070505,17070505,17070505,17070505,17070505,17070505,17070505,17070505,17070505,17070505,17070505,17070505,17070505,17070505,17070505,17070505,17070505,17070505,17070506,17070506,17070506,17070506,17070506
17092801,活動期間內，整個怪物身上可獲得“矮人協會排名箱子”（一天限定50個）,1,4,1300000536,1,1,4,1300000537,1,2,4,1300000538,1,3,4,1300000539,1,4,4,1300000540,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17092801,17092802,17092802,17092802,17092802,17092803,17092803,17092803,17092803,17092803,17092803,17092803,17092803,17092803,17092803,17092804,17092804,17092804,17092804,17092804,17092804,17092804,17092804,17092804,17092804,17092804,17092804,17092804,17092804,17092804,17092805,17092805,17092805,17092805,17092805,17092805,17092805,17092805,17092805,17092805,17092805,17092805,17092805,17092805,17092805,17092805,17092805,17092805,17092805,17092805,17092806,17092806,17092806,17092806,17092806
17121801,活動期間內，迷你薑餅人身上可獲得“薑餅人的私藏禮盒”（一天限定50個）,1,4,1300000583,1,1,4,1300000582,1,2,4,1300000581,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17121801,17121801,17121801,17121801,17121801,17121802,17121802,17121802,17121802,17121802,17121802,17121802,17121802,17121802,17121802,17121803,17121803,17121803,17121803,17121803,17121803,17121803,17121803,17121803,17121803,17121803,17121803,17121803,17121803,17121803,17121804,17121804,17121804,17121804,17121804,17121804,17121804,17121804,17121804,17121804,17121804,17121804,17121804,17121804,17121804,17121804,17121804,17121804,17121804,17121804,17121805,17121805,17121805,17121805,17121805
18031301,活動期間內，透明幽靈身上可獲得“幽靈盒子”（一天限定50個）,1,4,1300000645,1,1,4,1300000644,1,2,4,1300000643,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18031301,18031302,18031302,18031302,18031302,18031303,18031303,18031303,18031303,18031303,18031303,18031303,18031303,18031303,18031303,18031304,18031304,18031304,18031304,18031304,18031304,18031304,18031304,18031304,18031304,18031304,18031304,18031304,18031304,18031304,18031305,18031305,18031305,18031305,18031305,18031305,18031305,18031305,18031305,18031305,18031305,18031305,18031305,18031305,18031305,18031305,18031305,18031305,18031305,18031305,18031306,18031306,18031306,18031306,18031306
18062701,活動期間內，整個怪物身上可獲得「Summer排名箱子」（一天限定50個）,1,4,1300000680,1,1,4,1300000681,1,2,4,1300000682,1,3,4,1300000683,1,4,4,1300000684,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18062701,18062702,18062702,18062702,18062702,18062703,18062703,18062703,18062703,18062703,18062703,18062703,18062703,18062703,18062703,18062704,18062704,18062704,18062704,18062704,18062704,18062704,18062704,18062704,18062704,18062704,18062704,18062704,18062704,18062704,18062705,18062705,18062705,18062705,18062705,18062705,18062705,18062705,18062705,18062705,18062705,18062705,18062705,18062705,18062705,18062705,18062705,18062705,18062705,18062705,18062706,18062706,18062706,18062706,18062706
18102901,活動期間內，整個怪物身上可獲得「初冬積分賽箱子」（一天限定50個）,1,4,1300000735,1,1,4,1300000736,1,2,4,1300000737,1,3,4,1300000738,1,4,4,1300000739,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18102901,18102902,18102902,18102902,18102902,18102903,18102903,18102903,18102903,18102903,18102903,18102903,18102903,18102903,18102903,18102904,18102904,18102904,18102904,18102904,18102904,18102904,18102904,18102904,18102904,18102904,18102904,18102904,18102904,18102904,18102905,18102905,18102905,18102905,18102905,18102905,18102905,18102905,18102905,18102905,18102905,18102905,18102905,18102905,18102905,18102905,18102905,18102905,18102905,18102905,18102906,18102906,18102906,18102906,18102906
19051401,活動期間內，整個怪物身上可獲得「無限挑戰的排名箱子」（一天限定44個）,1,4,1300000838,1,1,4,1300000839,1,2,4,1300000840,1,3,4,1300000841,1,4,4,1300000842,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19051401,19051402,19051402,19051402,19051402,19051403,19051403,19051403,19051403,19051403,19051403,19051403,19051403,19051403,19051403,19051404,19051404,19051404,19051404,19051404,19051404,19051404,19051404,19051404,19051404,19051404,19051404,19051404,19051404,19051404,19051405,19051405,19051405,19051405,19051405,19051405,19051405,19051405,19051405,19051405,19051405,19051405,19051405,19051405,19051405,19051405,19051405,19051405,19051405,19051405,19051406,19051406,19051406,19051406,19051406
19112201,活動期間內，整個怪物身上可獲得「星星戰役箱」（一天限定50個）,1,4,1300000905,1,1,4,1300000906,1,2,4,1300000907,1,3,4,1300000908,1,4,4,1300000909,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19112201,19112202,19112202,19112202,19112202,19112203,19112203,19112203,19112203,19112203,19112203,19112203,19112203,19112203,19112203,19112204,19112204,19112204,19112204,19112204,19112204,19112204,19112204,19112204,19112204,19112204,19112204,19112204,19112204,19112204,19112205,19112205,19112205,19112205,19112205,19112205,19112205,19112205,19112205,19112205,19112205,19112205,19112205,19112205,19112205,19112205,19112205,19112205,19112205,19112205,19112206,19112206,19112206,19112206,19112206
20121101,活動期間內，怪物身上可獲得「聖誕星星箱」（一天限定50個）,1,4,1300000905,1,1,4,1300000906,1,2,4,1300000907,1,3,4,1300000908,1,4,4,1300000909,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20121101,20121102,20121102,20121102,20121102,20121103,20121103,20121103,20121103,20121103,20121103,20121103,20121103,20121103,20121103,20121104,20121104,20121104,20121104,20121104,20121104,20121104,20121104,20121104,20121104,20121104,20121104,20121104,20121104,20121104,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121106,20121106,20121106,20121106,20121106
20122801,活動期間內，怪物身上可獲得「聖誕星星箱」（一天限定50個）,1,4,1300000905,1,1,4,1300000906,1,2,4,1300000907,1,3,4,1300000908,1,4,4,1300000909,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20121101,20121102,20121102,20121102,20121102,20121103,20121103,20121103,20121103,20121103,20121103,20121103,20121103,20121103,20121103,20121104,20121104,20121104,20121104,20121104,20121104,20121104,20121104,20121104,20121104,20121104,20121104,20121104,20121104,20121104,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121105,20121106,20121106,20121106,20121106,20121106
