ID,_MinXp,_MaxXp
1,0,30
2,30,70
3,70,124
4,124,207
5,207,332
6,332,504
7,504,739
8,739,1056
9,1056,1462
10,1462,1970
11,1970,2593
12,2593,3344
13,3344,4233
14,4233,5273
15,5273,6480
16,6480,7864
17,7864,9441
18,9441,11217
19,11217,13206
20,13206,15466
21,15466,18083
22,18083,21630
23,21630,25765
24,25765,30537
25,30537,36009
26,36009,42248
27,42248,48712
28,48712,55904
29,55904,63872
30,63872,72664
31,72664,82336
32,82336,92944
33,92944,104536
34,104536,117176
35,117176,130928
36,130928,145856
37,145856,162024
38,162024,179496
39,179496,198352
40,198352,219656
41,219656,243448
42,243448,269864
43,269864,299048
44,299048,331144
45,331144,366312
46,366312,404704
47,404704,446496
48,446496,491856
49,491856,540960
50,540960,594008
51,594008,651184
52,651184,712696
53,712696,778752
54,778752,849568
55,849568,925376
56,925376,1006408
57,1006408,1092912
58,1092912,1185136
59,1185136,1283352
60,1283352,1387832
61,1387832,1498856
62,1498856,1616720
63,1616720,1741728
64,1741728,1874200
65,1874200,2014464
66,2014464,2162864
67,2162864,2319752
68,2319752,2485496
69,2485496,2660472
70,2660472,2845072
71,2845072,3039704
72,3039704,3244800
73,3244800,3460792
74,3460792,3688128
75,3688128,3927288
76,3927288,4178752
77,4178752,4443024
78,4443024,4720624
79,4720624,5012096
80,5012096,5318000
81,5318000,5638912
82,5638912,5975432
83,5975432,6328184
84,6328184,6697808
85,6697808,7084960
86,7084960,7490336
87,7490336,7914640
88,7914640,8358616
89,8358616,8823016
90,8823016,9308632
91,9308632,9816272
92,9816272,10346776
93,10346776,10901016
94,10901016,11479888
95,11479888,12084328
96,12084328,12715288
97,12715288,13373768
98,13373768,14060784
99,14060784,14777408
100,14777408,15524728
101,15524728,16303880
102,16303880,17116032
103,17116032,17962392
104,17962392,18844208
105,18844208,19762768
106,19762768,20719408
107,20719408,21715504
108,21715504,22752472
109,22752472,23831784
110,23831784,24954960
111,24954960,26123552
112,26123552,27339184
113,27339184,28603528
114,28603528,29918304
115,29918304,31285280
116,31285280,32706304
117,32706304,34183264
118,34183264,35718112
119,35718112,37312872
120,37312872,38969624
121,38969624,40690520
122,40690520,42477776
123,42477776,44333680
124,44333680,46260592
125,46260592,48260944
126,48260944,50337256
127,50337256,52492112
128,52492112,54728192
129,54728192,57048256
130,57048256,59455152
131,59455152,61951808
132,61951808,64541248
133,64541248,67226600
134,67226600,70011080
135,70011080,72898008
136,72898008,75890808
137,75890808,78993008
138,78993008,82208248
139,82208248,85540272
140,85540272,88992952
141,88992952,92570280
142,92570280,96276360
143,96276360,100115432
144,100115432,104091864
145,104091864,108210152
146,108210152,112474944
147,112474944,116891016
148,116891016,121463296
149,121463296,126196864
150,126196864,131096952
151,131096952,136168952
152,136168952,141418416
153,141418416,146851080
154,146851080,152472840
155,152472840,158289768
156,158289768,164308128
157,164308128,170534376
158,170534376,176975160
159,176975160,183637320
160,183637320,190527912
161,190527912,197654192
162,197654192,205023656
163,205023656,212644000
164,212644000,220523168
165,220523168,228669336
166,228669336,237090920
167,237090920,245796584
168,245796584,254795272
169,254795272,264096168
170,264096168,273708744
171,273708744,283642752
172,283642752,293908224
173,293908224,304515504
174,304515504,315475232
175,315475232,327394952
176,327394952,340941688
177,340941688,356845632
178,356845632,375903992
179,375903992,398985032
180,398985032,427032328
181,427032328,461069208
182,461069208,502203400
183,502203400,551631920
184,551631920,610646184
185,610646184,680637360
186,680637360,763101960
187,763101960,859647720
188,859647720,971999720
189,971999720,1102006808
190,1102006808,1251648304
191,1251648304,1431013344
192,1431013344,1652131800
193,1652131800,1928098800
194,1928098800,2273137472
195,2273137472,2790695480
196,2790695480,3644666194
197,3644666194,4669431050
198,4669431050,5899148877
199,5899148877,7497782052
200,7497782052,23500000000
201,23500000000,41000000000
202,41000000000,60300000000
203,60300000000,81500000000
204,81500000000,104900000000
205,104900000000,130800000000
206,130800000000,159400000000
207,159400000000,191000000000
208,191000000000,226000000000
209,226000000000,264800000000
210,264800000000,307800000000
211,307800000000,355600000000
212,355600000000,408700000000
213,408700000000,468000000000
214,468000000000,534200000000
215,534200000000,608300000000
216,608300000000,691300000000
217,691300000000,784500000000
218,784500000000,889400000000
219,889400000000,1007600000000
220,1007600000000,1141100000000
221,1141100000000,1292100000000
222,1292100000000,1463100000000
223,1463100000000,1657200000000
224,1657200000000,1877900000000
225,1877900000000,2129300000000
226,2129300000000,2416200000000
227,2416200000000,2744100000000
228,2744100000000,3119500000000
229,3119500000000,3550100000000
230,3550100000000,4044900000000
231,4044900000000,4614400000000
232,4614400000000,5271000000000
233,5271000000000,6029400000000
234,6029400000000,6906900000000
235,6906900000000,6906900000001
236,999999999999999,999999999999999
237,999999999999999,999999999999999
238,999999999999999,999999999999999
239,999999999999999,999999999999999
240,999999999999999,999999999999999
241,999999999999999,999999999999999
242,999999999999999,999999999999999
243,999999999999999,999999999999999
244,999999999999999,999999999999999
245,999999999999999,999999999999999
246,999999999999999,999999999999999
247,999999999999999,999999999999999
248,999999999999999,999999999999999
249,999999999999999,999999999999999
250,999999999999999,999999999999999
251,999999999999999,999999999999999
252,999999999999999,999999999999999
253,999999999999999,999999999999999
254,999999999999999,999999999999999
255,999999999999999,999999999999999
