ID,_GroupID,_ItemID,_RareLimit,_PointMin,_PointMax,_Probability
1,10001,180400101,1,0,0,1600
2,10001,180400102,1,0,0,1400
3,10001,170194831,1,0,0,800
4,10001,170194832,1,0,0,650
5,10001,170194833,1,0,0,500
6,10001,170194834,1,0,0,350
7,10001,170194835,1,0,0,200
8,10001,170194836,1,0,0,80
9,10001,190190931,1,0,0,5
10,10001,190171176,1,0,0,3
11,10002,90652353,1,0,0,1
12,10002,50352353,1,0,0,1
13,10002,70252353,1,0,0,1
14,20001,170194831,1,0,0,300
15,20001,170194832,1,0,0,220
16,20001,170194833,1,0,0,185
17,20001,170194834,1,0,0,140
18,20001,170194835,1,0,0,100
19,20001,170194836,1,0,0,50
20,20001,190190931,1,0,0,5
21,20002,190180070,1,0,0,310
22,20002,190180071,1,0,0,220
23,20002,190180072,1,0,0,180
24,20002,190180073,1,0,0,140
25,20002,190180074,1,0,0,100
26,20002,190180075,1,0,0,50
27,20003,170185503,1,0,0,1000
28,20003,170185504,1,0,0,850
29,20003,170185505,1,0,0,700
30,20003,170185506,1,0,0,550
31,20003,170185507,1,0,0,400
32,20003,170185508,1,0,0,200
33,20003,170185509,1,0,0,20
34,20003,170185510,1,0,0,1
35,20004,190145849,1,0,0,2
36,20004,190145849,1,0,0,2
37,20004,190145849,1,0,0,2
38,20004,180121004,1,0,0,2
39,20004,190171176,1,0,0,1
40,20005,190190916,1,0,0,1
41,20005,70252313,1,0,0,2
42,20005,700100120,1,0,0,2
43,20005,170111706,1,0,0,10
44,20005,170111705,1,0,0,10
45,20005,160190109,1,0,0,10
46,20005,90595405,1,0,0,10
47,20005,170194840,1,0,0,1000
48,20005,170194847,1,0,0,1400
49,20005,170194844,1,0,0,1500
50,20006,170194839,1,0,0,309
51,20006,170194846,1,0,0,309
52,20006,170194845,1,0,0,309
53,20006,170194843,1,0,0,309
54,20006,170194842,1,0,0,309
55,20006,170194838,1,0,0,800
56,20006,170194844,1,0,0,800
57,20006,170194841,1,0,0,800
58,30001,190180083,1,0,0,1
59,30002,190180084,1,0,0,1
60,30003,190180085,1,0,0,1
61,30004,190180086,1,0,0,1
62,30005,190180087,1,0,0,1
63,30006,190180088,1,0,0,1
64,30007,190180091,1,0,0,1
65,30008,190180092,1,0,0,1
66,30009,190180089,1,0,0,1
67,30010,190180090,1,0,0,1
68,30011,90595415,1,0,0,1
69,30012,190190932,1,0,0,1
70,30013,190190933,1,0,0,1
71,30014,190190934,1,0,0,1
72,30015,190190935,1,0,0,1
73,30016,190180093,1,0,0,1
74,30017,190179909,1,0,0,1
75,40001,180400101,1,0,0,50
76,40001,180400102,1,0,0,50
77,40001,170194844,1,0,0,1
78,40001,170194843,1,0,0,10
79,40001,170194842,1,0,0,20
80,40001,170194841,1,0,0,50
81,40002,190197501,1,0,0,1
82,40002,190197502,1,0,0,1
83,40002,190171176,1,0,0,1
84,40002,190145849,1,0,0,2
85,40002,190145849,1,0,0,2
86,40002,190145849,1,0,0,2
87,50001,190171047,1,0,0,5
88,50001,190171044,1,0,0,5
89,50001,170196603,1,0,0,40
90,50001,120140171,2,0,0,50
91,50002,90252811,1,0,0,625
92,50002,20152811,1,0,0,1250
93,50002,30452811,1,0,0,1250
94,50002,10252811,1,0,0,1250
95,50002,70252811,1,0,0,1250
96,50002,40152811,1,0,0,1250
97,50002,90652313,1,0,0,625
98,50002,50352313,1,0,0,1250
99,50002,70252313,1,0,0,1250
100,50003,170185510,1,0,0,4
101,50003,170185509,1,0,0,4
102,50003,190171045,1,0,0,4
103,50003,190193210,1,0,0,10
104,50003,170193999,1,0,0,10
105,50003,300190606,1,0,0,12
106,50003,300190606,1,0,0,12
107,50003,190190931,1,0,0,22
108,50003,180133715,1,0,0,22
109,50004,170105004,1,0,0,55
110,50004,170194888,1,0,0,55
111,50004,170196601,1,0,0,55
112,50004,190171131,1,0,0,120
113,50004,190145849,1,0,0,240
114,50004,190145849,1,0,0,240
115,50004,190145849,1,0,0,240
116,50005,170198422,1,0,0,2
117,50005,170198438,1,0,0,2
118,50005,190190936,1,0,0,16
119,50005,170194216,1,0,0,20
120,50005,170194218,1,0,0,20
121,50005,170105706,1,0,0,20
122,50005,170105708,1,0,0,20
123,60001,190180629,1,0,0,1
124,60001,190144092,1,0,0,1
125,60001,190144174,1,0,0,1
126,70001,190190413,1,0,0,100
127,80001,190146050,1,0,0,1
128,80002,190146051,1,0,0,1
129,80003,190146052,1,0,0,1
130,80004,190146053,1,0,0,1
131,80005,190146054,1,0,0,1
132,80006,190146055,1,0,0,1
133,80007,190146056,1,0,0,1
134,80008,190146057,1,0,0,1
135,80009,190146058,1,0,0,1
136,80010,190146059,1,0,0,1
137,80011,190146060,1,0,0,1
