ID,_Flag,_Nols,_SubChange_Del
1,1,防止強制活動啟動的旗幟（測試時保留）,0
2,2,與紅色阿飛歐對話,0
3,3,?????,0
4,4,?????,0
5,5,?????,0
6,6,?????,0
7,7,?????,0
8,8,?????,0
9,9,?????,0
10,10,?????,0
11,11,?????,0
12,12,?????,0
13,13,?????,0
14,14,?????,0
15,15,?????,0
16,16,?????,0
17,17,?????,0
18,18,?????,0
19,19,?????,0
20,20,?????,0
21,21,?????,0
22,22,?????,0
23,23,?????,0
24,24,?????,0
25,25,?????,0
26,26,?????,0
27,27,?????,0
28,28,?????,0
29,29,?????,0
30,30,?????,0
31,31,?????,0
32,32,?????,0
33,33,?????,0
34,34,?????,0
35,35,?????,0
36,36,?????,0
37,37,?????,0
38,38,?????,0
39,39,?????,0
40,40,?????,0
41,41,?????,0
42,42,?????,0
43,43,?????,0
44,44,?????,0
45,45,?????,0
46,46,?????,0
47,47,?????,0
48,48,?????,0
49,49,?????,0
50,50,?????,0
51,51,?????,0
52,52,?????,0
53,53,?????,0
54,54,?????,0
55,55,?????,0
56,56,?????,0
57,57,?????,0
58,58,?????,0
59,59,?????,0
60,60,?????,0
61,61,?????,0
62,62,?????,0
63,63,?????,0
64,64,?????,0
65,65,與屋頂上的少女談話,0
66,66,去往漂流都市,0
67,67,與米勒談話,0
68,68,救出MG操控師,0
69,69,探索高速公路2,0
70,70,補充能源,0
71,71,探索少女,0
72,72,完成2轉,0
73,73,與莎拉斯芭蒂談話,0
74,74,與少女見面1,0
75,75,與少女見面2,0
76,76,發現研究所,0
77,77,初次入場漂流都市,0
78,78,決心3轉確認,0
79,79,?????,0
80,80,?????,0
81,81,?????,0
82,82,?????,0
83,83,?????,0
84,84,?????,0
85,85,?????,0
86,86,?????,0
87,87,卡片大師開場白完成,0
88,88,往學校,0
89,89,回家,0
90,90,往晚上的學校,0
91,91,返回魯米諾司城,0
92,92,與妮宜對話,0
93,93,回家,0
94,94,?????,0
95,95,?????,0
96,96,?????,0
97,97,?????,0
98,98,?????,0
99,99,?????,0
100,100,?????,0
101,101,?????,0
102,102,?????,0
103,103,?????,0
104,104,?????,0
105,105,?????,0
106,106,?????,0
107,107,?????,0
108,108,?????,0
109,109,?????,0
110,110,?????,0
111,111,?????,0
112,112,?????,0
113,113,?????,0
114,114,?????,0
115,115,?????,0
116,116,?????,0
117,117,?????,0
118,118,?????,0
119,119,?????,0
120,120,?????,0
121,121,?????,0
122,122,?????,0
123,123,?????,0
124,124,?????,0
125,125,?????,0
126,126,?????,0
127,127,?????,0
128,128,?????,0
129,129,?????,0
130,130,?????,0
131,131,?????,0
132,132,?????,0
133,133,?????,0
134,134,?????,0
135,135,?????,0
136,136,?????,0
137,137,?????,0
138,138,?????,0
139,139,?????,0
140,140,?????,0
141,141,?????,0
142,142,?????,0
143,143,?????,0
144,144,?????,0
145,145,?????,0
146,146,?????,0
147,147,?????,0
148,148,?????,0
149,149,?????,0
150,150,學習行動技能,0
151,151,?????,0
152,152,?????,0
153,153,?????,0
154,154,?????,0
155,155,?????,0
156,156,?????,0
157,157,?????,0
158,158,?????,0
159,159,?????,0
160,160,?????,0
161,161,?????,0
162,162,?????,0
163,163,?????,0
164,164,?????,0
165,165,?????,0
166,166,?????,0
167,167,?????,0
168,168,?????,0
169,169,[評價+故事]  暴雨的監視者,0
170,170,[評價+故事] 無限迴廊,0
171,171,[評價] 銀色腳趾,0
172,172,[評價] 貝爾法圖書館,0
173,173,[評價+故事] 星星守護者的後裔+與艾比的初次對話,0
174,174,?????,0
175,175,?????,0
176,176,?????,0
177,177,?????,0
178,178,?????,0
179,179,?????,0
180,180,[評價] 星星守護者的後裔 (只開啟與劇本無關的評價),0
181,181,?????,0
182,182,?????,0
183,183,?????,0
184,184,?????,0
185,185,?????,0
186,186,?????,0
187,187,?????,0
188,188,?????,0
189,189,?????,0
190,190,?????,0
191,191,?????,0
192,192,?????,0
193,193,?????,0
194,194,?????,0
195,195,?????,0
196,196,?????,0
197,197,?????,0
198,198,?????,0
199,199,?????,0
200,200,?????,0
201,201,?????,0
202,202,?????,0
203,203,?????,0
204,204,?????,0
205,205,?????,0
206,206,?????,0
207,207,?????,0
208,208,?????,0
209,209,?????,0
210,210,起床了!,0
211,211,救出貓咪時對話,0
212,212,才?與麒麟相遇,0
213,213,羅賢與有真相遇,0
214,214,與亞瑟絲對話,0
215,215,與伊克納特對話,0
216,216,回家之路 1/3,0
217,217,回家之路 2/3,0
218,218,回家之路 3/3,0
219,219,一夜的對話,0
220,220,出來到夜晚街道,0
221,221,伊克納特,0
222,222,第1階段戰鬥開始活動,0
223,223,第1階段破關活動(大廳),0
224,224,貞德活動,0
225,225,第2階段戰鬥開始活動,0
226,226,第2階段破關活動活動,0
227,227,索爾 活動,0
228,228,第3階段戰鬥開始活動,0
229,229,第3階段破關活動活動,0
230,230,活人的幽靈活動,0
231,231,銜尾蛇 (銀結),0
232,232,銜尾蛇 (夏林),0
233,233,探索銜尾蛇,0
234,234,與羅賢對話後往大廳,0
235,235,在學生會走廊與羅賢對話,0
236,236,與過去的伊克納特對話,0
237,237,?????,0
238,238,?????,0
239,239,?????,0
240,240,?????,0
241,241,?????,0
242,242,?????,0
243,243,?????,0
244,244,?????,0
245,245,?????,0
246,246,?????,0
247,247,?????,0
248,248,?????,0
249,249,?????,0
250,250,?????,0
251,251,?????,0
252,252,?????,0
253,253,?????,0
254,254,?????,0
255,255,?????,0
256,256,?????,0
257,257,?????,0
258,258,?????,0
259,259,?????,0
260,260,向塔莫里聽裝備技能說明,0
261,261,?????,0
262,262,?????,0
263,263,?????,0
264,264,?????,0
265,265,?????,0
266,266,?????,0
267,267,?????,0
268,268,?????,0
269,269,?????,0
270,270,?????,0
271,271,?????,0
272,272,?????,0
273,273,?????,0
274,274,?????,0
275,275,與彩諾恩對話,0
276,276,與佩爾對話,0
277,277,與愛麗絲的第1個石塔對話,0
278,278,與佩爾對話,0
279,279,與亞瑟絲對話,0
280,280,與煙斗先生對話,0
281,281,與亞瑟絲對話,0
282,282,與愛麗絲的第1個石塔對話,0
283,283,與彩諾恩對話,0
284,284,與代理人艾瑪對話,0
285,285,與愛麗絲的第2個石塔對話,0
286,286,與蓮花對話,0
287,287,與公園的少女對話,0
288,288,與蓮花對話,0
289,289,與愛麗絲的第2個石塔對話,0
290,290,與彩諾恩對話,0
291,291,與代理人麥考伊對話,0
292,292,與愛麗絲的第3個石塔對話,0
293,293,與亞伊薩對話,0
294,294,與愛麗絲的第3個石塔對話,0
295,295,與彩諾恩對話,0
296,296,與代理人魯道夫對話,0
297,297,與愛麗絲的第4個石塔對話,0
298,298,與偉恩對話,0
299,299,與愛麗絲的第4個石塔對話,0
300,300,與彩諾恩對話,0
301,301,與代理人歐瑟對話,0
302,302,與代理人歐瑟對話,0
303,303,與愛麗絲的第5個石塔對話,0
304,304,與蘿拉對話,0
305,305,與達比對話,0
306,306,與蘿坤對話,0
307,307,與蘿拉對話,0
308,308,與愛麗絲的第5個石塔對話,0
309,309,與彩諾恩對話,0
310,310,與愛麗絲的第6個石塔對話,0
311,311,與奴安對話,0
312,312,與奴安對話,0
313,313,與愛麗絲的第6個石塔對話,0
314,314,與彩諾恩對話,0
315,315,與愛麗絲的第7個石塔對話,0
316,316,與賽巴斯汀對話,0
317,317,與龍祭城的吉恩蒂亞對話,0
