ID,_FxGroup,_Description
100126,380_05_SKILL_01.FXG,???? 01
100127,380_05_SKILL_02.FXG,???? 02
100128,380_05_SKILL_03.FXG,???? 03
100129,380_05_SKILL_04.FXG,???? 04
100130,380_05_SKILL_05.FXG,???? 05
100131,380_05_SKILL_06.FXG,???? 06
100132,480_08_SKILL_01.FXG,???? 07 ????
100133,480_08_SKILL_02.FXG,???? 08 ????? ??
100134,480_08_SKILL_03.FXG,???? 09 ??? ??
100135,480_10_SKILL_01.FXG,[2???]???? ???? 10
100136,841_05_SKILL_44.FXG,[4??] ??? ?? ?? ??
100137,,
100138,,
100139,,
100140,,
100141,,
100142,,
100143,,
100144,,
100145,,
100146,,
100147,,
100148,,
100149,,
105000,160_01_CABLE_MOVE.FXG,[??] ???? ??? ????
105001,160_01_CABLE_STOP.FXG,[??] ???? ??? ????
105002,160_01_JUMP_FALL.FXG,[??] ???? ??? ????
105003,160_01_JUMP_LAND.FXG,[??] ???? ??? ????
105004,160_01_JUMP_UP.FXG,[??] ???? ??? ????
105005,160_01_LADDER_MOVE_DOWN.FXG,[??] ???? ??? ????
105006,160_01_LADDER_MOVE_STOP.FXG,[??] ???? ??? ????
105007,160_01_LADDER_MOVE_UP.FXG,[??] ???? ??? ????
105008,160_01_MOVE.FXG,[??] ???? ??? ????
105009,160_01_ROPE_MOVE_DOWN.FXG,[??] ???? ??? ????
105010,160_01_ROPE_MOVE_STOP.FXG,[??] ???? ??? ????
105011,160_01_ROPE_MOVE_UP.FXG,[??] ???? ??? ????
105012,160_01_RUN.FXG,[??] ???? ??? ????
105013,,
105014,160_01_STAND.FXG,[??] ???? ??? ????
105015,160_03_CRITICAL_DAMAGE.FXG,[??] ???? ??? ????
105016,160_03_DAMAGE.FXG,[??] ???? ??? ????
105017,,
105018,,
105019,,
110000,381_01_STAND.FXG,381_?? ??
110001,381_01_MOVE.FXG,381_?? ??
110002,381_01_RUN.FXG,381_?? ???
110003,381_01_CABLE_STOP.FXG,381_?? ?? ?? ??
110004,381_01_CABLE_MOVE.FXG,381_?? ?? ?? ??
110005,381_01_LADDER_MOVE_UP.FXG,381_?? ??? ??
110006,381_01_LADDER_STOP.FXG,381_?? ??? ??
110007,381_01_LADDER_MOVE_DOWN.FXG,381_?? ??? ???
110008,381_01_ROPE_MOVE_UP.FXG,381_?? ??? ??
110009,381_01_ROPE_STOP.FXG,381_?? ??? ??
110010,381_01_ROPE_MOVE_DOWN.FXG,381_?? ??? ???
