ID,_Sequence,_ImageResource,_Type,_Message_Ani_Index1,_Message_Probability1,_Message1_1,_Message1_2,_Message1_3,_Message_Ani_Index2,_Message_Probability2,_Message2_1,_Message2_2,_Message2_3,_Message_Ani_Index3,_Message_Probability3,_Message3_1,_Message3_2,_Message3_3,_Stage,_Name,_Icon,_IconIndex,_Description,_Tip,_Name_Visible,_Hp_Visible,_Creation_FX,_Shadow_Visible,_Mark_Icon,_Mark_IconIndex,_BossHPCount
810000101,3_1001_01,,6,0,0,,,,0,0,,,,0,0,,,,,耶比妹妹,10004000,1,,,1,1,0,1,10007000,1,1
810000102,3_1001_02,,6,0,0,,,,0,0,,,,0,0,,,,18,耶比哥哥,10004000,40,,,1,1,0,1,10007000,1,1
810000103,2_001_03,2_001_03_10,1,0,0,,,,0,0,,,,0,0,,,,15,機器耶比,10004000,45,,,1,1,0,1,10007000,1,1
810000104,3_1002_01,,6,0,0,,,,0,0,,,,0,0,,,,3,兵蟻G,10004000,2,,,1,1,0,1,10007000,1,1
810000105,3_1002_02,,6,0,0,,,,0,0,,,,0,0,,,,13,毒蟻G,10004000,34,,,1,1,0,1,10007000,1,1
810000106,3_1002_03,,6,0,0,,,,0,0,,,,0,0,,,,16,白色蟻G,10004000,41,,,1,1,0,1,10007000,2,1
810000107,3_1002_04,,6,0,0,,,,0,0,,,,0,0,,,,25,灰色蟻G,10004000,46,,,1,1,0,1,10007000,1,1
810000108,2_001_08,2_001_08_10,1,0,0,,,,0,0,,,,0,0,,,,"12,21",黑色蟻G,10004000,47,,,1,1,0,1,10007000,1,1
810000109,3_1010_01,,6,0,0,,,,0,0,,,,0,0,,,,3,野狗,10004000,3,,,1,1,0,1,10007000,1,1
810000110,3_1010_02,,6,0,0,,,,0,0,,,,0,0,,,,25,兇犬,10004000,42,,,1,1,0,1,10007000,1,1
810000111,3_1003_01,,6,0,0,,,,0,0,,,,0,0,,,,3,蒼狼,10004000,4,,,1,1,0,1,10007000,1,1
810000112,3_1003_02,,6,0,0,,,,0,0,,,,0,0,,,,47,青狼,10004000,43,,,1,1,0,1,10007000,1,1
810000113,3_1004_01,,6,0,0,,,,0,0,,,,0,0,,,,4,黃甲衛兵,10004000,5,,,1,1,0,1,10007000,1,1
810000114,3_1004_02,,6,0,0,,,,0,0,,,,0,0,,,,13,藍甲衛兵,10004000,35,,,1,1,0,1,10007000,1,1
810000115,3_1004_03,,6,0,0,,,,0,0,,,,0,0,,,,4,花花衛兵,10004000,44,,,1,1,0,1,10007000,1,1
810000116,3_1001_03,,6,0,0,,,,0,0,,,,0,0,,,,22,耶比弟弟,10004000,6,,,1,1,0,1,10007000,2,1
810000117,2_001_17,2_001_17_10,1,0,0,,,,0,0,,,,0,0,,,,14,殭屍耶比弟弟,10004000,36,,,1,1,0,1,10007000,2,1
810000118,2_001_18,2_001_18_10,1,0,0,,,,0,0,,,,0,0,,,,4,綠凍凍,10004000,7,,,1,1,0,1,10007000,1,1
810000119,2_001_19,2_001_19_10,1,0,0,,,,0,0,,,,0,0,,,,24,橙凍凍,10004000,37,,,1,1,0,1,10007000,2,1
810000120,2_001_20,2_001_20_10,1,0,0,,,,0,0,,,,0,0,,,,4,哥布林,10004000,8,,,1,1,0,1,10007000,1,1
810000121,2_001_21,2_001_21_10,1,0,0,,,,0,0,,,,0,0,,,,"4,205",大王哥布林,10004000,9,,,1,1,0,1,10007000,5,1
810000122,2_001_22,2_001_22_10,1,0,0,,,,0,0,,,,0,0,,,,14,魔王哥布林,10004000,81,,,1,1,0,1,10007000,5,1
810000123,3_1005_01,,6,0,0,,,,0,0,,,,0,0,,,,21,棕熊,10004000,10,,,1,1,0,1,10007000,1,1
810000124,3_1006_01,,6,0,0,,,,0,0,,,,0,0,,,,21,狐狸巡邏兵,10004000,11,,,1,1,0,1,10007000,1,1
810000125,3_1007_01,,6,0,0,,,,0,0,,,,0,0,,,,21,老虎,10004000,12,,,1,1,0,1,10007000,1,1
810000126,3_1007_02,,6,0,0,,,,0,0,,,,0,0,,,,"22,61,202",白虎,10004000,13,,,1,1,0,1,10007000,2,1
810000127,3_1007_03,,6,0,0,,,,0,0,,,,0,0,,,,22,黑虎,10004000,14,,,1,1,0,1,10007000,2,1
810000128,2_001_28,2_001_28_10,1,0,0,,,,0,0,,,,0,0,,,,21,九尾狐,10004000,15,,,1,1,0,1,10007000,1,1
810000129,2_001_29,2_001_29_10,1,0,0,,,,0,0,,,,0,0,,,,22,銀髮天狐,10004000,15,,,1,1,0,1,10007000,2,1
810000130,3_1008_01,,6,0,0,,,,0,0,,,,0,0,,,,22,青蛙G,10004000,16,,,1,1,0,1,10007000,2,1
810000131,3_1009_01,,6,0,0,,,,0,0,,,,0,0,,,,"22,61,202",蜜桃怪,10004000,17,,,1,1,0,1,10007000,2,1
810000132,3_1005_02,,6,0,0,,,,0,0,,,,0,0,,,,21,黑熊,10004000,18,,,1,1,0,1,10007000,1,1
810000133,3_1010_03,,6,0,0,,,,0,0,,,,0,0,,,,23,獵犬,10004000,19,,,1,1,0,1,10007000,1,1
810000134,2_001_34,2_001_34_10,1,0,0,,,,0,0,,,,0,0,,,,23,河童,10004000,20,,,1,1,0,1,10007000,1,1
810000135,2_001_35,2_001_35_10,1,0,0,,,,0,0,,,,0,0,,,,23,櫻花樹邪靈,10004000,21,,,1,1,0,1,10007000,2,1
810000136,2_001_36,2_001_36_10,1,0,0,,,,0,0,,,,0,0,,,,23,白櫻花樹邪靈,10004000,22,,,1,1,0,1,10007000,2,1
810000137,3_1006_02,,6,0,0,,,,0,0,,,,0,0,,,,23,狐狸武士,10004000,23,,,1,1,0,1,10007000,1,1
810000138,2_001_38,2_001_38_10,1,0,0,,,,0,0,,,,0,0,,,,15,幽靈狼,10004000,24,,,1,1,0,1,10007000,2,1
810000139,3_1011_01,,6,0,0,,,,0,0,,,,0,0,,,,"15,162,163",青影忍者,10004000,25,,,1,1,0,1,10007000,2,1
810000140,3_1011_02,,6,0,0,,,,0,0,,,,0,0,,,,"15,162,163",赤影忍者,10004000,26,,,1,1,0,1,10007000,2,1
810000141,3_1011_03,,6,0,0,,,,0,0,,,,0,0,,,,"15,162,163",紫影忍者,10004000,27,,,1,1,0,1,10007000,1,1
810000142,3_1011_04,,6,0,0,,,,0,0,,,,0,0,,,,"15,162,163",黑影忍者,10004000,28,,,1,1,0,1,10007000,1,1
810000143,3_1011_05,,6,0,0,,,,0,0,,,,0,0,,,,"15,162,163",白影忍者,10004000,29,,,1,1,0,1,10007000,1,1
810000144,3_1012_01,,6,0,0,,,,0,0,,,,0,0,,,,"15,32",鬼武士,10004000,30,,,1,1,0,1,10007000,4,1
810000145,2_001_45,2_001_45_10,1,0,0,,,,0,0,,,,0,0,,,,24,狂暴沙盜,10004000,48,,,1,1,0,1,10007000,2,1
810000146,2_001_46,2_001_46_10,1,0,0,,,,0,0,,,,0,0,,,,24,禿鷲,10004000,49,,,1,1,0,1,10007000,2,1
810000147,2_001_47,2_001_47_10,1,0,0,,,,0,0,,,,0,0,,,,"13,14,32",蝙蝠,10004000,38,,,1,1,0,0,10007000,1,1
810000148,2_001_48,2_001_48_10,1,0,0,,,,0,0,,,,0,0,,,,"13,14,32",地下蝙蝠,10004000,39,,,1,1,0,0,10007000,2,1
810000149,3_1001_04,,6,0,0,,,,0,0,,,,0,0,,,,24,紫色耶比妹妹,10004000,50,,,1,1,0,1,10007000,2,1
810000150,2_001_50,2_001_50_10,1,0,0,,,,0,0,,,,0,0,,,,24,玫瑰凍凍,10004000,51,,,1,1,0,1,10007000,2,1
810000151,2_001_51,2_001_51_10,1,0,0,,,,0,0,,,,0,0,,,,24,刺花美眉,10004000,52,,,1,1,0,1,10007000,2,1
810000152,3_1013_01,,6,0,0,,,,0,0,,,,0,0,,,,18,殭屍,10004000,53,,,1,1,0,1,10007000,1,1
810000153,2_001_53,2_001_53_10,1,0,0,,,,0,0,,,,0,0,,,,18,木乃伊殭屍,10004000,54,,,1,1,0,1,10007000,1,1
810000154,2_001_54,2_001_54_10,1,0,0,,,,0,0,,,,0,0,,,,"18,64",骷髏戰士,10004000,55,,,1,1,0,1,10007000,1,1
810000155,2_001_55,2_001_55_10,1,0,0,,,,0,0,,,,0,0,,,,"18,64",蛇女,10004000,56,,,1,1,0,1,10007000,2,1
810000156,2_001_56,2_001_56_10,1,0,0,,,,0,0,,,,0,0,,,,"18,64",吞天獸,10004000,57,,,1,1,0,1,10007000,2,1
810000157,2_001_57,2_001_57_10,1,0,0,,,,0,0,,,,0,0,,,,"18,64",木乃伊耶比,10004000,58,,,1,1,0,1,10007000,1,1
810000158,2_001_58,2_001_58_10,1,0,0,,,,0,0,,,,0,0,,,,32,筋肉人,10004000,59,,,1,1,0,1,10007000,4,1
810000159,2_001_59,2_001_59_10,1,0,0,,,,0,0,,,,0,0,,,,"15,32",影子忍者王,10004000,60,,,1,1,0,1,10007000,4,1
810000160,2_001_60,2_001_60_10,1,0,0,,,,0,0,,,,0,0,,,,16,雪女,10004000,61,,,1,1,0,1,10007000,2,1
810000161,2_001_61,2_001_61_10,1,0,0,,,,0,0,,,,0,0,,,,16,毛絨球,10004000,62,,,1,1,0,1,10007000,2,1
810000162,2_001_62,2_001_62_10,1,0,0,,,,0,0,,,,0,0,,,,36,蘑菇君,10004000,63,,,1,0,0,0,10007000,2,1
810000163,2_001_63,2_001_63_10,1,0,0,,,,0,0,,,,0,0,,,,36,醜頭怪,10004000,64,,,1,0,0,0,10007000,4,1
810000164,2_001_64,2_001_64_10,1,0,0,,,,0,0,,,,0,0,,,,30,蜘蛛精,10004000,65,,,1,1,0,1,10007000,1,1
810000165,2_001_65,2_001_65_10,1,0,0,,,,0,0,,,,0,0,,,,30,吸血蝙蝠,10004000,66,,,1,1,0,0,10007000,1,1
810000166,2_001_66,2_001_66_10,1,0,0,,,,0,0,,,,0,0,,,,31,電鋸狂人,10004000,67,,,1,1,0,1,10007000,1,1
810000167,2_001_67,2_001_67_10,1,0,0,,,,0,0,,,,0,0,,,,31,亡靈巫師,10004000,68,,,1,1,0,1,10007000,1,1
810000168,2_001_68,2_001_68_10,1,0,0,,,,0,0,,,,0,0,,,,31,靈魂收割者,10004000,69,,,1,1,0,0,10007000,2,1
810000169,2_001_69,2_001_69_10,1,0,0,,,,0,0,,,,0,0,,,,30,大嘴食人花,10004000,70,,,1,1,0,1,10007000,2,1
810000170,2_001_70,2_001_70_10,1,0,0,,,,0,0,,,,0,0,,,,5,奶嘴饞寶寶,10004000,71,,,1,1,0,1,10007000,1,1
810000171,2_001_71,2_001_71_10,1,0,0,,,,0,0,,,,0,0,,,,5,蝴蝶仙子,10004000,72,,,1,1,0,1,10007000,1,1
810000172,2_001_72,2_001_72_10,1,0,0,,,,0,0,,,,0,0,,,,12,南瓜怪,10004000,73,,,1,1,0,0,10007000,2,1
810000173,2_001_73,2_001_73_10,1,0,0,,,,0,0,,,,0,0,,,,11,蟻后,10004000,74,,,1,1,0,1,10007000,2,1
810000174,2_001_74,2_001_74_10,1,0,0,,,,0,0,,,,0,0,,,,21,強盜狼,10004000,75,,,1,1,0,1,10007000,1,1
810000175,2_001_75,2_001_75_10,1,0,0,,,,0,0,,,,0,0,,,,21,耶比爸爸,10004000,76,,,1,1,0,1,10007000,1,1
810000176,2_001_76,2_001_76_10,1,0,0,,,,0,0,,,,0,0,,,,22,齊天大聖,10004000,77,,,1,1,0,1,10007000,2,1
