ID,_Guide_Type,_LvSection,_Name,_Category,_CategoryPosition,_ConditionType,_ConditionID,_Open,_TipMessage,_PortalID,_TipItemLink,_HelpType,_HelpImage,_HelpMessage,_SystemLinkID,_SystemSubID,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_HelpLinkID
1,1,,任務,1,1,2,58958905,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0
2,1,Lv. 1 ~ 20,,2,101,2,58958906,0,\n1. 點擊[立即前往]後可移動至NPC所在地區\n   並向NPC執行任務。\n\n2. 使用快捷鍵[詳細地圖(M)]與[世界地圖(W)]\n   可更便利地尋找NPC。,10101,10100,0,,,0,0,0,0,0,0,0,0,0,0,0
3,1,Lv. 20 ~ 40,,2,102,1,20,0,\n1. 點擊[立即前往]後可移動至NPC所在地區\n   並向NPC執行任務。\n\n2. 使用快捷鍵[詳細地圖(M)]與[世界地圖(W)]\n   可更便利地尋找NPC。,10102,10100,0,,,0,0,0,0,0,0,0,0,0,0,0
4,1,Lv. 40 ~ 60,,2,103,1,40,0,\n1. 點擊[立即前往]後可移動至NPC所在地區\n   並向NPC執行任務。\n\n2. 使用快捷鍵[詳細地圖(M)]與[世界地圖(W)]\n   可更便利地尋找NPC。,10103,10100,0,,,0,0,0,0,0,0,0,0,0,0,0
5,1,Lv. 60 ~ 80,,2,104,1,60,0,\n1. 點擊[立即前往]後可移動至NPC所在地區\n   並向NPC執行任務。\n\n2. 使用快捷鍵[詳細地圖(M)]與[世界地圖(W)]\n   可更便利地尋找NPC。,10104,10100,0,,,0,0,0,0,0,0,0,0,0,0,0
6,1,Lv. 80 ~ 100,,2,105,1,80,0,\n1. 點擊[立即前往]後可移動至NPC所在地區\n   並向NPC執行任務。\n\n2. 使用快捷鍵[詳細地圖(M)]與[世界地圖(W)]\n   可更便利地尋找NPC。,10105,10100,0,,,0,0,0,0,0,0,0,0,0,0,0
7,1,Lv. 100 ~ 120,,2,106,1,100,0,\n1. 點擊[立即前往]後可移動至NPC所在地區\n   並向NPC執行任務。\n\n2. 使用快捷鍵[詳細地圖(M)]與[世界地圖(W)]\n   可更便利地尋找NPC。,10106,10100,0,,,0,0,0,0,0,0,0,0,0,0,0
8,1,Lv. 120 ~ 140,,2,107,1,120,0,\n1. 點擊[立即前往]後可移動至NPC所在地區\n   並向NPC執行任務。\n\n2. 使用快捷鍵[詳細地圖(M)]與[世界地圖(W)]\n   可更便利地尋找NPC。,10107,10100,0,,,0,0,0,0,0,0,0,0,0,0,0
9,1,Lv. 140 ~ 160,,2,108,1,140,0,\n1. 點擊[立即前往]後可移動至NPC所在地區\n   並向NPC執行任務。\n\n2. 使用快捷鍵[詳細地圖(M)]與[世界地圖(W)]\n   可更便利地尋找NPC。,10108,10100,0,,,0,0,0,0,0,0,0,0,0,0,0
10,1,Lv. 160 ~ 180,,2,109,1,180,0,\n1. 點擊[立即前往]後可移動至NPC所在地區\n   並向NPC執行任務。\n\n2. 使用快捷鍵[詳細地圖(M)]與[世界地圖(W)]\n   可更便利地尋找NPC。,10109,10100,0,,,0,0,0,0,0,0,0,0,0,0,0
11,1,Lv. 180 ~ 200,,2,110,1,200,0,\n1. 點擊[立即前往]後可移動至NPC所在地區\n   並向NPC執行任務。\n\n2. 使用快捷鍵[詳細地圖(M)]與[世界地圖(W)]\n   可更便利地尋找NPC。,10110,10100,0,,,0,0,0,0,0,0,0,0,0,0,0
12,1,Lv. 200 ~ 220,,2,111,0,0,0,\n1. 點擊[立即前往]後可移動至NPC所在地區\n   並向NPC執行任務。\n\n2. 使用快捷鍵[詳細地圖(M)]與[世界地圖(W)]\n   可更便利地尋找NPC。,10111,10100,0,,,0,0,0,0,0,0,0,0,0,0,0
13,1,Lv. 220 ~ 235,,2,112,0,0,0,\n1. 點擊[立即前往]後可移動至NPC所在地區\n   並向NPC執行任務。\n\n2. 使用快捷鍵[詳細地圖(M)]與[世界地圖(W)]\n   可更便利地尋找NPC。,10112,10100,0,,,0,0,0,0,0,0,0,0,0,0,0
14,1,,經驗值副本,1,2,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0
15,1,Lv. 1 ~ 200,,2,201,0,0,0,\n1. 高難易度的怪物塔。\n\n2. 於同一帳號內養成輔助角色時\n   特化為升級的副本。,10201,10200,0,,,0,0,0,0,0,0,0,0,0,0,0
16,1,Lv. 160 ~ 200,,2,202,0,0,0,\n\n1. 至200等級經驗值供需流暢的副本。,10202,10200,0,,,0,0,0,0,0,0,0,0,0,0,0
17,1,Lv. 200 ~ 210,,2,203,0,0,0,1. 200等級以上經驗值供需流暢的副本。\n\n2. 200等級以上的[立即前往]功能只可於\n   傳送點期間剩餘的情況下使用。\n\n3. 200等級以上也可使用青空城[立即前往]功能。,10203,10200,0,,,0,0,0,0,0,0,0,0,0,0,0
18,1,Lv. 210 ~ 220,,2,204,0,0,0,\n1. 200等級以上經驗值供需流暢的副本。\n\n2. 200等級以上的[立即前往]功能只可於\n   傳送點期間剩餘的情況下使用。,10204,10200,0,,,0,0,0,0,0,0,0,0,0,0,0
19,1,Lv. 220 ~ 235,,2,205,0,0,0,\n1. 200等級以上經驗值供需流暢的副本。\n\n2. 200等級以上的[立即前往]功能只可於\n   傳送點期間剩餘的情況下使用。,10205,10200,0,,,0,0,0,0,0,0,0,0,0,0,0
20,1,,金幣副本,1,3,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0
21,1,金幣副本,,2,301,0,0,0,\n1. [彩虹幣獲得量] 能力值越高，可獲得\n   越多金幣。\n\n2.金幣副本的進入次數為帳號共用。,10301,10300,0,,,0,0,0,0,0,0,0,0,0,0,0
22,1,,副本列表,1,4,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0
