ID,_Text,_PortalID1,_PortalID2,_PortalID3,_PortalID4,_PortalID5,_PortalID6,_PortalID7,_PortalID8,_PortalID9,_PortalID10,_PortalID11,_PortalID12,_PortalID13,_PortalID14,_PortalID15,_PortalID16,_PortalID17,_PortalID18,_PortalID19,_PortalID20
10101,Lv. 1 ~ 20,10101,10103,10102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10102,Lv. 20 ~ 40,10201,10202,10203,10204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10103,Lv. 40 ~ 60,10301,10302,10303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10104,Lv. 60 ~ 80,10401,10402,10403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10105,Lv. 80 ~ 100,10501,10502,10503,10504,10505,10506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10106,Lv. 100 ~ 120,10601,10602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10107,Lv. 120 ~ 140,10701,10702,10703,10704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10108,Lv. 140 ~ 160,10801,10802,10803,10804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10109,Lv. 160 ~ 180,10901,10902,10903,10904,10905,10906,10907,0,0,0,0,0,0,0,0,0,0,0,0,0
10110,Lv. 180 ~ 200,11001,11002,11003,11004,11005,11006,11007,11008,0,0,0,0,0,0,0,0,0,0,0,0
10111,Lv. 200 ~ 220,11101,11102,11103,11104,11105,11106,11107,11108,11109,11110,11111,0,0,0,0,0,0,0,0,0
10112,Lv. 220 ~ 235,11201,11202,11203,11204,11205,11206,11207,11208,11209,11210,11211,11212,11213,11214,11215,11216,0,0,0,0
10201,Lv. 1 ~ 200,20101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10202,Lv. 160 ~ 200,20201,20202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10203,Lv. 200 ~ 210,20301,20302,20303,20305,20304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10204,Lv. 210 ~ 220,20401,20402,20403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10205,Lv. 220 ~ 235,20501,20502,20503,20505,20504,20506,20507,0,0,0,0,0,0,0,0,0,0,0,0,0
10301,?? ??,30114,30115,30116,30117,30118,30119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,??? ??,2010201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20003,??? ??,2010202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20004,??? ??,2010203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20005,???? & ??? ??,2010204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20006,????? ??,2010205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20007,??? ??,2010206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20008,??? ??,2010207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20102,???? ?? ???,2010208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20103,??? ???,2010202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20104,??? ???,2010203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20105,??? ???,2010204,2010209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20106,??? ???,2010210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20107,??? ? ???,2010211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
