ID,_Mission_Step_Point,_Guild_Rank_Require,_Mission_Background,_Mission_Background_Index,_Reward_ITEM_ID1,_Reward_ITEM_Count1,_Reward_ITEM_Rare1,_Reward_ITEM_Point1,_Reward_ITEM_ID2,_Reward_ITEM_Count2,_Reward_ITEM_Rare2,_Reward_ITEM_Point2,_Reward_ITEM_ID3,_Reward_ITEM_Count3,_Reward_ITEM_Rare3,_Reward_ITEM_Point3,_Reward_ITEM_ID4,_Reward_ITEM_Count4,_Reward_ITEM_Rare4,_Reward_ITEM_Point4,_Reward_ITEM_ID5,_Reward_ITEM_Count5,_Reward_ITEM_Rare5,_Reward_ITEM_Point5
1,30800,1,10001300,1,190146979,7,1,0,170196208,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36400,2,10001300,1,190146979,14,1,0,170196208,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,42000,3,10001300,1,190146979,21,1,0,170196208,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,47600,4,10001300,1,190146979,28,1,0,170196208,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,53200,5,10001300,1,190146979,35,1,0,170196208,5,1,0,190146977,1,1,0,0,0,0,0,0,0,0,0
6,58800,6,10001300,1,190146979,42,1,0,170196208,6,1,0,190146977,1,1,0,0,0,0,0,0,0,0,0
7,64400,7,10001300,1,190146979,49,1,0,170196208,7,1,0,190146977,1,1,0,0,0,0,0,0,0,0,0
8,70000,8,10001300,1,190146979,56,1,0,170196208,8,1,0,190146977,1,1,0,0,0,0,0,0,0,0,0
9,75600,9,10001300,1,190146979,63,1,0,170196208,9,1,0,190146977,1,1,0,0,0,0,0,0,0,0,0
10,81200,10,10001300,1,190146979,70,1,0,170196208,10,1,0,190146977,2,1,0,0,0,0,0,0,0,0,0
11,86800,11,10001300,1,190146979,72,1,0,170196208,11,1,0,190146977,2,1,0,0,0,0,0,0,0,0,0
12,92400,11,10001300,1,190146979,74,1,0,170196208,12,1,0,190146977,2,1,0,0,0,0,0,0,0,0,0
13,98000,12,10001300,1,190146979,76,1,0,170196208,13,1,0,190146977,2,1,0,0,0,0,0,0,0,0,0
14,103600,12,10001300,1,190146979,78,1,0,170196208,14,1,0,190146977,2,1,0,0,0,0,0,0,0,0,0
15,109200,13,10001300,1,190146979,80,1,0,170196208,15,1,0,190146977,2,1,0,0,0,0,0,0,0,0,0
16,114800,13,10001300,1,190146979,82,1,0,170196208,16,1,0,190146977,2,1,0,0,0,0,0,0,0,0,0
17,120400,14,10001300,1,190146979,84,1,0,170196208,17,1,0,190146977,2,1,0,0,0,0,0,0,0,0,0
18,126000,14,10001300,1,190146979,86,1,0,170196208,18,1,0,190146977,2,1,0,0,0,0,0,0,0,0,0
19,131600,15,10001300,1,190146979,88,1,0,170196208,19,1,0,190146977,2,1,0,0,0,0,0,0,0,0,0
20,137200,15,10001300,1,190146979,90,1,0,170196208,20,1,0,190146977,3,1,0,0,0,0,0,0,0,0,0
21,142800,16,10001300,1,190146979,92,1,0,170196208,21,1,0,190146977,3,1,0,0,0,0,0,0,0,0,0
22,148400,16,10001300,1,190146979,94,1,0,170196208,22,1,0,190146977,3,1,0,0,0,0,0,0,0,0,0
23,154000,17,10001300,1,190146979,96,1,0,170196208,23,1,0,190146977,3,1,0,0,0,0,0,0,0,0,0
24,159600,17,10001300,1,190146979,98,1,0,170196208,24,1,0,190146977,3,1,0,0,0,0,0,0,0,0,0
25,165200,18,10001300,1,190146979,100,1,0,170196208,25,1,0,190146977,3,1,0,0,0,0,0,0,0,0,0
26,170800,18,10001300,1,190146979,102,1,0,170196208,26,1,0,190146977,3,1,0,0,0,0,0,0,0,0,0
27,176400,19,10001300,1,190146979,104,1,0,170196208,27,1,0,190146977,3,1,0,0,0,0,0,0,0,0,0
28,182000,19,10001300,1,190146979,106,1,0,170196208,28,1,0,190146977,3,1,0,0,0,0,0,0,0,0,0
29,187600,20,10001300,1,190146979,108,1,0,170196208,29,1,0,190146977,3,1,0,0,0,0,0,0,0,0,0
30,193200,20,10001300,1,190146979,110,1,0,170196208,30,1,0,190146977,4,1,0,0,0,0,0,0,0,0,0
31,198800,21,10001300,1,190146979,112,1,0,170196208,31,1,0,190146977,4,1,0,0,0,0,0,0,0,0,0
32,204400,21,10001300,1,190146979,114,1,0,170196208,32,1,0,190146977,4,1,0,0,0,0,0,0,0,0,0
33,210000,22,10001300,1,190146979,116,1,0,170196208,33,1,0,190146977,4,1,0,0,0,0,0,0,0,0,0
34,215600,22,10001300,1,190146979,118,1,0,170196208,34,1,0,190146977,4,1,0,0,0,0,0,0,0,0,0
35,221200,23,10001300,1,190146979,120,1,0,170196208,35,1,0,190146977,4,1,0,0,0,0,0,0,0,0,0
36,226800,23,10001300,1,190146979,122,1,0,170196208,36,1,0,190146977,4,1,0,0,0,0,0,0,0,0,0
37,232400,24,10001300,1,190146979,124,1,0,170196208,37,1,0,190146977,4,1,0,0,0,0,0,0,0,0,0
38,238000,24,10001300,1,190146979,126,1,0,170196208,38,1,0,190146977,4,1,0,0,0,0,0,0,0,0,0
39,243600,25,10001300,1,190146979,128,1,0,170196208,39,1,0,190146977,4,1,0,0,0,0,0,0,0,0,0
40,249200,25,10001300,1,190146979,130,1,0,170196208,40,1,0,190146977,5,1,0,0,0,0,0,0,0,0,0
41,254800,26,10001300,1,190146979,132,1,0,170196208,41,1,0,190146977,5,1,0,0,0,0,0,0,0,0,0
42,260400,26,10001300,1,190146979,134,1,0,170196208,42,1,0,190146977,5,1,0,0,0,0,0,0,0,0,0
43,266000,27,10001300,1,190146979,136,1,0,170196208,43,1,0,190146977,5,1,0,0,0,0,0,0,0,0,0
44,271600,27,10001300,1,190146979,138,1,0,170196208,44,1,0,190146977,5,1,0,0,0,0,0,0,0,0,0
45,277200,28,10001300,1,190146979,140,1,0,170196208,45,1,0,190146977,5,1,0,0,0,0,0,0,0,0,0
46,282800,28,10001300,1,190146979,142,1,0,170196208,46,1,0,190146977,5,1,0,0,0,0,0,0,0,0,0
47,288400,29,10001300,1,190146979,144,1,0,170196208,47,1,0,190146977,5,1,0,0,0,0,0,0,0,0,0
48,294000,29,10001300,1,190146979,146,1,0,170196208,48,1,0,190146977,5,1,0,0,0,0,0,0,0,0,0
49,299600,30,10001300,1,190146979,148,1,0,170196208,49,1,0,190146977,5,1,0,0,0,0,0,0,0,0,0
50,305200,30,10001300,1,190146979,150,1,0,170196208,50,1,0,190146977,7,1,0,0,0,0,0,0,0,0,0
