ID,Type1,Type2,Type3,Type4,Type5,Type6,Type7,Type8,Type9,Type10,Type11,Type12,Type13,Type14,Type15,Type16,Type17,Type18,Type19,Type20,Type21,Type22,Type23,Type24,Type25,Type26,Type27,Type28,Type29,Type30,Type31,Type32,Type33,Type34,Type35,Type36,Type37,Type38,Type39,Type40
1,20,30,80,100,1100,1000000,24000,36000,54000,20000000,30000000,45000000,100000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,21,31,100,115,2200,2000000,25200,37800,56700,23000000,34500000,51750000,120000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,22,33,125,132,4400,3000000,26460,39690,59535,26450000,39675000,59512500,144000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,23,35,156,152,8800,0,27783,41674,62511,30417500,45626250,68439375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,24,38,195,175,17600,0,29172,43758,65637,34980125,52470187,78705281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,25,40,244,201,35200,0,30630,45946,68919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,27,42,305,231,70400,0,32162,48243,72365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,28,45,381,266,140800,0,33770,50655,75983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,30,48,477,306,281600,0,35458,53188,79782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,31,51,596,352,563200,0,37231,55847,83771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,33,54,745,405,0,0,39093,58640,87960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,34,57,932,466,0,0,41048,61572,92358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,36,61,1165,536,0,0,43100,64650,96976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
