ID,_Test,_ID,_Image,_Left,_Top,_Right,_Bottom,_Image_PosX,_Image_PosY,_Width,_Height,_Text_PosX,_Text_PosY,_Red,_Green,_Blue,_Bold,_Horizontal_Align,_Vertical_Align,_Text
1,,100,DATA/INTERFACE/HELP/HELP_01-00_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
2,,110,DATA/INTERFACE/HELP/HELP_01-01_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
3,,200,DATA/INTERFACE/HELP/HELP_02-00_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
4,,210,DATA/INTERFACE/HELP/HELP_02-01_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
5,,220,DATA/INTERFACE/HELP/HELP_02-02_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
6,,230,DATA/INTERFACE/HELP/HELP_02-03_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
7,,240,DATA/INTERFACE/HELP/HELP_02-04_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
8,,250,DATA/INTERFACE/HELP/HELP_02-05_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
9,,260,DATA/INTERFACE/HELP/HELP_02-06_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
10,,270,DATA/INTERFACE/HELP/HELP_02-07_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
11,,280,DATA/INTERFACE/HELP/HELP_02-08_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
12,,290,DATA/INTERFACE/HELP/HELP_02-09_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
13,,300,DATA/INTERFACE/HELP/HELP_03-00_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
14,,310,DATA/INTERFACE/HELP/HELP_03-01_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
15,,320,DATA/INTERFACE/HELP/HELP_03-02_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
16,,330,DATA/INTERFACE/HELP/HELP_03-03_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
17,,400,DATA/INTERFACE/HELP/HELP_04-00_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
18,,410,DATA/INTERFACE/HELP/HELP_04-01_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
19,,420,DATA/INTERFACE/HELP/HELP_04-02_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
20,,500,DATA/INTERFACE/HELP/HELP_05-00_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
21,,510,DATA/INTERFACE/HELP/HELP_05-01_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
22,,520,DATA/INTERFACE/HELP/HELP_05-02_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
23,,530,DATA/INTERFACE/HELP/HELP_05-03_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
24,,540,DATA/INTERFACE/HELP/HELP_05-04_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
25,,550,DATA/INTERFACE/HELP/HELP_05-05_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
26,,560,DATA/INTERFACE/HELP/HELP_05-06_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
27,,570,DATA/INTERFACE/HELP/HELP_05-07_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
28,,600,DATA/INTERFACE/HELP/HELP_06-00_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
29,,610,DATA/INTERFACE/HELP/HELP_06-01_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
30,,620,DATA/INTERFACE/HELP/HELP_06-02_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
31,,630,DATA/INTERFACE/HELP/HELP_06-03_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
32,,640,DATA/INTERFACE/HELP/HELP_06-04_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
33,,650,DATA/INTERFACE/HELP/HELP_06-05_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
34,,660,DATA/INTERFACE/HELP/HELP_06-06_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
35,,670,DATA/INTERFACE/HELP/HELP_06-07_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
36,,700,DATA/INTERFACE/HELP/HELP_07-00_0.png,0,0,340,318,0,0,341,319,0,0,0,0,0,0,0,0,
