ID,_Option_Group,_Option_Probability,_Name,_Option_Type,_Option_ID,_Option_Min,_Option_Max,_Unique_Check
1,10001,0,[1] 幸運 %+d,1,18,10,100,2
2,10001,60,[1] 防禦力 %+d,1,216,10,100,0
3,10001,50,[2] 防禦力 %+d,1,216,50,200,0
4,10001,35,[3] 防禦力 %+d,1,216,100,400,0
5,10001,15,[4] 防禦力 %+d,1,216,150,700,0
6,10001,7,[5] 防禦力 %+d,1,216,200,1000,0
7,10001,60,[1] 體力 %+d,1,26,10,100,0
8,10001,50,[2] 體力 %+d,1,26,50,200,0
9,10001,35,[3] 體力 %+d,1,26,100,400,0
10,10001,15,[4] 體力 %+d,1,26,150,700,0
11,10001,7,[5] 體力 %+d,1,26,200,1500,0
12,10001,60,[1] 幸運 %+d,1,18,10,100,0
13,10001,50,[2] 幸運 %+d,1,18,50,200,0
14,10001,35,[3] 幸運 %+d,1,18,100,400,0
15,10001,15,[4] 幸運 %+d,1,18,150,700,0
16,10001,7,[5] 幸運 %+d,1,18,200,1500,0
17,10001,60,[1] 抗力 %+d,1,70,10,100,0
18,10001,50,[2] 抗力 %+d,1,70,50,200,0
19,10001,35,[3] 抗力 %+d,1,70,100,400,0
20,10001,15,[4] 抗力 %+d,1,70,150,700,0
21,10001,7,[5] 抗力 %+d,1,70,200,1000,0
22,10001,60,[1] 力量/魔力 %+d,1,594,10,100,0
23,10001,50,[2] 力量/魔力 %+d,1,594,50,200,0
24,10001,35,[3] 力量/魔力 %+d,1,594,100,400,0
25,10001,15,[4] 力量/魔力 %+d,1,594,150,700,0
26,10001,5,[5] 力量/魔力 %+d,1,594,200,1500,0
27,10001,60,[1] 所有能力值 %+d,1,455,7,70,0
28,10001,50,[2] 所有能力值 %+d,1,455,35,140,0
29,10001,35,[3] 所有能力值 %+d,1,455,70,250,0
30,10001,15,[4] 所有能力值 %+d,1,455,105,500,0
31,10001,7,[5] 所有能力值 %+d,1,455,140,1000,0
32,10002,0,[1] 固定傷害 %+d,1,496,10,150,2
33,10002,60,[1] 固定傷害 %+d,1,496,10,150,0
34,10002,50,[2] 固定傷害 %+d,1,496,50,300,0
35,10002,35,[3] 固定傷害 %+d,1,496,100,600,0
36,10002,15,[4] 固定傷害 %+d,1,496,250,1000,0
37,10002,7,[5] 固定傷害 %+d,1,496,400,3000,0
38,10002,60,[1] 武器攻擊力/屬性力 %+d,1,586,1,4,0
39,10002,50,[2] 武器攻擊力/屬性力 %+d,1,586,2,7,0
40,10002,35,[3] 武器攻擊力/屬性力 %+d,1,586,3,11,0
41,10002,15,[4] 武器攻擊力/屬性力 %+d,1,586,4,16,0
42,10002,7,[5] 武器攻擊力/屬性力 %+d,1,586,8,40,0
43,10002,60,[1] 最小傷害 %+d%%,1,462,1,2,0
44,10002,50,[2] 最小傷害 %+d%%,1,462,1,4,0
45,10002,35,[3] 最小傷害 %+d%%,1,462,2,5,0
46,10002,15,[4] 最小傷害 %+d%%,1,462,2,8,0
47,10002,7,[5] 最小傷害 %+d%%,1,462,4,15,0
48,10002,60,[1] 最大傷害 %+d%%,1,461,1,2,0
49,10002,50,[2] 最大傷害 %+d%%,1,461,1,4,0
50,10002,35,[3] 最大傷害 %+d%%,1,461,2,5,0
51,10002,15,[4] 最大傷害 %+d%%,1,461,2,8,0
52,10002,7,[5] 最大傷害 %+d%%,1,461,4,15,0
53,10002,60,[1] 爆擊傷害 %+d%%,1,464,1,2,0
54,10002,50,[2] 爆擊傷害 %+d%%,1,464,1,4,0
55,10002,35,[3] 爆擊傷害 %+d%%,1,464,2,5,0
56,10002,15,[4] 爆擊傷害 %+d%%,1,464,2,8,0
57,10002,5,[5] 爆擊傷害 %+d%%,1,464,4,15,0
58,10002,60,[1] 背後攻擊傷害 %+d%%,1,494,1,3,0
59,10002,50,[2] 背後攻擊傷害 %+d%%,1,494,2,6,0
60,10002,35,[3] 背後攻擊傷害 %+d%%,1,494,3,8,0
61,10002,15,[4] 背後攻擊傷害 %+d%%,1,494,4,12,0
62,10002,7,[5] 背後攻擊傷害 %+d%%,1,494,7,25,0
63,10003,0,[1] 移動速度 %+d%%,1,106,1,5,2
64,10003,10,[S] 昇天擊 %+dLv,3,1210005,1,5,1
65,10003,10,[S] 狂風斬 %+dLv,3,1212005,1,5,1
66,10003,10,[S] 天破俠亂 %+dLv,3,1211005,1,5,1
67,10003,10,[S] 龍槍(風) %+dLv,3,1109107,1,5,1
68,10003,10,[S] 威力穿刺 %+dLv,3,1210007,1,5,1
69,10003,10,[S] 閃電長矛 %+dLv,3,1212007,1,5,1
70,10003,10,[S] 嗜魂刃 %+dLv,3,1210021,1,5,1
71,10003,10,[S] 十字劍 %+dLv,3,1109021,1,5,1
72,10003,10,[S] 逃遁 %+dLv,3,1210104,1,5,1
73,10003,10,[S] 圍繞斬 %+dLv,3,1109304,1,5,1
74,10003,10,[S] 劍氣波 %+dLv,3,1210004,1,5,1
75,10003,10,[S] 十字審判 %+dLv,3,1211004,1,5,1
76,10003,10,[S] 颱風鎚 %+dLv,3,1109406,1,5,1
77,10003,10,[S] 天降制裁 %+dLv,3,1211006,1,5,1
78,10003,10,[S] 威力襲捲 %+dLv,3,1210006,1,5,1
79,10003,10,[S] 天龍腳 III %+dLv,3,1107001,1,5,1
80,10003,10,[S] 旋風腳 %+dLv,3,1212002,1,5,1
81,10003,10,[S] 真空拳 %+dLv,3,1109201,1,5,1
82,10003,10,[S] 冰矢漫舞 %+dLv,3,2008006,1,5,1
