ID,_Ind_Map_Type,_Ind_Mapin_Stage,_Ind_Mapin_Group,_Ind_Mapin_X,_Ind_Mapin_Y,_Ind_Mapout_Stage,_Ind_Mapout_Group,_Ind_Mapout_X,_Ind_Mapout_Y,_Ind_Require1_Type,_Ind_Require1_ID,_Ind_Require1_Value1,_Ind_Require1_Value2,_Ind_Require2_Type,_Ind_Require2_ID,_Ind_Require2_Value1,_Ind_Require2_Value2,_Ind_Require3_Type,_Ind_Require3_ID,_Ind_Require3_Value1,_Ind_Require3_Value2,_Ind_Require4_Type,_Ind_Require4_ID,_Ind_Require4_Value1,_Ind_Require4_Value2,_Ind_Require5_Type,_Ind_Require5_ID,_Ind_Require5_Value1,_Ind_Require5_Value2,_Ind_String,_Ind_Destroy_Time,_Ind_Limit_Count,_Ind_Limit_Time,_Ind_Limit_Member,_Easy_Difficulty_RatioID,_Easy_Description,_Normal_Difficulty_RatioID,_Normal_Description,_Hard_Difficulty_RatioID,_Hard_Description,_Indun_Category,_IconFile,_IconIndex,_PortalID,_Account_Check
347,3,458,0,1927,1503,6,0,8131,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,???? ???,1,0,0,1,0,,0,,0,,1,10002000,33,0,0
340,2,451,0,439,1375,6,0,8131,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,? ??? ?? ? ??? ???!(???),1,0,0,4,0,,0,,0,,1,10002000,242,0,0
326,3,423,0,594,559,6,0,8131,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,??? ????(???),1,0,180,1,0,,0,,0,,1,10002000,87,0,0
327,3,422,0,486,1759,6,0,8131,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,??? ??? ??(???),1,0,0,1,0,,0,,0,,1,10002000,87,0,0
1,1,465,0,687,1279,6,5,228,1046,1,379,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,公會房間,1800,0,0,0,0,,0,,0,,0,0,0,0,0
2,1,464,0,314,1375,6,5,228,1046,1,379,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,公會房間,1800,0,0,0,0,,0,,0,,0,0,0,0,0
3,1,466,0,191,1231,6,5,228,1046,1,379,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,公會房間,1800,0,0,0,0,,0,,0,,0,0,0,0,0
1001,7,93,0,512,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,聊天房間,1,0,0,0,0,,0,,0,,0,0,0,0,0
1002,8,94,0,512,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,聊天房間,1,0,0,0,0,,0,,0,,0,0,0,0,0
1003,9,95,0,512,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,聊天房間,1,0,0,0,0,,0,,0,,0,0,0,0,0
42,5,151,0,160,1000,6,5,543,1433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,公會獎勵_中立,7200,0,0,0,0,,0,,0,,0,0,0,0,0
43,5,152,0,160,1000,6,5,543,1433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,公會獎勵_秩序,7200,0,0,0,0,,0,,0,,0,0,0,0,0
44,5,150,0,160,1000,6,5,543,1433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,公會獎勵_混沌,7200,0,0,0,0,,0,,0,,0,0,0,0,0
45,5,148,0,80,1450,6,5,543,1433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,公會獎勵_中立,7200,0,0,0,0,,0,,0,,0,0,0,0,0
46,5,149,0,80,1450,6,5,543,1433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,公會獎勵_中立,7200,0,0,0,0,,0,,0,,0,0,0,0,0
