ID,_XP_Ratio,_ElyMin_Ratio,_ElyMax_Ratio,_ItemProbability_Ratio,_Base_Atk_Ratio,_Base_Ele_Ratio,_MOD_BaseMHP_Ratio,_Base_Guard_Add,_ELASTICITY_Add,_Base_Water_Ratio,_BASE_NORMAL_Ratio,_BASE_HEAVY_Ratio,_Base_Atk_Min_Dam_Ratio,_Base_Atk_Max_Dam_Ratio,_Base_Ele_Min_Dam_Ratio,_Base_Ele_Max_Dam_Ratio,_Base_Speed_X_Ratio,_BASE_DAMAGE_ABSOLUTE_Ratio,_BASE_REDUCE_DAMAGE_ABSOLUTE_Ratio,_BASE_PHY_DODGE_RATE_Add,_BASE_ELE_DODGE_RATE_Add,_BASE_ELE_DAMAGE_ABSOLUTE_Ratio,_BASE_ELE_REDUCE_DAMAGE_ABSOLUTE_Ratio,_ADD_RES_STUN_Add,_ADD_RES_SLEEP_Add,_ADD_RES_CONFUSION_Add,_BASE_AMOR_Ratio,_BASE_RES_WATER_Ratio
2001,100,100,100,100,100,100,100,0,0,100,100,100,100,100,100,100,100,100,100,0,0,100,100,0,0,0,100,100
1001,50,25,25,100,100,100,50,-40,0,100,100,100,50,50,50,50,100,100,50,-200,-200,100,50,0,0,0,50,50
1002,50,25,25,100,100,100,40,-40,0,100,100,100,50,50,50,50,100,100,50,-200,-200,100,50,0,0,0,50,50
1003,50,25,25,100,100,100,35,-35,0,100,100,100,45,45,45,45,100,100,50,-200,-200,100,50,0,0,0,50,50
1004,50,25,25,100,100,100,30,-30,0,100,100,100,40,40,40,40,100,100,50,-200,-200,100,50,0,0,0,50,50
1005,50,25,25,100,100,100,25,-30,0,100,100,100,30,30,30,30,100,100,50,-200,-200,100,50,0,0,0,50,50
1006,50,25,25,100,100,100,20,-30,0,100,100,100,25,25,25,25,100,100,50,-200,-200,100,50,0,0,0,50,50
1007,50,25,25,100,100,100,20,-30,0,100,100,100,30,30,30,30,100,100,50,-200,-200,100,50,0,0,0,50,50
1008,50,0,25,100,100,100,15,-30,0,100,100,100,30,30,30,30,100,100,50,-200,-200,100,50,0,0,0,50,50
1009,50,25,25,100,100,100,15,-35,0,100,100,100,30,30,30,30,100,100,50,-200,-200,100,50,0,0,0,50,50
1010,50,25,25,100,100,100,15,-35,0,100,100,100,30,30,30,30,100,100,30,-200,-200,100,30,0,0,0,50,50
1100,60,25,25,100,100,100,50,-30,0,100,100,100,50,50,50,50,100,100,50,-200,-200,100,50,0,0,0,50,50
1101,60,25,25,100,100,100,40,-30,0,100,100,100,40,40,40,40,100,100,50,-200,-200,100,50,0,0,0,50,50
1102,60,25,25,100,100,100,35,-30,0,100,100,100,40,40,40,40,100,100,50,-200,-200,100,50,0,0,0,50,50
3002,380,100,100,100,1000,1000,15080,35,35,400,600,600,800,800,500,500,100,100,18300,310,310,100,18300,0,0,0,600,600
1011,50,25,25,100,100,100,15,-35,0,100,100,100,30,30,30,30,100,100,30,-200,-200,100,30,0,0,0,50,50
3003,1300,100,100,100,360,360,6811,0,350,200,200,200,550,550,550,550,150,100,9500,310,310,100,9500,0,0,0,700,700
3004,1200,100,100,100,580,580,6300,0,350,200,200,200,440,450,440,450,150,100,9500,310,310,100,9500,0,0,0,700,700
1014,50,25,25,100,100,100,13,-35,0,100,100,100,30,30,30,30,100,100,30,-200,-200,100,30,0,0,0,50,50
20,100,100,100,100,100,100,100,0,0,100,100,100,100,100,100,100,100,100,100,0,0,100,100,0,0,0,100,100
