ID,_ItemID1,_ItemProbability1,_ItemID2,_ItemProbability2,_ItemID3,_ItemProbability3,_ItemID4,_ItemProbability4,_ItemID5,_ItemProbability5,_ItemID6,_ItemProbability6,_ItemID7,_ItemProbability7,_ItemID8,_ItemProbability8,_ItemID9,_ItemProbability9,_ItemID10,_ItemProbability10,_ItemID11,_ItemProbability11,_ItemID12,_ItemProbability12,_ItemID13,_ItemProbability13,_ItemID14,_ItemProbability14,_ItemID15,_ItemProbability15,_ItemID16,_ItemProbability16,_ItemID17,_ItemProbability17,_ItemID18,_ItemProbability18,_ItemID19,_ItemProbability19,_ItemID20,_ItemProbability20
7000006,10220101,80,20620101,50,21020101,50,30220101,100,30420101,100,70220101,50,90520101,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7000007,10220201,80,20620201,100,21020201,100,30120201,40,70220201,80,90520201,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7000010,10220501,40,20620501,80,21020501,80,30120501,100,70220501,70,90520501,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7000011,10220601,100,20520601,80,20920601,80,30420601,60,70220601,40,90520601,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7000135,80802901,100,80402901,100,80602901,100,80302901,100,80702901,100,80102901,100,81202901,100,80502901,100,81302901,100,80902901,100,81002901,100,80202901,100,81402901,100,81602901,100,82802901,100,82902601,100,84002901,100,0,0,0,0,0,0
7990299,190191901,100,300150002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7990399,190191902,100,300150002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7030501,100100485,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7030502,60100485,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7030503,120100485,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
