ID,_Description,_AddTime1,_Material1,_AddTime2,_Material2,_AddTime3,_Material3,_AddTime4,_Material4,_AddTime5,_Material5,_AddTime6,_Material6
700100201,???? ?(Lv.1),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100202,???? ?(Lv.2),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100203,???? ?(Lv.3),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100204,???? ?(Lv.4),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100205,???? ?(Lv.5),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100206,?? ????(Lv.6),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100207,?? ????(Lv.7),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100208,?? ????(Lv.8),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100209,?? ????(Lv.9),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100210,?? ????(Lv.10),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100211,?? ????(Lv.11),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100212,?? ????(Lv.12),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100213,?? ????(Lv.13),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100214,?? ????(Lv.14),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100215,?? ????(Lv.15),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100216,?? ????(Lv.16),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100217,?? ????(Lv.17),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100218,?? ????(Lv.18),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
700100219,?? ????(Lv.19),720,190170101,1440,190170104,2160,190170105,360,190170106,720,190170107,0,0
