ID,_ResultID1,_ResultProbability1,_ResultCount1Min,_ResultCount1Max,_ResultID2,_ResultProbability2,_ResultCount2Min,_ResultCount2Max,_ResultID3,_ResultProbability3,_ResultCount3Min,_ResultCount3Max,_ResultID4,_ResultProbability4,_ResultCount4Min,_ResultCount4Max
1010,180134426,10000,6,6,0,0,0,0,0,0,0,0,0,0,0,0
1020,180134426,10000,6,6,0,0,0,0,0,0,0,0,0,0,0,0
1030,180134426,10000,6,12,0,0,0,0,0,0,0,0,0,0,0,0
1040,180134426,10000,6,12,0,0,0,0,0,0,0,0,0,0,0,0
1050,180134426,10000,6,18,0,0,0,0,0,0,0,0,0,0,0,0
1060,180134426,10000,6,18,180134427,1000,3,5,0,0,0,0,0,0,0,0
1070,180134426,10000,6,24,180134427,2000,3,10,0,0,0,0,0,0,0,0
1080,180134426,10000,6,24,180134427,3000,3,15,0,0,0,0,0,0,0,0
1090,180134426,10000,6,30,180134427,4000,3,20,0,0,0,0,0,0,0,0
1100,180134426,10000,6,30,180134427,5000,3,25,0,0,0,0,0,0,0,0
1110,0,0,0,0,180134427,10000,5,25,180134428,1000,2,4,0,0,0,0
1120,0,0,0,0,180134427,10000,5,25,180134428,2000,2,8,0,0,0,0
1130,0,0,0,0,180134427,10000,5,30,180134428,3000,2,12,0,0,0,0
1140,0,0,0,0,180134427,10000,5,30,180134428,4000,2,16,0,0,0,0
1150,0,0,0,0,180134427,10000,5,35,180134428,5000,2,20,0,0,0,0
1160,0,0,0,0,0,0,0,0,180134428,10000,4,20,180134429,1000,2,4
1170,0,0,0,0,0,0,0,0,180134428,10000,4,20,180134429,2000,2,8
1180,0,0,0,0,0,0,0,0,180134428,10000,4,24,180134429,3000,2,12
1190,0,0,0,0,0,0,0,0,180134428,10000,4,24,180134429,4000,2,16
1200,0,0,0,0,0,0,0,0,180134428,10000,4,28,180134429,5000,2,20
1210,0,0,0,0,0,0,0,0,0,0,0,0,180134429,10000,4,20
1220,0,0,0,0,0,0,0,0,0,0,0,0,180134429,10000,4,20
1230,0,0,0,0,0,0,0,0,0,0,0,0,180134429,10000,4,24
1240,0,0,0,0,0,0,0,0,0,0,0,0,180134429,10000,4,24
1250,0,0,0,0,0,0,0,0,0,0,0,0,180134429,10000,4,28
1260,0,0,0,0,0,0,0,0,0,0,0,0,180134429,10000,8,28
1270,0,0,0,0,0,0,0,0,0,0,0,0,180134429,10000,8,32
1280,0,0,0,0,0,0,0,0,0,0,0,0,180134429,10000,8,32
