ID,_Item1,_Count1,_Probability1,_Item2,_Count2,_Probability2,_Item3,_Count3,_Probability3,_Item4,_Count4,_Probability4,_Item5,_Count5,_Probability5,_Item6,_Count6,_Probability6,_Item7,_Count7,_Probability7,_Item8,_Count8,_Probability8,_Item9,_Count9,_Probability9,_Item10,_Count10,_Probability10,_Rare_Probability1,_Rare_Probability2,_Rare_Probability3,_Rare_Probability4,_Rare_Probability5
206001,40101701,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,4000,2000,1000,0
206002,40100101,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,4000,2000,1000,0
206003,40100201,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,4000,2000,1000,0
206004,40102301,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,4000,2000,1000,0
206005,40100701,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,4000,2000,1000,0
206006,40101201,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,4000,2000,1000,0
206007,40101301,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,4000,2000,1000,0
206008,40101501,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,4000,2000,1000,0
206009,40101401,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,4000,2000,1000,0
206010,40102501,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,4000,2000,1000,0
206011,40100401,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,4000,2000,1000,0
206012,40102401,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,4000,2000,1000,0
206013,40101601,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,4000,2000,1000,0
206014,40100801,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,4000,2000,1000,0
