ID,_Description,_Result,_When_Fails,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Require4_Type,_Require4_ID,_Require4_Value1,_Require4_Value2,_Item_OptionType,_Item_OptionClass,_Item_OptionGroup,_Item_OptionLevel,_Item_OptionGroup_Check,_Enchant_Material,_Enchant_Material_Count,_Consumption_OP_Min,_Consumption_OP_Max,_Probability_Modifier,_Probability_Min,_Probability_Max,_Error,_charge,_Enchant_type
1,Lv 1. ?? ??,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,300190025,1,5,15,10,5,95,,1000,1
2,Lv 2. ?? ??,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,100,1,1,300190025,1,5,15,10,5,95,,2500,1
3,Lv 3. ?? ??,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,100,2,1,300190025,1,5,15,10,5,95,,5000,1
4,Lv 4. ?? ??,104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,100,3,1,300190025,1,5,15,10,5,95,,8000,1
5,Lv 5. ?? ??,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,100,4,1,300190025,1,5,15,10,5,95,,12000,1
6,Lv 6. ?? ??,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,100,5,1,300190025,1,5,15,10,5,95,,18000,1
7,Lv 7. ?? ??,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,100,6,1,300190025,1,5,15,10,5,95,,27000,1
8,Lv 8. ?? ??,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,100,7,1,300190025,1,5,15,10,5,95,,55000,1
9,Lv 9. ?? ??,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,100,8,1,300190025,1,5,15,10,5,95,,68500,1
10,Lv 10. ?? ??,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,100,9,1,300190025,1,5,15,10,5,95,,89000,1
11,Lv 11. ?? ??,141,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,100,10,1,300190025,1,5,15,-70,70,70,,300000,1
12,Lv 12. ?? ??,142,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,100,11,1,300190025,1,5,15,-70,60,60,,500000,1
13,Lv 13. ?? ??,143,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,100,12,1,300190028,1,5,15,-70,50,50,,0,1
14,Lv 14. ?? ??,144,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,100,13,1,300190028,1,5,15,-70,50,50,,0,1
15,Lv 15. ?? ??,145,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,100,14,1,300190028,1,5,15,-70,50,50,,0,1
16,Lv 16. ?? ??,190,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,100,15,1,300190028,1,5,15,-70,50,50,,0,1
17,Lv 17. ?? ??,191,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,100,16,1,300190028,1,5,15,-70,50,50,,0,1
18,Lv 18. ?? ??,192,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,100,17,1,300190028,1,5,15,-70,50,50,,0,1
19,Lv 19. ?? ??,193,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,100,18,1,300190028,1,5,15,-70,50,50,,0,1
20,Lv 20. ?? ??,194,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,100,19,1,300190028,1,5,15,-70,50,50,,0,1
21,Lv 1. ?? ??,301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,300,0,0,300190025,1,5,15,10,5,95,,1000,1
22,Lv 2. ?? ??,302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,300,1,1,300190025,1,5,15,10,5,95,,2500,1
23,Lv 3. ?? ??,303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,300,2,1,300190025,1,5,15,10,5,95,,5000,1
24,Lv 4. ?? ??,304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,300,3,1,300190025,1,5,15,10,5,95,,8000,1
25,Lv 5. ?? ??,305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,300,4,1,300190025,1,5,15,10,5,95,,12000,1
26,Lv 6. ?? ??,306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,300,5,1,300190025,1,5,15,10,5,95,,18000,1
27,Lv 7. ?? ??,307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,300,6,1,300190025,1,5,15,10,5,95,,27000,1
28,Lv 8. ?? ??,308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,300,7,1,300190025,1,5,15,10,5,95,,55000,1
29,Lv 9. ?? ??,309,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,300,8,1,300190025,1,5,15,10,5,95,,68500,1
30,Lv 10. ?? ??,310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,300,9,1,300190025,1,5,15,10,5,95,,89000,1
31,Lv 11. ?? ??,341,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,300,10,1,300190025,1,5,15,-70,70,70,,300000,1
32,Lv 12. ?? ??,342,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,300,11,1,300190025,1,5,15,-70,60,60,,500000,1
33,Lv 13. ?? ??,343,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,300,12,1,300190028,1,5,15,-70,50,50,,0,1
34,Lv 14. ?? ??,344,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,300,13,1,300190028,1,5,15,-70,50,50,,0,1
35,Lv 15. ?? ??,345,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,300,14,1,300190028,1,5,15,-70,50,50,,0,1
36,Lv 16. ?? ??,390,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,300,15,1,300190028,1,5,15,-70,50,50,,0,1
37,Lv 17. ?? ??,391,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,300,16,1,300190028,1,5,15,-70,50,50,,0,1
38,Lv 18. ?? ??,392,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,300,17,1,300190028,1,5,15,-70,50,50,,0,1
39,Lv 19. ?? ??,393,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,300,18,1,300190028,1,5,15,-70,50,50,,0,1
40,Lv 20. ?? ??,394,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,300,19,1,300190028,1,5,15,-70,50,50,,0,1
41,Lv 1. ??? ??,501,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,500,0,0,300190025,1,5,15,10,5,95,,1000,1
42,Lv 2. ??? ??,502,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,500,1,1,300190025,1,5,15,10,5,95,,2500,1
43,Lv 3. ??? ??,503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,500,2,1,300190025,1,5,15,10,5,95,,5000,1
44,Lv 4. ??? ??,504,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,500,3,1,300190025,1,5,15,10,5,95,,8000,1
45,Lv 5. ??? ??,505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,500,4,1,300190025,1,5,15,10,5,95,,12000,1
46,Lv 6. ??? ??,506,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,500,5,1,300190025,1,5,15,10,5,95,,18000,1
47,Lv 7. ??? ??,507,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,500,6,1,300190025,1,5,15,10,5,95,,27000,1
48,Lv 8. ??? ??,508,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,500,7,1,300190025,1,5,15,10,5,95,,55000,1
49,Lv 9. ??? ??,509,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,500,8,1,300190025,1,5,15,10,5,95,,68500,1
50,Lv 10. ??? ??,510,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,500,9,1,300190025,1,5,15,10,5,95,,89000,1
51,Lv 11. ??? ??,541,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,500,10,1,300190025,1,5,15,-70,70,70,,300000,1
52,Lv 12. ??? ??,542,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,500,11,1,300190025,1,5,15,-70,60,60,,500000,1
53,Lv 13. ??? ??,543,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,500,12,1,300190028,1,5,15,-70,50,50,,0,1
54,Lv 14. ??? ??,544,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,500,13,1,300190028,1,5,15,-70,50,50,,0,1
55,Lv 15. ??? ??,545,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,500,14,1,300190028,1,5,15,-70,50,50,,0,1
56,Lv 16. ??? ??,590,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,500,15,1,300190028,1,5,15,-70,50,50,,0,1
57,Lv 17. ??? ??,591,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,500,16,1,300190028,1,5,15,-70,50,50,,0,1
58,Lv 18. ??? ??,592,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,500,17,1,300190028,1,5,15,-70,50,50,,0,1
59,Lv 19. ??? ??,593,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,500,18,1,300190028,1,5,15,-70,50,50,,0,1
60,Lv 20. ??? ??,594,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,500,19,1,300190028,1,5,15,-70,50,50,,0,1
61,Lv 1. ?? ??,701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,700,0,0,300190025,1,5,15,10,5,95,,1000,1
62,Lv 2. ?? ??,702,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,700,1,1,300190025,1,5,15,10,5,95,,2500,1
63,Lv 3. ?? ??,703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,700,2,1,300190025,1,5,15,10,5,95,,5000,1
64,Lv 4. ?? ??,704,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,700,3,1,300190025,1,5,15,10,5,95,,8000,1
65,Lv 5. ?? ??,705,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,700,4,1,300190025,1,5,15,10,5,95,,12000,1
66,Lv 6. ?? ??,706,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,700,5,1,300190025,1,5,15,10,5,95,,18000,1
67,Lv 7. ?? ??,707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,700,6,1,300190025,1,5,15,10,5,95,,27000,1
68,Lv 8. ?? ??,708,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,700,7,1,300190025,1,5,15,10,5,95,,55000,1
69,Lv 9. ?? ??,709,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,700,8,1,300190025,1,5,15,10,5,95,,68500,1
70,Lv 10. ?? ??,710,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,700,9,1,300190025,1,5,15,10,5,95,,89000,1
71,Lv 11. ?? ??,741,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,700,10,1,300190025,1,5,15,-70,70,70,,300000,1
72,Lv 12. ?? ??,742,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,700,11,1,300190025,1,5,15,-70,60,60,,500000,1
73,Lv 13. ?? ??,743,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,700,12,1,300190028,1,5,15,-70,50,50,,0,1
74,Lv 14. ?? ??,744,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,700,13,1,300190028,1,5,15,-70,50,50,,0,1
75,Lv 15. ?? ??,745,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,700,14,1,300190028,1,5,15,-70,50,50,,0,1
76,Lv 16. ?? ??,790,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,700,15,1,300190028,1,5,15,-70,50,50,,0,1
77,Lv 17. ?? ??,791,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,700,16,1,300190028,1,5,15,-70,50,50,,0,1
78,Lv 18. ?? ??,792,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,700,17,1,300190028,1,5,15,-70,50,50,,0,1
79,Lv 19. ?? ??,793,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,700,18,1,300190028,1,5,15,-70,50,50,,0,1
80,Lv 20. ?? ??,794,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,700,19,1,300190028,1,5,15,-70,50,50,,0,1
81,Lv 1. ?? ???? ??,6101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6100,0,0,300190025,1,5,15,10,5,95,,1000,1
82,Lv 2. ?? ???? ??,6102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6100,1,1,300190025,1,5,15,10,5,95,,2500,1
83,Lv 3. ?? ???? ??,6103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6100,2,1,300190025,1,5,15,10,5,95,,5000,1
84,Lv 4. ?? ???? ??,6104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6100,3,1,300190025,1,5,15,10,5,95,,8000,1
85,Lv 5. ?? ???? ??,6105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6100,4,1,300190025,1,5,15,10,5,95,,12000,1
86,Lv 6. ?? ???? ??,6106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6100,5,1,300190025,1,5,15,10,5,95,,18000,1
87,Lv 7. ?? ???? ??,6107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6100,6,1,300190025,1,5,15,10,5,95,,27000,1
88,Lv 8. ?? ???? ??,6108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6100,7,1,300190025,1,5,15,10,5,95,,55000,1
89,Lv 9. ?? ???? ??,6109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,6100,8,1,300190025,1,5,15,10,5,95,,68500,1
90,Lv 10. ?? ???? ??,6110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,6100,9,1,300190025,1,5,15,10,5,95,,89000,1
91,Lv 11. ?? ???? ??,6141,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,6100,10,1,300190025,1,5,15,-70,70,70,,300000,1
92,Lv 12. ?? ???? ??,6142,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,6100,11,1,300190025,1,5,15,-70,60,60,,500000,1
93,Lv 13. ?? ???? ??,6143,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,6100,12,1,300190028,1,5,15,-70,50,50,,0,1
94,Lv 14. ?? ???? ??,6144,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,6100,13,1,300190028,1,5,15,-70,40,40,,0,1
95,Lv 15. ?? ???? ??,6145,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,6100,14,1,300190028,1,5,15,-70,30,30,,0,1
96,Lv 16. ?? ???? ??,6190,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,6100,15,1,300190028,1,5,15,-70,50,50,,0,1
97,Lv 17. ?? ???? ??,6191,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,6100,16,1,300190028,1,5,15,-70,50,50,,0,1
98,Lv 18. ?? ???? ??,6192,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,6100,17,1,300190028,1,5,15,-70,50,50,,0,1
99,Lv 19. ?? ???? ??,6193,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,6100,18,1,300190028,1,5,15,-70,50,50,,0,1
100,Lv 20. ?? ???? ??,6194,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,6100,19,1,300190028,1,5,15,-70,50,50,,0,1
101,Lv 1. ??? ??,10301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10300,0,0,300190025,1,5,15,10,5,95,,1000,1
102,Lv 2. ??? ??,10302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10300,1,1,300190025,1,5,15,10,5,95,,2500,1
103,Lv 3. ??? ??,10303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10300,2,1,300190025,1,5,15,10,5,95,,5000,1
104,Lv 4. ??? ??,10304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10300,3,1,300190025,1,5,15,10,5,95,,8000,1
105,Lv 5. ??? ??,10305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10300,4,1,300190025,1,5,15,10,5,95,,12000,1
106,Lv 6. ??? ??,10306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,10300,5,1,300190025,1,5,15,10,5,95,,18000,1
107,Lv 7. ??? ??,10307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,10300,6,1,300190025,1,5,15,10,5,95,,27000,1
108,Lv 8. ??? ??,10308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,10300,7,1,300190025,1,5,15,10,5,95,,55000,1
109,Lv 9. ??? ??,10309,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10300,8,1,300190025,1,5,15,10,5,95,,68500,1
110,Lv 10. ??? ??,10310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,10300,9,1,300190025,1,5,15,10,5,95,,89000,1
111,Lv 11. ??? ??,10341,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,10300,10,1,300190025,1,5,15,-70,70,70,,300000,1
112,Lv 12. ??? ??,10342,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,10300,11,1,300190025,1,5,15,-70,60,60,,500000,1
113,Lv 13. ??? ??,10343,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,10300,12,1,300190028,1,5,15,-70,50,50,,0,1
114,Lv 14. ??? ??,10344,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,10300,13,1,300190028,1,5,15,-70,50,50,,0,1
115,Lv 15. ??? ??,10345,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,10300,14,1,300190028,1,5,15,-70,50,50,,0,1
116,Lv 16. ??? ??,10390,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,10300,15,1,300190028,1,5,15,-70,50,50,,0,1
117,Lv 17. ??? ??,10391,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,10300,16,1,300190028,1,5,15,-70,50,50,,0,1
118,Lv 18. ??? ??,10392,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,10300,17,1,300190028,1,5,15,-70,50,50,,0,1
119,Lv 19. ??? ??,10393,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,10300,18,1,300190028,1,5,15,-70,50,50,,0,1
120,Lv 20. ??? ??,10394,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,10300,19,1,300190028,1,5,15,-70,50,50,,0,1
121,Lv 1. ?? ??,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,100,0,0,300190025,1,5,15,10,5,95,,1000,1
122,Lv 2. ?? ??,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,100,1,1,300190025,1,5,15,10,5,95,,2500,1
123,Lv 3. ?? ??,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,100,2,1,300190025,1,5,15,10,5,95,,5000,1
124,Lv 4. ?? ??,104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,100,3,1,300190025,1,5,15,10,5,95,,8000,1
125,Lv 5. ?? ??,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,100,4,1,300190025,1,5,15,10,5,95,,12000,1
126,Lv 6. ?? ??,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,100,5,1,300190025,1,5,15,10,5,95,,18000,1
127,Lv 7. ?? ??,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,100,6,1,300190025,1,5,15,10,5,95,,27000,1
128,Lv 8. ?? ??,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,100,7,1,300190025,1,5,15,10,5,95,,55000,1
129,Lv 9. ?? ??,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,100,8,1,300190025,1,5,15,10,5,95,,68500,1
130,Lv 10. ?? ??,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,100,9,1,300190025,1,5,15,10,5,95,,89000,1
131,Lv 11. ?? ??,141,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,100,10,1,300190025,1,5,15,-70,70,70,,300000,1
132,Lv 12. ?? ??,142,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,100,11,1,300190025,1,5,15,-70,60,60,,500000,1
133,Lv 13. ?? ??,143,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,100,12,1,300190028,1,5,15,-70,50,50,,0,1
134,Lv 14. ?? ??,144,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,100,13,1,300190028,1,5,15,-70,50,50,,0,1
135,Lv 15. ?? ??,145,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,100,14,1,300190028,1,5,15,-70,50,50,,0,1
136,Lv 16. ?? ??,190,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,100,15,1,300190028,1,5,15,-70,50,50,,0,1
137,Lv 17. ?? ??,191,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,100,16,1,300190028,1,5,15,-70,50,50,,0,1
138,Lv 18. ?? ??,192,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,100,17,1,300190028,1,5,15,-70,50,50,,0,1
139,Lv 19. ?? ??,193,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,100,18,1,300190028,1,5,15,-70,50,50,,0,1
140,Lv 20. ?? ??,194,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,100,19,1,300190028,1,5,15,-70,50,50,,0,1
141,Lv 1. ?? ??,301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,300,0,0,300190025,1,5,15,10,5,95,,1000,1
142,Lv 2. ?? ??,302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,300,1,1,300190025,1,5,15,10,5,95,,2500,1
143,Lv 3. ?? ??,303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,300,2,1,300190025,1,5,15,10,5,95,,5000,1
144,Lv 4. ?? ??,304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,300,3,1,300190025,1,5,15,10,5,95,,8000,1
145,Lv 5. ?? ??,305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,300,4,1,300190025,1,5,15,10,5,95,,12000,1
146,Lv 6. ?? ??,306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,300,5,1,300190025,1,5,15,10,5,95,,18000,1
147,Lv 7. ?? ??,307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,300,6,1,300190025,1,5,15,10,5,95,,27000,1
148,Lv 8. ?? ??,308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,300,7,1,300190025,1,5,15,10,5,95,,55000,1
149,Lv 9. ?? ??,309,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,300,8,1,300190025,1,5,15,10,5,95,,68500,1
