ID,_Description,_Result,_Result_massage,_Main_Item,_Material1,_Material_Count1,_Material2,_Material_Count2,_Material3,_Material_Count3,_Material4,_Material_Count4,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Require4_Type,_Require4_ID,_Require4_Value1,_Require4_Value2,_Consumption_OP_Min,_Consumption_OP_Max,_Probability_Modifier,_Probability_Min,_Probability_Max,_Type,_Probability_Open,_charge
700100101,??? ?★2,700100102,寵物成長時將消耗材料,700100101,180299901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100102,??? ?★3,700100103,寵物成長時將消耗材料,700100102,180299901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100103,??? ?★4,700100104,寵物成長時將消耗材料,700100103,180299901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100104,??? ?★5,700100105,寵物成長時將消耗材料,700100104,180299902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100105,??? ?★6,700100106,寵物成長時將消耗材料,700100105,180299902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100106,??? ?★7,700100107,寵物成長時將消耗材料,700100106,180299902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100107,??? ?★8,700100108,寵物成長時將消耗材料,700100107,180299902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100108,??? ?★9,700100109,寵物成長時將消耗材料,700100108,180299902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100109,??? ?★10,700100110,寵物成長時將消耗材料,700100109,180299903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100110,??? ?★11,700100111,寵物成長時將消耗材料,700100110,180299903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100111,??? ?★12,700100112,寵物成長時將消耗材料,700100111,180299903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100112,??? ?★13,700100113,寵物成長時將消耗材料,700100112,180299903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100113,??? ?★14,700100114,寵物成長時將消耗材料,700100113,180299903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100114,??? ?★15,700100115,寵物成長時將消耗材料,700100114,180299903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100115,??? ?★16,700100116,寵物成長時將消耗材料,700100115,180299904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100116,??? ?★17,700100117,寵物成長時將消耗材料,700100116,180299904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100117,??? ?★18,700100118,寵物成長時將消耗材料,700100117,180299904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100118,??? ?★19,700100119,寵物成長時將消耗材料,700100118,180299904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100119,??? ?★20,700100120,寵物成長時將消耗材料,700100119,180299904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100201,???? ?★2,700100202,寵物成長時將消耗材料,700100201,180299901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100202,???? ?★3,700100203,寵物成長時將消耗材料,700100202,180299901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100203,???? ?★4,700100204,寵物成長時將消耗材料,700100203,180299901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100204,?? ????★5,700100205,寵物成長時將消耗材料,700100204,180299902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100205,?? ????★6,700100206,寵物成長時將消耗材料,700100205,180299902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100206,?? ????★7,700100207,寵物成長時將消耗材料,700100206,180299902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100207,?? ????★8,700100208,寵物成長時將消耗材料,700100207,180299902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100208,?? ????★9,700100209,寵物成長時將消耗材料,700100208,180299902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100209,????★10,700100210,寵物成長時將消耗材料,700100209,180299903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100210,????★11,700100211,寵物成長時將消耗材料,700100210,180299903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100211,????★12,700100212,寵物成長時將消耗材料,700100211,180299903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100212,????★13,700100213,寵物成長時將消耗材料,700100212,180299903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100213,????★14,700100214,寵物成長時將消耗材料,700100213,180299903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100214,????★15,700100215,寵物成長時將消耗材料,700100214,180299903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100215,????★16,700100216,寵物成長時將消耗材料,700100215,180299904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100216,????★17,700100217,寵物成長時將消耗材料,700100216,180299904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100217,????★18,700100218,寵物成長時將消耗材料,700100217,180299904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100218,????★19,700100219,寵物成長時將消耗材料,700100218,180299904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100219,????★20,700100220,寵物成長時將消耗材料,700100219,180299904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100301,????? ?★2,700100302,寵物成長時將消耗材料,700100301,180299901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100302,????? ?★3,700100303,寵物成長時將消耗材料,700100302,180299901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100303,????? ?★4,700100304,寵物成長時將消耗材料,700100303,180299901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100304,?? ?????★5,700100305,寵物成長時將消耗材料,700100304,180299902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100305,?? ?????★6,700100306,寵物成長時將消耗材料,700100305,180299902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100306,?? ?????★7,700100307,寵物成長時將消耗材料,700100306,180299902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100307,?? ?????★8,700100308,寵物成長時將消耗材料,700100307,180299902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100308,?? ?????★9,700100309,寵物成長時將消耗材料,700100308,180299902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100309,?????★10,700100310,寵物成長時將消耗材料,700100309,180299903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100310,?????★11,700100311,寵物成長時將消耗材料,700100310,180299903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100311,?????★12,700100312,寵物成長時將消耗材料,700100311,180299903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100312,?????★13,700100313,寵物成長時將消耗材料,700100312,180299903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100313,?????★14,700100314,寵物成長時將消耗材料,700100313,180299903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100314,?????★15,700100315,寵物成長時將消耗材料,700100314,180299903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100315,?????★16,700100316,寵物成長時將消耗材料,700100315,180299904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
700100316,?????★17,700100317,寵物成長時將消耗材料,700100316,180299904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,2,1,0
