ID,_HOTKEY,_INSTRUCTION,_SYSNUM,_Column,_CategoryView
1,4,往上移動,0,0,1
2,5,往下移動,1,0,1
3,3,往右移動,2,0,1
4,2,往左移動,3,0,1
5,78,狀態,4,0,1
6,67,物品,5,0,1
7,0,裝備,6,0,0
8,69,技能,7,0,1
9,75,任務,8,0,1
10,65,公會,9,0,1
11,74,隊伍,10,0,1
12,60,好友,11,0,1
13,68,情侶,12,0,1
14,70,寵物,13,0,1
15,0,聊天室,15,0,0
16,73,選項,16,0,1
17,66,導覽手冊,17,0,1
18,79,物品強化,18,0,1
19,72,物品鑲嵌,19,0,1
20,71,詳細地圖,20,0,1
21,81,世界地圖,21,0,1
22,83,傳送點,22,0,1
23,7,快捷欄1-1,23,1,1
24,59,快捷欄1-2,24,1,1
25,77,快捷欄1-3,25,1,1
26,62,快捷欄1-4,26,1,1
27,64,快捷欄1-5,27,1,1
28,14,快捷欄1-6,28,1,1
29,10,快捷欄1-7,29,1,1
30,84,快捷欄1-8,30,1,1
31,82,快捷欄1-9,31,1,1
32,61,快捷欄1-10,32,1,1
33,80,快捷欄1-11,33,1,1
34,15,快捷欄1-12,34,1,1
35,0,快捷欄2-1,35,1,1
36,0,快捷欄2-2,36,1,1
37,0,快捷欄2-3,37,1,1
38,0,快捷欄2-4,38,1,1
39,50,快捷欄2-5,39,1,1
40,51,快捷欄2-6,40,1,1
41,52,快捷欄2-7,41,1,1
42,53,快捷欄2-8,42,1,1
43,54,快捷欄2-9,43,1,1
44,55,快捷欄2-10,44,1,1
45,56,快捷欄2-11,45,1,1
46,57,快捷欄2-12,46,1,1
47,58,快捷欄3-1,59,1,1
48,49,快捷欄3-2,60,1,1
49,26,快捷欄3-3,61,1,1
50,16,快捷欄3-4,62,1,1
51,0,快捷欄3-5,63,1,1
52,0,快捷欄3-6,64,1,1
53,0,快捷欄3-7,65,1,1
54,0,快捷欄3-8,66,1,1
55,0,快捷欄3-9,67,1,1
56,0,快捷欄3-10,68,1,1
57,0,快捷欄3-11,69,1,1
58,0,快捷欄3-12,70,1,1
59,0,快捷欄4-1,71,1,1
60,0,快捷欄4-2,72,1,1
61,0,快捷欄4-3,73,1,1
62,0,快捷欄4-4,74,1,1
63,0,快捷欄4-5,75,1,1
64,0,快捷欄4-6,76,1,1
65,0,快捷欄4-7,77,1,1
66,0,快捷欄4-8,78,1,1
67,0,快捷欄4-9,79,1,1
68,0,快捷欄4-10,80,1,1
69,0,快捷欄4-11,81,1,1
70,0,快捷欄4-12,82,1,1
71,0,一般聊天,47,0,0
72,0,隊伍聊天,48,0,0
73,0,公會聊天,49,0,0
74,0,好友聊天,50,0,0
75,0,悄悄話,51,0,0
76,0,個人商店,52,0,0
77,0,降低等級鑲嵌,53,0,1
78,0,超越,54,0,1
79,0,評價,55,0,1
80,0,圖鑒,56,0,1
81,99,隊伍配對,57,0,1
82,89,倉庫,58,0,1
83,94,製作,83,0,1
84,96,吃星星的樹,84,0,1
85,0,花紋,85,0,1
86,0,申請格鬥場,86,0,1
87,93,成就,92,0,1
88,92,活動,94,0,1
89,0,召喚獸,95,0,1
90,0,裝扮,96,0,1
91,0,超人之書,97,0,1
92,0,符文,98,0,1
93,95,副本情報,99,0,1
94,0,記憶,87,0,1
