ID,_HOTKEY,_Image,_StartX,_StartY,_EndX,_EndY
1,59,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,490,31,497
2,60,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,482,31,489
3,61,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,474,31,481
4,62,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,466,31,473
5,63,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,458,31,465
6,64,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,450,31,457
7,65,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,442,31,449
8,66,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,434,31,441
9,67,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,426,31,433
10,68,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,418,31,425
11,69,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,410,31,417
12,70,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,402,31,409
13,71,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,394,31,401
14,72,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,386,31,393
15,73,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,378,31,385
16,74,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,370,31,377
17,75,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,362,31,369
18,76,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,354,31,361
19,77,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,346,31,353
20,78,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,338,31,345
21,79,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,330,31,337
22,80,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,322,31,329
23,81,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,314,31,321
24,82,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,306,31,313
25,83,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,298,31,305
26,84,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,290,31,297
27,31,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,282,31,289
28,30,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,274,31,281
29,36,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,266,31,273
30,29,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,258,31,265
31,38,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,250,31,257
32,98,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,242,31,249
33,99,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,234,31,241
34,50,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,226,31,233
35,51,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,218,31,225
36,52,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,210,31,217
37,53,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,202,31,209
38,54,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,194,31,201
39,55,DATA/INTERFACE/CONCEPT/UI_Object_001.png,1,186,31,193
40,56,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,490,62,497
41,57,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,482,62,489
42,58,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,474,62,481
43,49,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,466,62,473
44,26,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,458,62,465
45,16,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,450,62,457
46,101,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,442,62,449
47,17,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,434,62,441
48,33,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,426,62,433
49,34,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,418,62,425
50,10,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,410,62,417
51,7,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,402,62,409
52,11,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,394,62,401
53,8,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,386,62,393
54,14,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,378,62,385
55,13,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,370,62,377
56,19,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,362,62,369
57,23,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,354,62,361
58,21,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,346,62,353
59,20,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,338,62,345
60,24,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,330,62,337
61,22,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,322,62,329
62,87,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,314,62,321
63,88,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,306,62,313
64,89,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,298,62,305
65,90,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,290,62,297
66,91,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,282,62,289
67,92,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,274,62,281
68,93,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,266,62,273
69,94,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,258,62,265
70,95,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,250,62,257
71,96,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,242,62,249
72,40,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,234,62,241
73,41,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,226,62,233
74,42,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,218,62,225
75,43,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,210,62,217
76,44,DATA/INTERFACE/CONCEPT/UI_Object_001.png,32,202,62,209
