ID,_Name,_Consumption_Ely,_Consumption_Item,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Require4_Type,_Require4_ID,_Require4_Value1,_Require4_Value2,_Require5_Type,_Require5_ID,_Require5_Value1,_Require5_Value2,_Require6_Type,_Require6_ID,_Require6_Value1,_Require6_Value2,_Require7_Type,_Require7_ID,_Require7_Value1,_Require7_Value2,_Require8_Type,_Require8_ID,_Require8_Value1,_Require8_Value2,_Description,_Message,_FX,_ErrorMessage_Ely,_ErrorMessage_Item,_ErrorMessage_Require1,_ErrorMessage_Require2,_ErrorMessage_Require3,_ErrorMessage_Require4,_ErrorMessage_Require5,_ErrorMessage_Require6,_ErrorMessage_Require7,_ErrorMessage_Require8
1000015,縱橫無盡,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""縱橫無盡""",“縱橫無盡” 習得,513,,,等級不足。1等級以上才可學習。,,,,,,,
1001015,疾風迅雷,0,0,1,3,12,0,3,2,1001005,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""疾風迅雷""",“疾風迅雷” 習得,513,,,等級不足。12等級以上才可學習。,需要飛翔斬 Lv1。,,,,,,
1001005,飛翔斬,0,0,1,3,5,0,3,2,1000015,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""飛翔斬""",“飛翔斬” 習得,513,,,等級不足。5等級以上才可學習。,需要縱橫無盡 Lv1。,,,,,,
1002015,飛影連斬,0,0,1,3,20,0,3,2,1001015,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""飛影連斬""",“飛影連斬” 習得,513,,,等級不足。20等級以上才可學習。,需要疾風迅雷 Lv1。,,,,,,
1003015,風捲連刃,0,0,1,3,35,0,3,2,1002015,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""風捲連刃""",“風捲連刃” 習得,513,,,等級不足。35等級以上才可學習。,需要飛影連斬 Lv1。,,,,,,
1000017,疾風,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""疾風""",“疾風” 習得,513,,,等級不足。1等級以上才可學習。,,,,,,,
1001007,絕影刺,0,0,1,3,5,0,3,2,1000017,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""絕影刺""",“絕影刺” 習得,513,,,等級不足。5等級以上才可學習。,需要疾風 Lv1。,,,,,,
1001017,旋槍陣,0,0,1,3,12,0,3,2,1001007,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""旋槍陣""",“旋槍陣” 習得,513,,,等級不足。12等級以上才可學習。,需要絕影刺 Lv1。,,,,,,
1002007,連訣槍,0,0,1,3,20,0,3,2,1001017,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""連訣槍""",“連訣槍” 習得,513,,,等級不足。20等級以上才可學習。,需要旋槍陣 Lv1。,,,,,,
1003007,夜影 斷刃殺,0,0,1,3,35,0,3,2,1002007,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""夜影 斷刃殺""",“夜影 斷刃殺” 習得,513,,,等級不足。35等級以上才可學習。,需要連訣槍 Lv1。,,,,,,
3000106,強化能力值,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""強化能力值""",“強化能力值” 習得,513,,,等級不足。3等級以上才可學習。,,,,,,,
3000101,集中,0,0,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""集中""",“集中” 習得,513,,,等級不足。8等級以上才可學習。,,,,,,,
3000107,憤怒,0,0,1,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""憤怒""",“憤怒” 習得,513,,,等級不足。24等級以上才可學習。,,,,,,,
3000108,憤怒爆發,0,0,1,3,40,0,3,2,3000107,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""憤怒爆發""",“憤怒爆發” 習得,513,,,等級不足。40等級以上才可學習。,需要憤怒 Lv5。,,,,,,
3000140,增加致死率,0,0,1,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""增加致死率""",“增加致死率” 習得,513,,,等級不足。30等級以上才可學習。,,,,,,,
1000014,昇龍斬,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1002,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""昇龍斬""",“昇龍斬” 習得,513,,,等級不足。1等級以上才可學習。,,,,,,,
1001004,順烈斬,0,0,1,3,5,0,3,2,1000014,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1002,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""順烈斬""",“順烈斬” 習得,513,,,等級不足。5等級以上才可學習。,需要昇龍斬 Lv1。,,,,,,
1001014,龍尾襲,0,0,1,3,12,0,3,2,1001004,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1002,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""龍尾襲""",“龍尾襲” 習得,513,,,等級不足。12等級以上才可學習。,需要順烈斬 Lv1。,,,,,,
1002004,音速斬,0,0,1,3,20,0,3,2,1001014,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1002,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""音速斬""",“音速斬” 習得,513,,,等級不足。20等級以上才可學習。,需要龍尾襲 Lv1。,,,,,,
1003004,閃影劍,0,0,1,3,35,0,3,2,1002004,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1002,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""閃影劍""",“閃影劍” 習得,513,,,等級不足。35等級以上才可學習。,需要音速斬 Lv1。,,,,,,
1000016,打狗棒法,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1002,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""打狗棒法""",“打狗棒法” 習得,513,,,等級不足。1等級以上才可學習。,,,,,,,
1001006,百烈擊暈,0,0,1,3,5,0,3,2,1000016,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1002,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""百烈擊暈""",“百烈擊暈” 習得,513,,,等級不足。5等級以上才可學習。,需要打狗棒法 Lv1。,,,,,,
1001016,龍虎相搏,0,0,1,3,12,0,3,2,1001006,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1002,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""龍虎相搏""",“龍虎相搏” 習得,513,,,等級不足。12等級以上才可學習。,需要百烈擊暈 Lv1。,,,,,,
1002016,天沖烈斬,0,0,1,3,20,0,3,2,1001016,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1002,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""天沖烈斬""",“天沖烈斬” 習得,513,,,等級不足。20等級以上才可學習。,需要龍虎相搏 Lv1。,,,,,,
1003016,崩碎襲,0,0,1,3,35,0,3,2,1002016,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1002,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""崩碎襲""",“崩碎襲” 習得,513,,,等級不足。35等級以上才可學習。,需要天沖烈斬 Lv1。,,,,,,
3000206,強化體力,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1002,0,0,0,0,0,0,0,0,0,"點擊""是""後可獲得""強化能力值""",“強化能力值” 習得,513,,,等級不足。3等級以上才可學習。,,,,,,,
