ID,_CLASS,_TAB,_QuestGroup1_Name,_QuestGroup1_ID,_QuestGroup1_LearnSkill,_QuestGroup1_Require_Lv,_QuestGroup2_Name,_QuestGroup2_ID,_QuestGroup2_LearnSkill,_QuestGroup2_Require_Lv,_QuestGroup3_Name,_QuestGroup3_ID,_QuestGroup3_LearnSkill,_QuestGroup3_Require_Lv,_QuestGroup4_Name,_QuestGroup4_ID,_QuestGroup4_LearnSkill,_QuestGroup4_Require_Lv,_QuestGroup5_Name,_QuestGroup5_ID,_QuestGroup5_LearnSkill,_QuestGroup5_Require_Lv,_QuestGroup6_Name,_QuestGroup6_ID,_QuestGroup6_LearnSkill,_QuestGroup6_Require_Lv,_QuestGroup7_Name,_QuestGroup7_ID,_QuestGroup7_LearnSkill,_QuestGroup7_Require_Lv
1,24,1,Episode 1. 石塔的秘密,24001,3802401,180,Episode 2. 第二次安排,24002,3802402,185,Episode 3. 在火山地帶,24003,3802403,190,Episode 4. 衝突,24004,3802404,195,Episode 5. 石塔的下落,24005,3802405,200,Episode 6. 征服青空城,24006,3802406,205,Episode 7. 後記,24007,3802407,207
2,25,1,Episode 1. 石塔的秘密,25001,3802501,180,Episode 2. 第二次安排,25002,3802502,185,Episode 3. 在火山地帶,25003,3802503,190,Episode 4. 衝突,25004,3802504,195,Episode 5. 石塔的下落,25005,3802505,200,Episode 6. 征服青空城,25006,3802506,205,Episode 7. 後記,25007,3802507,207
3,26,1,Episode 1. 石塔的秘密,26001,3802601,180,Episode 2. 第二次安排,26002,3802602,185,Episode 3. 在火山地帶,26003,3802603,190,Episode 4. 衝突,26004,3802604,195,Episode 5. 石塔的下落,26005,3802605,200,Episode 6. 征服青空城,26006,3802606,205,Episode 7. 後記,26007,3802607,207
4,27,1,Episode 1. 石塔的秘密,27001,3802701,180,Episode 2. 第二次安排,27002,3802702,185,Episode 3. 在火山地帶,27003,3802703,190,Episode 4. 衝突,27004,3802704,195,Episode 5. 石塔的下落,27005,3802705,200,Episode 6. 征服青空城,27006,3802706,205,Episode 7. 後記,27007,3802707,207
5,28,1,Episode 1. 石塔的秘密,28001,3802801,180,Episode 2. 第二次安排,28002,3802802,185,Episode 3. 在火山地帶,28003,3802803,190,Episode 4. 衝突,28004,3802804,195,Episode 5. 石塔的下落,28005,3802805,200,Episode 6. 征服青空城,28006,3802806,205,Episode 7. 後記,28007,3802807,207
6,29,1,Episode 1. 石塔的秘密,29001,3802901,180,Episode 2. 第二次安排,29002,3802902,185,Episode 3. 在火山地帶,29003,3802903,190,Episode 4. 衝突,29004,3802904,195,Episode 5. 石塔的下落,29005,3802905,200,Episode 6. 征服青空城,29006,3802906,205,Episode 7. 後記,29007,3802907,207
7,30,1,Episode 1. 石塔的秘密,30001,3803001,180,Episode 2. 第二次安排,30002,3803002,185,Episode 3. 在火山地帶,30003,3803003,190,Episode 4. 衝突,30004,3803004,195,Episode 5. 石塔的下落,30005,3803005,200,Episode 6. 征服青空城,30006,3803006,205,Episode 7. 後記,30007,3803007,207
8,31,1,Episode 1. 石塔的秘密,31001,3803101,180,Episode 2. 第二次安排,31002,3803102,185,Episode 3. 在火山地帶,31003,3803103,190,Episode 4. 衝突,31004,3803104,195,Episode 5. 石塔的下落,31005,3803105,200,Episode 6. 征服青空城,31006,3803106,205,Episode 7. 後記,31007,3803107,207
9,32,1,Episode 1. 石塔的秘密,32001,3803201,180,Episode 2. 第二次安排,32002,3803202,185,Episode 3. 在火山地帶,32003,3803203,190,Episode 4. 衝突,32004,3803204,195,Episode 5. 石塔的下落,32005,3803205,200,Episode 6. 征服青空城,32006,3803206,205,Episode 7. 後記,32007,3803207,207
10,36,1,Episode 1. 石塔的秘密,36001,3803601,180,Episode 2. 第二次安排,36002,3803602,185,Episode 3. 在火山地帶,36003,3803603,190,Episode 4. 衝突,36004,3803604,195,Episode 5. 石塔的下落,36005,3803605,200,Episode 6. 征服青空城,36006,3803606,205,Episode 7. 後記,36007,3803607,207
11,37,1,Episode 1. 石塔的秘密,37001,3803701,180,Episode 2. 第二次安排,37002,3803702,185,Episode 3. 在火山地帶,37003,3803703,190,Episode 4. 衝突,37004,3803704,195,Episode 5. 石塔的下落,37005,3803705,200,Episode 6. 征服青空城,37006,3803706,205,Episode 7. 後記,37007,3803707,207
12,38,1,Episode 1. 石塔的秘密,38001,3803801,180,Episode 2. 第二次安排,38002,3803802,185,Episode 3. 在火山地帶,38003,3803803,190,Episode 4. 衝突,38004,3803804,195,Episode 5. 石塔的下落,38005,3803805,200,Episode 6. 征服青空城,38006,3803806,205,Episode 7. 後記,38007,3803807,207
13,39,1,Episode 1. 石塔的秘密,39001,3803901,180,Episode 2. 第二次安排,39002,3803902,185,Episode 3. 在火山地帶,39003,3803903,190,Episode 4. 衝突,39004,3803904,195,Episode 5. 石塔的下落,39005,3803905,200,Episode 6. 征服青空城,39006,3803906,205,Episode 7. 後記,39007,3803907,207
14,40,1,Episode 1. 石塔的秘密,40001,3804001,180,Episode 2. 第二次安排,40002,3804002,185,Episode 3. 在火山地帶,40003,3804003,190,Episode 4. 衝突,40004,3804004,195,Episode 5. 石塔的下落,40005,3804005,200,Episode 6. 征服青空城,40006,3804006,205,Episode 7. 後記,40007,3804007,207
15,41,1,Episode 1. 石塔的秘密,41001,3804101,180,Episode 2. 第二次安排,41002,3804102,185,Episode 3. 在火山地帶,41003,3804103,190,Episode 4. 衝突,41004,3804104,195,Episode 5. 石塔的下落,41005,3804105,200,Episode 6. 征服青空城,41006,3804106,205,Episode 7. 後記,41007,3804107,207
16,42,1,Episode 1. 石塔的秘密,42001,3804201,180,Episode 2. 第二次安排,42002,3804202,185,Episode 3. 在火山地帶,42003,3804203,190,Episode 4. 衝突,42004,3804204,195,Episode 5. 石塔的下落,42005,3804205,200,Episode 6. 征服青空城,42006,3804206,205,Episode 7. 後記,42007,3804207,207
17,43,1,Episode 1. 石塔的秘密,43001,3804301,180,Episode 2. 第二次安排,43002,3804302,185,Episode 3. 在火山地帶,43003,3804303,190,Episode 4. 衝突,43004,3804304,195,Episode 5. 石塔的下落,43005,3804305,200,Episode 6. 征服青空城,43006,3804306,205,Episode 7. 後記,43007,3804307,207
18,44,1,Episode 1. 石塔的秘密,44001,3804401,180,Episode 2. 第二次安排,44002,3804402,185,Episode 3. 在火山地帶,44003,3804403,190,Episode 4. 衝突,44004,3804404,195,Episode 5. 石塔的下落,44005,3804405,200,Episode 6. 征服青空城,44006,3804406,205,Episode 7. 後記,44007,3804407,207
19,45,1,Episode 1. 石塔的秘密,45001,3804501,180,Episode 2. 第二次安排,45002,3804502,185,Episode 3. 在火山地帶,45003,3804503,190,Episode 4. 衝突,45004,3804504,195,Episode 5. 石塔的下落,45005,3804505,200,Episode 6. 征服青空城,45006,3804506,205,Episode 7. 後記,45007,3804507,207
20,49,1,Episode 1. 石塔的秘密,49001,3804901,180,Episode 2. 第二次安排,49002,3804902,185,Episode 3. 在火山地帶,49003,3804903,190,Episode 4. 衝突,49004,3804904,195,Episode 5. 石塔的下落,49005,3804905,200,Episode 6. 征服青空城,49006,3804906,205,Episode 7. 後記,49007,3804907,207
21,52,1,Episode 1. 石塔的秘密,52001,3805201,180,Episode 2. 第二次安排,52002,3805202,185,Episode 3. 在火山地帶,52003,3805203,190,Episode 4. 衝突,52004,3805204,195,Episode 5. 石塔的下落,52005,3805205,200,Episode 6. 征服青空城,52006,3805206,205,Episode 7. 後記,52007,3805207,207
22,56,1,Episode 1. 石塔的秘密,56001,3805601,180,Episode 2. 第二次安排,56002,3805602,185,Episode 3. 在火山地帶,56003,3805603,190,Episode 4. 衝突,56004,3805604,195,Episode 5. 石塔的下落,56005,3805605,200,Episode 6. 征服青空城,56006,3805606,205,Episode 7. 後記,56007,3805607,207
23,60,1,Episode 1. 石塔的秘密,60001,3806001,180,Episode 2. 第二次安排,60002,3806002,185,Episode 3. 在火山地帶,60003,3806003,190,Episode 4. 衝突,60004,3806004,195,Episode 5. 石塔的下落,60005,3806005,200,Episode 6. 征服青空城,60006,3806006,205,Episode 7. 後記,60007,3806007,207
24,24,2,Episode 1. 突變的氣息,24101,3812401,207,Episode 2. 歐若拉的羅曼史,24102,3812402,209,Episode 3. 彩諾恩的情報,24103,3812403,211,Episode 4. 刻薄的羅希雅,24104,3812404,213,Episode 5. 惡魔之山,24105,3812405,215,Episode 6. 力量的根源,24106,3812406,217,Episode 7. 新月祭壇,24107,3812407,219
25,25,2,Episode 1. 突變的氣息,25101,3812501,207,Episode 2. 歐若拉的羅曼史,25102,3812502,209,Episode 3. 彩諾恩的情報,25103,3812503,211,Episode 4. 刻薄的羅希雅,25104,3812504,213,Episode 5. 惡魔之山,25105,3812505,215,Episode 6. 力量的根源,25106,3812506,217,Episode 7. 新月祭壇,25107,3812507,219
26,26,2,Episode 1. 突變的氣息,26101,3812601,207,Episode 2. 歐若拉的羅曼史,26102,3812602,209,Episode 3. 彩諾恩的情報,26103,3812603,211,Episode 4. 刻薄的羅希雅,26104,3812604,213,Episode 5. 惡魔之山,26105,3812605,215,Episode 6. 力量的根源,26106,3812606,217,Episode 7. 新月祭壇,26107,3812607,219
