ID,_Name,_CLASS,_QuestID1,_QuestID2,_QuestID3,_QuestID4,_QuestID5,_QuestID6,_QuestID7,_QuestID8,_QuestID9,_QuestID10,_QuestID11,_QuestID12,_QuestID13,_QuestID14,_QuestID15,_QuestID16,_QuestID17,_QuestID18,_QuestID19,_QuestID20
36001,天之王者: 石塔的秘密第1章,36,154001000,154001001,154001002,154001003,154001004,154001005,154001006,154001007,154001008,154001009,154001010,154001011,154001012,154001013,154001014,154001015,154001016,0,0,0
36002,天之王者: 石塔的秘密第2章,36,154001101,154001102,154001103,154001104,154001105,154001106,154001107,154001108,154001109,154001110,154001111,154001112,154001113,154001114,0,0,0,0,0,0
36003,天之王者: 石塔的秘密第3章,36,154001201,154001202,154001203,154001204,154001205,154001206,154001207,154001208,154001209,154001210,154001211,154001212,154001213,0,0,0,0,0,0,0
36004,天之王者: 石塔的秘密第4章,36,154001301,154001302,154001303,154001304,154001305,154001306,154001307,154001308,154001309,154001310,154001311,154001312,154001313,0,0,0,0,0,0,0
36005,天之王者: 石塔的秘密第5章,36,154001401,154001402,154001403,154001404,154001405,154001406,154001407,154001408,154001409,154001410,154001411,154001412,154001413,154001414,154001415,154001416,154001417,154001418,154001419,154001420
36006,天之王者: 石塔的秘密第6章,36,154001501,154001502,154001503,154001504,154001505,154001506,154001507,154001508,154001509,0,0,0,0,0,0,0,0,0,0,0
36007,天之王者: 石塔的秘密第7章,36,154001601,154001602,154001603,154001604,154001605,154001606,154001607,154001608,154001609,154001610,154001611,154001612,154001613,154001614,154001615,154001616,154001617,154001618,154001619,154001620
37001,幻武劍豪: 石塔的秘密第1章,37,154001000,154001001,154001002,154001003,154001004,154001005,154001006,154001007,154001008,154001009,154001010,154001011,154001012,154001013,154001014,154001015,154001017,0,0,0
37002,幻武劍豪: 石塔的秘密第2章,37,154001101,154001102,154001103,154001104,154001105,154001106,154001107,154001108,154001109,154001110,154001111,154001112,154001113,154001115,0,0,0,0,0,0
37003,幻武劍豪: 石塔的秘密第3章,37,154001201,154001202,154001203,154001204,154001205,154001206,154001207,154001208,154001209,154001210,154001211,154001212,154001214,0,0,0,0,0,0,0
37004,幻武劍豪: 石塔的秘密第4章,37,154001301,154001302,154001303,154001304,154001305,154001306,154001307,154001308,154001309,154001310,154001311,154001312,154001314,0,0,0,0,0,0,0
37005,幻武劍豪: 石塔的秘密第5章,37,154001401,154001402,154001403,154001404,154001405,154001406,154001407,154001408,154001409,154001410,154001411,154001412,154001413,154001414,154001415,154001416,154001417,154001418,154001419,154001421
