ID,_ItemLevel,_EnchantSafe,_EnchantMax,_LevelDownPrice1,_BaseOdds1,_LevelOdds1,_ItemPrice1,_EnchantItemOne1,_EnchantItemTwo1,_LevelDownPrice2,_BaseOdds2,_LevelOdds2,_ItemPrice2,_EnchantItemOne2,_EnchantItemTwo2,_LevelDownPrice3,_BaseOdds3,_LevelOdds3,_ItemPrice3,_EnchantItemOne3,_EnchantItemTwo3
1,1,0,0,1,100,100,125000,1500,10000,2,100,100,300000,1500,10000,3,100,100,500000,1500,10000
2,2,-1,-1,1,100,100,125000,1500,10000,2,100,100,300000,1500,10000,3,100,100,500000,1500,10000
3,3,-2,-2,1,100,100,125000,1500,10000,2,100,100,300000,1500,10000,3,100,100,500000,1500,10000
4,4,-3,-3,1,100,100,125000,1500,10000,2,100,100,300000,1500,10000,3,100,100,500000,1500,10000
5,5,-4,-4,1,100,100,125000,1500,10000,2,100,100,300000,1500,10000,3,100,100,500000,1500,10000
6,6,-5,-5,1,100,100,125000,1500,10000,2,100,100,300000,1500,10000,3,99,100,500000,1500,10000
7,7,-6,-6,1,99,100,125000,1500,10000,2,99,100,300000,1500,10000,3,99,100,500000,1500,10000
8,8,-7,-7,1,99,100,125000,1500,10000,2,99,100,300000,1500,10000,3,98,100,500000,1500,10000
9,9,-8,-8,1,99,100,125000,1500,10000,2,98,100,300000,1500,10000,3,97,100,500000,1500,10000
10,10,-9,-9,1,98,100,125000,1500,10000,2,98,100,300000,1500,10000,3,97,100,500000,1500,10000
11,11,-10,-10,1,98,100,125000,1500,10000,2,97,100,300000,1500,10000,3,96,100,500000,1500,10000
12,12,-11,-11,1,98,100,125000,1500,10000,2,97,100,300000,1500,10000,3,95,100,500000,1500,10000
13,13,-12,-12,1,97,100,125000,1500,10000,2,96,100,300000,1500,10000,3,95,100,500000,1500,10000
14,14,-13,-13,1,97,100,125000,1500,10000,2,96,100,300000,1500,10000,3,94,100,500000,1500,10000
15,15,-14,-14,1,97,100,125000,1500,10000,2,95,100,300000,1500,10000,3,93,100,500000,1500,10000
16,16,-15,-15,1,96,100,125000,1500,10000,2,95,100,300000,1500,10000,3,93,100,500000,1500,10000
17,17,-16,-16,1,96,100,125000,1500,10000,2,94,100,300000,1500,10000,3,92,100,500000,1500,10000
18,18,-17,-17,1,96,100,125000,1500,10000,2,94,100,300000,1500,10000,3,91,100,500000,1500,10000
19,19,-18,-18,1,95,100,125000,1500,10000,2,93,100,300000,1500,10000,3,91,100,500000,1500,10000
20,20,-19,-19,1,95,100,125000,1500,10000,2,93,100,300000,1500,10000,3,90,100,500000,1500,10000
21,21,-20,-20,1,95,100,125000,1500,10000,2,92,100,300000,1500,10000,3,89,100,500000,1500,10000
22,22,-21,-21,1,94,100,125000,1500,10000,2,92,100,300000,1500,10000,3,89,100,500000,1500,10000
23,23,-22,-22,1,94,100,125000,1500,10000,2,92,100,300000,1500,10000,3,88,100,500000,1500,10000
24,24,-23,-23,1,94,100,125000,1500,10000,2,91,100,300000,1500,10000,3,88,100,500000,1500,10000
25,25,-24,-24,1,93,100,125000,1500,10000,2,91,100,300000,1500,10000,3,87,100,500000,1500,10000
26,26,-25,-25,1,93,100,125000,1500,10000,2,90,100,300000,1500,10000,3,86,100,500000,1500,10000
27,27,-26,-26,1,93,100,125000,1500,10000,2,90,100,300000,1500,10000,3,86,100,500000,1500,10000
28,28,-27,-27,1,92,100,125000,1500,10000,2,89,100,300000,1500,10000,3,85,100,500000,1500,10000
29,29,-28,-28,1,92,100,125000,1500,10000,2,89,100,300000,1500,10000,3,84,100,500000,1500,10000
30,30,-29,-29,1,92,100,125000,1500,10000,2,88,100,300000,1500,10000,3,84,100,500000,1500,10000
31,31,-30,-30,1,91,100,125000,1500,10000,2,88,100,300000,1500,10000,3,83,100,500000,1500,10000
32,32,-30,-30,1,91,100,125000,1500,10000,2,88,100,300000,1500,10000,3,83,100,500000,1500,10000
33,33,-30,-30,1,91,100,125000,1500,10000,2,87,100,300000,1500,10000,3,82,100,500000,1500,10000
34,34,-30,-30,1,90,100,125000,1500,10000,2,87,100,300000,1500,10000,3,82,100,500000,1500,10000
35,35,-30,-30,1,90,100,125000,1500,10000,2,86,100,300000,1500,10000,3,81,100,500000,1500,10000
36,36,-30,-30,1,90,100,125000,1500,10000,2,86,100,300000,1500,10000,3,80,100,500000,1500,10000
37,37,-30,-30,1,89,100,125000,1500,10000,2,85,100,300000,1500,10000,3,80,100,500000,1500,10000
38,38,-30,-30,1,89,100,125000,1500,10000,2,85,100,300000,1500,10000,3,79,100,500000,1500,10000
39,39,-30,-30,1,89,100,125000,1500,10000,2,85,100,300000,1500,10000,3,79,100,500000,1500,10000
40,40,-30,-30,1,88,100,125000,1500,10000,2,84,100,300000,1500,10000,3,78,100,500000,1500,10000
41,41,-30,-30,1,88,100,125000,1500,10000,2,84,100,300000,1500,10000,3,78,100,500000,1500,10000
42,42,-30,-30,1,88,100,125000,1500,10000,2,83,100,300000,1500,10000,3,77,100,500000,1500,10000
43,43,-30,-30,1,88,100,125000,1500,10000,2,83,100,300000,1500,10000,3,77,100,500000,1500,10000
44,44,-30,-30,1,87,100,125000,1500,10000,2,83,100,300000,1500,10000,3,76,100,500000,1500,10000
45,45,-30,-30,1,87,100,125000,1500,10000,2,82,100,300000,1500,10000,3,76,100,500000,1500,10000
46,46,-30,-30,1,87,100,125000,1500,10000,2,82,100,300000,1500,10000,3,75,100,500000,1500,10000
47,47,-30,-30,1,86,100,125000,1500,10000,2,81,100,300000,1500,10000,3,74,100,500000,1500,10000
48,48,-30,-30,1,86,100,125000,1500,10000,2,81,100,300000,1500,10000,3,74,100,500000,1500,10000
49,49,-30,-30,1,86,100,125000,1500,10000,2,81,100,300000,1500,10000,3,73,100,500000,1500,10000
50,50,-30,-30,1,85,100,125000,1500,10000,2,80,100,300000,1500,10000,3,73,100,500000,1500,10000
51,51,-30,-30,1,85,100,125000,1500,10000,2,80,100,300000,1500,10000,3,72,100,500000,1500,10000
52,52,-30,-30,1,85,100,125000,1500,10000,2,79,100,300000,1500,10000,3,72,100,500000,1500,10000
53,53,-30,-30,1,85,100,125000,1500,10000,2,79,100,300000,1500,10000,3,71,100,500000,1500,10000
54,54,-30,-30,1,84,100,125000,1500,10000,2,79,100,300000,1500,10000,3,71,100,500000,1500,10000
55,55,-30,-30,1,84,100,125000,1500,10000,2,78,100,300000,1500,10000,3,70,100,500000,1500,10000
56,56,-30,-30,1,84,100,125000,1500,10000,2,78,100,300000,1500,10000,3,70,100,500000,1500,10000
