ID,_Lv,_Class,_Fx,_SoundEffect,_Message,_Red,_Green,_Blue,_Skill_Open,_HelpmenuID
1,1,1,506,11,恭喜！ 升級了！,133,253,212,0,0
2,2,1,506,11,恭喜！ 升級了！,133,253,212,1,0
3,3,1,506,11,恭喜！ 升級了！,133,253,212,0,700
4,4,1,506,11,恭喜！ 升級了！,133,253,212,0,0
5,5,1,506,11,恭喜！ 升級了！,133,253,212,1,700
6,6,1,506,11,恭喜！ 升級了！,133,253,212,0,0
7,7,1,506,11,恭喜！ 升級了！,133,253,212,0,600
8,8,1,506,11,恭喜！ 升級了！,133,253,212,0,0
9,9,1,506,11,恭喜！ 升級了！,133,253,212,0,0
10,10,1,506,11,恭喜！ 升級了！,133,253,212,0,1800
11,11,1,506,11,恭喜！ 升級了！,133,253,212,0,0
12,12,1,506,11,恭喜！ 升級了！,133,253,212,1,0
13,13,1,506,11,恭喜！ 升級了！,133,253,212,0,0
14,14,1,506,11,恭喜！ 升級了！,133,253,212,0,0
15,15,1,506,11,恭喜！ 升級了！,133,253,212,0,1500
16,16,1,506,11,恭喜！ 升級了！,133,253,212,0,0
17,17,1,506,11,恭喜！ 升級了！,133,253,212,0,3100
18,18,1,506,11,恭喜！ 升級了！,133,253,212,0,0
19,19,1,506,11,恭喜！ 升級了！,133,253,212,0,0
20,20,1,506,11,恭喜！ 升級了！,133,253,212,1,1200
21,21,1,506,11,恭喜！ 升級了！,133,253,212,0,0
22,22,1,506,11,恭喜！ 升級了！,133,253,212,0,0
23,23,1,506,11,恭喜！ 升級了！,133,253,212,0,1000
24,24,1,506,11,恭喜！ 升級了！,133,253,212,0,0
25,25,1,506,11,恭喜！ 升級了！,133,253,212,0,900
26,26,1,506,11,恭喜！ 升級了！,133,253,212,0,0
27,27,1,506,11,恭喜！ 升級了！,133,253,212,0,0
28,28,1,506,11,恭喜！ 升級了！,133,253,212,0,0
29,29,1,506,11,恭喜！ 升級了！,133,253,212,0,0
30,30,1,506,11,恭喜！ 升級了！,133,253,212,0,2000
31,31,1,506,11,恭喜！ 升級了！,133,253,212,0,0
32,32,1,506,11,恭喜！ 升級了！,133,253,212,0,0
33,33,1,506,11,恭喜！ 升級了！,133,253,212,0,0
34,34,1,506,11,恭喜！ 升級了！,133,253,212,0,0
35,35,1,506,11,恭喜！ 升級了！,133,253,212,0,1900
36,36,1,506,11,恭喜！ 升級了！,133,253,212,0,0
37,37,1,506,11,恭喜！ 升級了！,133,253,212,0,0
38,38,1,506,11,恭喜！ 升級了！,133,253,212,0,0
39,39,1,506,11,恭喜！ 升級了！,133,253,212,0,0
40,40,1,506,11,恭喜！ 升級了！,133,253,212,0,3000
41,41,1,506,11,恭喜！ 升級了！,133,253,212,0,0
42,42,1,506,11,恭喜！ 升級了！,133,253,212,0,0
43,43,1,506,11,恭喜！ 升級了！,133,253,212,0,0
44,44,1,506,11,恭喜！ 升級了！,133,253,212,0,0
45,45,1,506,11,恭喜！ 升級了！,133,253,212,0,2200
46,46,1,506,11,恭喜！ 升級了！,133,253,212,0,0
47,47,1,506,11,恭喜！ 升級了！,133,253,212,0,0
48,48,1,506,11,恭喜！ 升級了！,133,253,212,0,0
49,49,1,506,11,恭喜！ 升級了！,133,253,212,0,0
50,50,1,506,11,恭喜！ 升級了！ 你可以在吉納蒂亞進行1轉。,133,253,212,0,1100
51,51,1,506,11,恭喜！ 升級了！,133,253,212,0,0
52,52,1,506,11,恭喜！ 升級了！,133,253,212,0,0
53,53,1,506,11,恭喜！ 升級了！,133,253,212,0,0
54,54,1,506,11,恭喜！ 升級了！,133,253,212,0,0
55,55,1,506,11,恭喜！ 升級了！,133,253,212,0,0
56,56,1,506,11,恭喜！ 升級了！,133,253,212,0,0
57,57,1,506,11,恭喜！ 升級了！,133,253,212,0,0
58,58,1,506,11,恭喜！ 升級了！,133,253,212,0,0
59,59,1,506,11,恭喜！ 升級了！,133,253,212,0,0
60,60,1,506,11,恭喜！ 升級了！,133,253,212,0,0
61,61,1,506,11,恭喜！ 升級了！,133,253,212,0,0
62,62,1,506,11,恭喜！ 升級了！,133,253,212,0,0
63,63,1,506,11,恭喜！ 升級了！,133,253,212,0,0
64,64,1,506,11,恭喜！ 升級了！,133,253,212,0,0
65,65,1,506,11,恭喜！ 升級了！,133,253,212,0,0
66,66,1,506,11,恭喜！ 升級了！,133,253,212,0,0
67,67,1,506,11,恭喜！ 升級了！,133,253,212,0,0
68,68,1,506,11,恭喜！ 升級了！,133,253,212,0,0
69,69,1,506,11,恭喜！ 升級了！,133,253,212,0,0
70,70,1,506,11,恭喜！ 升級了！,133,253,212,0,0
71,71,1,506,11,恭喜！ 升級了！,133,253,212,0,0
72,72,1,506,11,恭喜！ 升級了！,133,253,212,0,0
73,73,1,506,11,恭喜！ 升級了！,133,253,212,0,0
74,74,1,506,11,恭喜！ 升級了！,133,253,212,0,0
75,75,1,506,11,恭喜！ 升級了！,133,253,212,0,0
76,76,1,506,11,恭喜！ 升級了！,133,253,212,0,0
77,77,1,506,11,恭喜！ 升級了！,133,253,212,0,0
78,78,1,506,11,恭喜！ 升級了！,133,253,212,0,0
79,79,1,506,11,恭喜！ 升級了！,133,253,212,0,0
80,80,1,506,11,恭喜！ 升級了！,133,253,212,0,0
81,81,1,506,11,恭喜！ 升級了！,133,253,212,0,0
82,82,1,506,11,恭喜！ 升級了！,133,253,212,0,0
83,83,1,506,11,恭喜！ 升級了！,133,253,212,0,0
84,84,1,506,11,恭喜！ 升級了！,133,253,212,0,0
85,85,1,506,11,恭喜！ 升級了！,133,253,212,0,0
86,86,1,506,11,恭喜！ 升級了！,133,253,212,0,0
87,87,1,506,11,恭喜！ 升級了！,133,253,212,0,0
88,88,1,506,11,恭喜！ 升級了！,133,253,212,0,0
89,89,1,506,11,恭喜！ 升級了！,133,253,212,0,0
90,90,1,506,11,恭喜！ 升級了！,133,253,212,0,0
91,91,1,506,11,恭喜！ 升級了！,133,253,212,0,0
92,92,1,506,11,恭喜！ 升級了！,133,253,212,0,0
93,93,1,506,11,恭喜！ 升級了！,133,253,212,0,0
94,94,1,506,11,恭喜！ 升級了！,133,253,212,0,0
95,95,1,506,11,恭喜！ 升級了！,133,253,212,0,0
96,96,1,506,11,恭喜！ 升級了！,133,253,212,0,0
97,97,1,506,11,恭喜！ 升級了！,133,253,212,0,0
98,98,1,506,11,恭喜！ 升級了！,133,253,212,0,0
99,99,1,506,11,恭喜！ 升級了！,133,253,212,0,0
100,100,1,506,11,恭喜！ 升級了！,133,253,212,0,0
101,101,1,506,11,恭喜！ 升級了！,133,253,212,0,0
102,102,1,506,11,恭喜！ 升級了！,133,253,212,0,0
103,103,1,506,11,恭喜！ 升級了！,133,253,212,0,0
104,104,1,506,11,恭喜！ 升級了！,133,253,212,0,0
105,105,1,506,11,恭喜！ 升級了！,133,253,212,0,0
106,106,1,506,11,恭喜！ 升級了！,133,253,212,0,0
107,107,1,506,11,恭喜！ 升級了！,133,253,212,0,0
108,108,1,506,11,恭喜！ 升級了！,133,253,212,0,0
109,109,1,506,11,恭喜！ 升級了！,133,253,212,0,0
110,110,1,506,11,恭喜！ 升級了！,133,253,212,0,0
111,111,1,506,11,恭喜！ 升級了！,133,253,212,0,0
112,112,1,506,11,恭喜！ 升級了！,133,253,212,0,0
113,113,1,506,11,恭喜！ 升級了！,133,253,212,0,0
114,114,1,506,11,恭喜！ 升級了！,133,253,212,0,0
115,115,1,506,11,恭喜！ 升級了！,133,253,212,0,0
116,116,1,506,11,恭喜！ 升級了！,133,253,212,0,0
117,117,1,506,11,恭喜！ 升級了！,133,253,212,0,0
118,118,1,506,11,恭喜！ 升級了！,133,253,212,0,0
119,119,1,506,11,恭喜！ 升級了！,133,253,212,0,0
120,120,1,506,11,恭喜！ 升級了！,133,253,212,0,0
121,121,1,506,11,恭喜！ 升級了！,133,253,212,0,0
122,122,1,506,11,恭喜！ 升級了！,133,253,212,0,0
123,123,1,506,11,恭喜！ 升級了！,133,253,212,0,0
124,124,1,506,11,恭喜！ 升級了！,133,253,212,0,0
125,125,1,506,11,恭喜！ 升級了！,133,253,212,0,0
126,126,1,506,11,恭喜！ 升級了！,133,253,212,0,0
127,127,1,506,11,恭喜！ 升級了！,133,253,212,0,0
128,128,1,506,11,恭喜！ 升級了！,133,253,212,0,0
129,129,1,506,11,恭喜！ 升級了！,133,253,212,0,0
130,130,1,506,11,恭喜！ 升級了！,133,253,212,0,0
131,131,1,506,11,恭喜！ 升級了！,133,253,212,0,0
132,132,1,506,11,恭喜！ 升級了！,133,253,212,0,0
133,133,1,506,11,恭喜！ 升級了！,133,253,212,0,0
134,134,1,506,11,恭喜！ 升級了！,133,253,212,0,0
135,135,1,506,11,恭喜！ 升級了！,133,253,212,0,0
136,136,1,506,11,恭喜！ 升級了！,133,253,212,0,0
137,137,1,506,11,恭喜！ 升級了！,133,253,212,0,0
138,138,1,506,11,恭喜！ 升級了！,133,253,212,0,0
139,139,1,506,11,恭喜！ 升級了！,133,253,212,0,0
140,140,1,506,11,恭喜！ 升級了！,133,253,212,0,0
141,141,1,506,11,恭喜！ 升級了！,133,253,212,0,0
142,142,1,506,11,恭喜！ 升級了！,133,253,212,0,0
143,143,1,506,11,恭喜！ 升級了！,133,253,212,0,0
144,144,1,506,11,恭喜！ 升級了！,133,253,212,0,0
145,145,1,506,11,恭喜！ 升級了！,133,253,212,0,0
146,146,1,506,11,恭喜！ 升級了！,133,253,212,0,0
147,147,1,506,11,恭喜！ 升級了！,133,253,212,0,0
148,148,1,506,11,恭喜！ 升級了！,133,253,212,0,0
149,149,1,506,11,恭喜！ 升級了！,133,253,212,0,0
150,150,1,506,11,恭喜！ 升級了！,133,253,212,0,0
151,151,1,506,11,恭喜！ 升級了！,133,253,212,0,0
152,152,1,506,11,恭喜！ 升級了！,133,253,212,0,0
153,153,1,506,11,恭喜！ 升級了！,133,253,212,0,0
154,154,1,506,11,恭喜！ 升級了！,133,253,212,0,0
155,155,1,506,11,恭喜！ 升級了！,133,253,212,0,0
156,156,1,506,11,恭喜！ 升級了！,133,253,212,0,0
157,157,1,506,11,恭喜！ 升級了！,133,253,212,0,0
158,158,1,506,11,恭喜！ 升級了！,133,253,212,0,0
159,159,1,506,11,恭喜！ 升級了！,133,253,212,0,0
160,160,1,506,11,恭喜！ 升級了！,133,253,212,0,0
161,161,1,506,11,恭喜！ 升級了！,133,253,212,0,0
162,162,1,506,11,恭喜！ 升級了！,133,253,212,0,0
163,163,1,506,11,恭喜！ 升級了！,133,253,212,0,0
164,164,1,506,11,恭喜！ 升級了！,133,253,212,0,0
165,165,1,506,11,恭喜！ 升級了！,133,253,212,0,0
166,166,1,506,11,恭喜！ 升級了！,133,253,212,0,0
167,167,1,506,11,恭喜！ 升級了！,133,253,212,0,0
168,168,1,506,11,恭喜！ 升級了！,133,253,212,0,0
169,169,1,506,11,恭喜！ 升級了！,133,253,212,0,0
170,170,1,506,11,恭喜！ 升級了！,133,253,212,0,0
171,171,1,506,11,恭喜！ 升級了！,133,253,212,0,0
172,172,1,506,11,恭喜！ 升級了！,133,253,212,0,0
173,173,1,506,11,恭喜！ 升級了！,133,253,212,0,0
174,174,1,506,11,恭喜！ 升級了！,133,253,212,0,0
175,175,1,506,11,恭喜！ 升級了！,133,253,212,0,0
176,176,1,506,11,恭喜！ 升級了！,133,253,212,0,0
177,177,1,506,11,恭喜！ 升級了！,133,253,212,0,0
178,178,1,506,11,恭喜！ 升級了！,133,253,212,0,0
179,179,1,506,11,恭喜！ 升級了！,133,253,212,0,0
180,180,1,506,11,恭喜！ 升級了！,133,253,212,0,0
181,181,1,506,11,恭喜！ 升級了！,133,253,212,0,0
182,182,1,506,11,恭喜！ 升級了！,133,253,212,0,0
183,183,1,506,11,恭喜！ 升級了！,133,253,212,0,0
184,184,1,506,11,恭喜！ 升級了！,133,253,212,0,0
185,185,1,506,11,恭喜！ 升級了！,133,253,212,0,0
186,186,1,506,11,恭喜！ 升級了！,133,253,212,0,0
187,187,1,506,11,恭喜！ 升級了！,133,253,212,0,0
188,188,1,506,11,恭喜！ 升級了！,133,253,212,0,0
189,189,1,506,11,恭喜！ 升級了！,133,253,212,0,0
190,190,1,506,11,恭喜！ 升級了！,133,253,212,0,0
191,191,1,506,11,恭喜！ 升級了！,133,253,212,0,0
192,192,1,506,11,恭喜！ 升級了！,133,253,212,0,0
193,193,1,506,11,恭喜！ 升級了！,133,253,212,0,0
194,194,1,506,11,恭喜！ 升級了！,133,253,212,0,0
195,195,1,506,11,恭喜！ 升級了！,133,253,212,0,0
196,196,1,506,11,恭喜！ 升級了！,133,253,212,0,0
197,197,1,506,11,恭喜！ 升級了！,133,253,212,0,0
198,198,1,506,11,恭喜！ 升級了！,133,253,212,0,0
199,199,1,506,11,恭喜！ 升級了！,133,253,212,0,0
200,200,1,506,11,恭喜！ 升級了！,133,253,212,0,0
201,201,1,506,11,恭喜！ 升級了！,133,253,212,0,0
