ID,_Exp,_point
1,40000000000,1
2,40100000000,1
3,40200000000,1
4,40300000000,1
5,40400000000,1
6,40500000000,1
7,40600000000,1
8,40700000000,1
9,40800000000,1
10,40900000000,1
11,41000000000,1
12,41100000000,1
13,41200000000,1
14,41300000000,1
15,41400000000,1
16,41500000000,1
17,41600000000,1
18,41700000000,1
19,41800000000,1
20,41900000000,1
21,42000000000,1
22,42100000000,1
23,42200000000,1
24,42300000000,1
25,42400000000,1
26,42500000000,1
27,42600000000,1
28,42700000000,1
29,42800000000,1
30,42900000000,1
31,43000000000,1
32,43100000000,1
33,43200000000,1
34,43300000000,1
35,43400000000,1
36,43500000000,1
37,43600000000,1
38,43700000000,1
39,43800000000,1
40,43900000000,1
41,44000000000,1
42,44100000000,1
43,44200000000,1
44,44300000000,1
45,44400000000,1
46,44500000000,1
47,44600000000,1
48,44700000000,1
49,44800000000,1
50,44900000000,1
51,45000000000,1
52,45100000000,1
53,45200000000,1
54,45300000000,1
55,45400000000,1
56,45500000000,1
57,45600000000,1
58,45700000000,1
59,45800000000,1
60,45900000000,1
61,46000000000,1
62,46100000000,1
63,46200000000,1
64,46300000000,1
65,46400000000,1
66,46500000000,1
67,46600000000,1
68,46700000000,1
69,46800000000,1
70,46900000000,1
71,47000000000,1
72,47100000000,1
73,47200000000,1
74,47300000000,1
75,47400000000,1
76,47500000000,1
77,47600000000,1
78,47700000000,1
79,47800000000,1
80,47900000000,1
81,48000000000,1
82,48100000000,1
83,48200000000,1
84,48300000000,1
85,48400000000,1
86,48500000000,1
87,48600000000,1
88,48700000000,1
89,48800000000,1
90,48900000000,1
91,49000000000,1
92,49100000000,1
93,49200000000,1
94,49300000000,1
95,49400000000,1
96,49500000000,1
97,49600000000,1
98,49700000000,1
99,49800000000,1
100,49900000000,1
101,50000000000,1
102,50100000000,1
103,50200000000,1
104,50300000000,1
105,50400000000,1
106,50500000000,1
107,50600000000,1
108,50700000000,1
109,50800000000,1
110,50900000000,1
111,51000000000,1
112,51100000000,1
113,51200000000,1
114,51300000000,1
115,51400000000,1
116,51500000000,1
117,51600000000,1
118,51700000000,1
119,51800000000,1
120,51900000000,1
121,52000000000,1
122,52100000000,1
123,52200000000,1
124,52300000000,1
125,52400000000,1
126,52500000000,1
127,52600000000,1
128,52700000000,1
129,52800000000,1
130,52900000000,1
131,53000000000,1
132,53100000000,1
133,53200000000,1
134,53300000000,1
135,53400000000,1
136,53500000000,1
137,53600000000,1
138,53700000000,1
139,53800000000,1
140,53900000000,1
141,54000000000,1
142,54100000000,1
143,54200000000,1
144,54300000000,1
145,54400000000,1
146,54500000000,1
147,54600000000,1
148,54700000000,1
149,54800000000,1
150,54900000000,1
151,55000000000,1
152,55100000000,1
153,55200000000,1
154,55300000000,1
155,55400000000,1
156,55500000000,1
157,55600000000,1
158,55700000000,1
