ID,_BG_Image,_Image1,_Output1_PosX1,_Output1_PosY1,_Random_BG,_Random_Image
1,,,-112,512,1001,2001
1000,,,-112,512,1001,2001
2000,LOADING_S2.png,,-112,512,0,2004
2001,LOADING_S2.png,,-112,512,0,2004
2002,,,-112,512,1001,2004
2003,,,-112,512,1001,2004
2004,LOADING_S7.png,,-112,512,0,2004
2005,LOADING_S7.png,,-112,512,0,2004
3000,,,-112,512,1001,2001
3001,,,-112,512,1001,2001
3002,,,-112,512,1001,2001
3003,,,-112,512,1001,2001
4000,,,-112,512,1001,2001
4001,,,-112,512,1001,2001
4002,LOADING_S7.png,,-112,512,1001,2001
4003,LOADING_S7.png,,-112,512,0,2001
5000,,,-112,512,1001,2001
5001,,,-112,512,1001,2001
5002,,,-112,512,1001,2001
6000,EVENT_01.png,,-112,512,0,2003
6001,EVENT_01.png,,-112,512,0,2003
6002,EVENT_01.png,,-112,512,0,2003
6003,EVENT_01.png,,-112,512,0,2003
6004,EVENT_01.png,,-112,512,0,2003
6005,EVENT_01.png,,-112,512,0,2003
6006,EVENT_01.png,,-112,512,0,2003
6007,EVENT_01.png,,-112,512,0,2003
6008,EVENT_01.png,,-112,512,0,2003
6009,EVENT_01.png,,-112,512,0,2003
6010,LOADING_S231.png,,-112,512,0,2001
6012,LOADING_S231.png,,-112,512,0,2001
7000,LOADING_S7.png,,-112,512,0,2001
7001,LOADING_S7.png,,-112,512,0,2004
7002,LOADING_S7.png,,-112,512,0,2004
7003,LOADING_S7.png,,-112,512,0,2004
7004,LOADING_S7.png,,-112,512,0,2004
7005,LOADING_S7.png,,-112,512,0,2004
8000,,,-112,512,1001,2001
9000,,,-112,512,1001,2001
9008,13th.png,,-112,512,0,2001
9009,13th.png,,-112,512,0,2001
10000,,,-112,512,1001,2001
10001,,,-112,512,1001,2001
10002,,,-112,512,1001,2001
10003,,,-112,512,1001,2001
10004,,,-112,512,1001,2001
11000,,,-112,512,1001,2001
12000,,,-112,512,1001,2001
12001,,,-112,512,1001,2001
12002,,,-112,512,1001,2001
12003,,,-112,512,1001,2001
