ID,_Class,_Gender,_Lv,_Effect1,_Effect2,_Effect3,_Effect4,_Effect5
1,1,1,10,63000907,63000908,14510170,0,0
2,1,1,20,63000907,63000908,14510170,0,0
3,1,1,30,63000907,63000908,14510170,0,0
4,1,1,40,63000907,63000908,14510170,0,0
5,1,1,50,63000907,63000908,14510170,0,0
6,1,1,60,63000907,63000908,14510170,0,0
7,1,1,70,63000907,63000908,14510170,0,0
8,1,1,80,63000907,63000908,14510170,0,0
9,1,1,90,63000907,63000908,14510170,0,0
10,1,1,255,63000907,63000908,14510170,0,0
11,1,2,10,63000907,63000908,14510170,0,0
12,1,2,20,63000907,63000908,14510170,0,0
13,1,2,30,63000907,63000908,14510170,0,0
14,1,2,40,63000907,63000908,14510170,0,0
15,1,2,50,63000907,63000908,14510170,0,0
16,1,2,60,63000907,63000908,14510170,0,0
17,1,2,70,63000907,63000908,14510170,0,0
18,1,2,80,63000907,63000908,14510170,0,0
19,1,2,90,63000907,63000908,14510170,0,0
20,1,2,255,63000907,63000908,14510170,0,0
21,2,1,10,63000907,63000908,14510170,0,0
22,2,1,20,63000907,63000908,14510170,0,0
23,2,1,30,63000907,63000908,14510170,0,0
24,2,1,40,63000907,63000908,14510170,0,0
25,2,1,50,63000907,63000908,14510170,0,0
26,2,1,60,63000907,63000908,14510170,0,0
27,2,1,70,63000907,63000908,14510170,0,0
28,2,1,80,63000907,63000908,14510170,0,0
29,2,1,90,63000907,63000908,14510170,0,0
30,2,1,255,63000907,63000908,14510170,0,0
31,2,2,10,63000907,63000908,14510170,0,0
32,2,2,20,63000907,63000908,14510170,0,0
33,2,2,30,63000907,63000908,14510170,0,0
34,2,2,40,63000907,63000908,14510170,0,0
35,2,2,50,63000907,63000908,14510170,0,0
36,2,2,60,63000907,63000908,14510170,0,0
37,2,2,70,63000907,63000908,14510170,0,0
38,2,2,80,63000907,63000908,14510170,0,0
39,2,2,90,63000907,63000908,14510170,0,0
40,2,2,255,63000907,63000908,14510170,0,0
41,3,1,10,63000907,63000908,14510170,0,0
42,3,1,20,63000907,63000908,14510170,0,0
43,3,1,30,63000907,63000908,14510170,0,0
44,3,1,40,63000907,63000908,14510170,0,0
45,3,1,50,63000907,63000908,14510170,0,0
46,3,1,60,63000907,63000908,14510170,0,0
47,3,1,70,63000907,63000908,14510170,0,0
48,3,1,80,63000907,63000908,14510170,0,0
49,3,1,90,63000907,63000908,14510170,0,0
50,3,1,255,63000907,63000908,14510170,0,0
51,3,2,10,63000907,63000908,14510170,0,0
52,3,2,20,63000907,63000908,14510170,0,0
53,3,2,30,63000907,63000908,14510170,0,0
54,3,2,40,63000907,63000908,14510170,0,0
55,3,2,50,63000907,63000908,14510170,0,0
56,3,2,60,63000907,63000908,14510170,0,0
57,3,2,70,63000907,63000908,14510170,0,0
58,3,2,80,63000907,63000908,14510170,0,0
59,3,2,90,63000907,63000908,14510170,0,0
60,3,2,255,63000907,63000908,14510170,0,0
61,4,1,10,63000907,63000908,14510170,0,0
62,4,1,20,63000907,63000908,14510170,0,0
63,4,1,30,63000907,63000908,14510170,0,0
64,4,1,40,63000907,63000908,14510170,0,0
65,4,1,50,63000907,63000908,14510170,0,0
66,4,1,60,63000907,63000908,14510170,0,0
67,4,1,70,63000907,63000908,14510170,0,0
68,4,1,80,63000907,63000908,14510170,0,0
69,4,1,90,63000907,63000908,14510170,0,0
70,4,1,255,63000907,63000908,14510170,0,0
71,4,2,10,63000907,63000908,14510170,0,0
72,4,2,20,63000907,63000908,14510170,0,0
73,4,2,30,63000907,63000908,14510170,0,0
74,4,2,40,63000907,63000908,14510170,0,0
75,4,2,50,63000907,63000908,14510170,0,0
76,4,2,60,63000907,63000908,14510170,0,0
77,4,2,70,63000907,63000908,14510170,0,0
78,4,2,80,63000907,63000908,14510170,0,0
79,4,2,90,63000907,63000908,14510170,0,0
80,4,2,255,63000907,63000908,14510170,0,0
81,5,1,10,63000907,63000908,14510170,0,0
82,5,1,20,63000907,63000908,14510170,0,0
83,5,1,30,63000907,63000908,14510170,0,0
84,5,1,40,63000907,63000908,14510170,0,0
85,5,1,50,63000907,63000908,14510170,0,0
86,5,1,60,63000907,63000908,14510170,0,0
87,5,1,70,63000907,63000908,14510170,0,0
88,5,1,80,63000907,63000908,14510170,0,0
89,5,1,90,63000907,63000908,14510170,0,0
90,5,1,255,63000907,63000908,14510170,0,0
91,5,2,10,63000907,63000908,14510170,0,0
92,5,2,20,63000907,63000908,14510170,0,0
93,5,2,30,63000907,63000908,14510170,0,0
94,5,2,40,63000907,63000908,14510170,0,0
95,5,2,50,63000907,63000908,14510170,0,0
96,5,2,60,63000907,63000908,14510170,0,0
97,5,2,70,63000907,63000908,14510170,0,0
98,5,2,80,63000907,63000908,14510170,0,0
99,5,2,90,63000907,63000908,14510170,0,0
100,5,2,255,63000907,63000908,14510170,0,0
101,6,1,10,63000907,63000908,14510170,0,0
102,6,1,20,63000907,63000908,14510170,0,0
103,6,1,30,63000907,63000908,14510170,0,0
104,6,1,40,63000907,63000908,14510170,0,0
105,6,1,50,63000907,63000908,14510170,0,0
106,6,1,60,63000907,63000908,14510170,0,0
107,6,1,70,63000907,63000908,14510170,0,0
108,6,1,80,63000907,63000908,14510170,0,0
109,6,1,90,63000907,63000908,14510170,0,0
110,6,1,255,63000907,63000908,14510170,0,0
111,6,2,10,63000907,63000908,14510170,0,0
112,6,2,20,63000907,63000908,14510170,0,0
113,6,2,30,63000907,63000908,14510170,0,0
114,6,2,40,63000907,63000908,14510170,0,0
115,6,2,50,63000907,63000908,14510170,0,0
116,6,2,60,63000907,63000908,14510170,0,0
117,6,2,70,63000907,63000908,14510170,0,0
118,6,2,80,63000907,63000908,14510170,0,0
119,6,2,90,63000907,63000908,14510170,0,0
120,6,2,255,63000907,63000908,14510170,0,0
121,7,1,10,63000907,63000908,14510170,0,0
122,7,1,20,63000907,63000908,14510170,0,0
123,7,1,30,63000907,63000908,14510170,0,0
124,7,1,40,63000907,63000908,14510170,0,0
125,7,1,50,63000907,63000908,14510170,0,0
126,7,1,60,63000907,63000908,14510170,0,0
127,7,1,70,63000907,63000908,14510170,0,0
128,7,1,80,63000907,63000908,14510170,0,0
129,7,1,90,63000907,63000908,14510170,0,0
130,7,1,255,63000907,63000908,14510170,0,0
131,7,2,10,63000907,63000908,14510170,0,0
132,7,2,20,63000907,63000908,14510170,0,0
133,7,2,30,63000907,63000908,14510170,0,0
134,7,2,40,63000907,63000908,14510170,0,0
135,7,2,50,63000907,63000908,14510170,0,0
136,7,2,60,63000907,63000908,14510170,0,0
137,7,2,70,63000907,63000908,14510170,0,0
138,7,2,80,63000907,63000908,14510170,0,0
139,7,2,90,63000907,63000908,14510170,0,0
140,7,2,255,63000907,63000908,14510170,0,0
141,8,1,10,63000907,63000908,14510170,0,0
142,8,1,20,63000907,63000908,14510170,0,0
143,8,1,30,63000907,63000908,14510170,0,0
144,8,1,40,63000907,63000908,14510170,0,0
