ID,_UseCheck,_LoveLevel,_Creat_Require1_Type,_Creat_Require1_ID,_Creat_Require1_Value1,_Creat_Require1_Value2,_Creat_Require2_Type,_Creat_Require2_ID,_Creat_Require2_Value1,_Creat_Require2_Value2,_Creat_Require3_Type,_Creat_Require3_ID,_Creat_Require3_Value1,_Creat_Require3_Value2,_StatusType_1,_StatusValue_1,_StatusType_2,_StatusValue_2,_StatusType_3,_StatusValue_3,_StatusType_4,_StatusValue_4
1,63,1,1,402,1,0,0,0,0,0,0,0,0,0,456,1,0,0,0,0,0,0
2,63,1,1,402,2,0,0,0,0,0,0,0,0,0,456,1,0,0,0,0,0,0
3,63,1,1,402,4,0,0,0,0,0,0,0,0,0,456,1,0,0,0,0,0,0
4,63,2,1,402,1,0,0,0,0,0,0,0,0,0,456,2,0,0,0,0,0,0
5,63,2,1,402,2,0,0,0,0,0,0,0,0,0,456,2,0,0,0,0,0,0
6,63,2,1,402,4,0,0,0,0,0,0,0,0,0,456,2,0,0,0,0,0,0
7,63,3,1,402,1,0,0,0,0,0,0,0,0,0,456,2,0,0,0,0,0,0
8,63,3,1,402,2,0,0,0,0,0,0,0,0,0,456,3,0,0,0,0,0,0
9,63,3,1,402,4,0,0,0,0,0,0,0,0,0,456,3,0,0,0,0,0,0
10,63,4,1,402,1,0,0,0,0,0,0,0,0,0,456,2,0,0,0,0,0,0
11,63,4,1,402,2,0,0,0,0,0,0,0,0,0,456,4,0,0,0,0,0,0
12,63,4,1,402,4,0,0,0,0,0,0,0,0,0,456,4,0,0,0,0,0,0
13,63,5,1,402,1,0,0,0,0,0,0,0,0,0,456,2,0,0,0,0,0,0
14,63,5,1,402,2,0,0,0,0,0,0,0,0,0,456,5,0,0,0,0,0,0
15,63,5,1,402,4,0,0,0,0,0,0,0,0,0,456,5,0,0,0,0,0,0
16,63,6,1,402,1,0,0,0,0,0,0,0,0,0,456,2,0,0,0,0,0,0
17,63,6,1,402,2,0,0,0,0,0,0,0,0,0,456,6,0,0,0,0,0,0
18,63,6,1,402,4,0,0,0,0,0,0,0,0,0,456,6,0,0,0,0,0,0
19,63,7,1,402,1,0,0,0,0,0,0,0,0,0,456,2,0,0,0,0,0,0
20,63,7,1,402,2,0,0,0,0,0,0,0,0,0,456,7,0,0,0,0,0,0
21,63,7,1,402,4,0,0,0,0,0,0,0,0,0,456,7,0,0,0,0,0,0
22,63,8,1,402,1,0,0,0,0,0,0,0,0,0,456,2,0,0,0,0,0,0
23,63,8,1,402,2,0,0,0,0,0,0,0,0,0,456,8,0,0,0,0,0,0
24,63,8,1,402,4,0,0,0,0,0,0,0,0,0,456,8,0,0,0,0,0,0
25,63,9,1,402,1,0,0,0,0,0,0,0,0,0,456,2,0,0,0,0,0,0
26,63,9,1,402,2,0,0,0,0,0,0,0,0,0,456,9,0,0,0,0,0,0
27,63,9,1,402,4,0,0,0,0,0,0,0,0,0,456,9,0,0,0,0,0,0
28,63,10,1,402,1,0,0,0,0,0,0,0,0,0,456,2,0,0,0,0,0,0
29,63,10,1,402,2,0,0,0,0,0,0,0,0,0,456,10,0,0,0,0,0,0
30,63,10,1,402,4,0,0,0,0,0,0,0,0,0,456,10,0,0,0,0,0,0
