ID,_UseCheck,_Turn,_SceneTime,_ManWoman,_Scene_Man,_Des_Man,_Scene_Woman,_Des_Woman,_Direction_Man,_Direction_Woman,_Pose_Man_X,_Pose_Man_Y,_Pose_Woman_X,_Pose_Woman_Y
1,63,0,3,10,0,??? ? ?? ??,0,??? ? ?? ??,0,0,380,719,444,719
2,63,1,3,10,3900030,??? ??_00_male,3900033,??? ??_00_Female,0,0,380,719,444,719
3,63,2,10,10,3900008,150_04_01_Wedding_male(?? ?? FX),3900000,150_04_01_Wedding_Female(?? ?? FX),0,0,380,719,444,719
4,63,3,7,10,3900009,"150_04_02_Wedding_male(?? ?? ??, ??FX)",3900001,"150_04_02_Wedding__Female(?? ?? ??, ??FX)",0,0,380,719,444,719
5,63,4,7,10,3900012,"150_04_05_Wedding_male(? ?? ??, ?? ? FX)",3900004,"150_04_05_Wedding_Female(? ?? ??, ?? ? FX)",0,0,380,719,444,719
6,63,5,10,10,3900011,150_04_04_Wedding_male(?? ??? ?? ? ????),3900003,150_04_04_Wedding_Female(?? ??? ?? ? ????),0,0,380,719,444,719
7,63,6,6,10,3900014,150_04_07_Wedding_male,3900006,_04_07_Wedding_Female(??? ?? ??? FX)???? ??),0,0,380,719,444,719
8,63,7,10,10,3900013,150_04_06_Wedding_male(?? ?? ??),3900005,150_04_06_Wedding_Female(?? ?? ??),0,0,380,719,444,719
9,63,8,6,10,3900015,150_04_08_Wedding_male(??? ?? ?? ? FX),3900007,150_04_08_Wedding_Female(??? ?? ?? ? FX),0,0,380,719,444,719
10,63,9,6,10,3900031,150_04_09_Wedding_male(??? ??),3900034,150_04_09_Wedding_Female(??? ??),0,0,380,719,444,719
11,63,0,60,20,3900016,???? ??_1(ProposeStart),3900017,???? ??_2(ProposeWait),0,0,380,719,444,719
12,63,1,5,20,3900018,???? ??_3(ProposeSuccess),3900019,???? ??_4(ProposeAgree),0,0,380,719,444,719
13,63,2,6,20,3900020,???? ??_5(ProposeFoot),3900021,???? ??_6(ProposeSorry),0,0,380,719,444,719
14,63,0,60,21,3900025,???? ??_2(ProposeWait),3900024,???? ??_1(ProposeStart),0,0,380,719,444,719
15,63,1,5,21,3900027,???? ??_4(ProposeAgree),3900026,???? ??_3(ProposeSuccess),0,0,380,719,444,719
16,63,2,6,21,3900029,???? ??_6(ProposeSorry),3900028,???? ??_5(ProposeFoot),0,0,380,719,444,719
