ID,_Name,_StageID,_MapGroupID,_MapID,_PosX,_PosY,_RectLeft,_RectTop,_RectRight,_RectBottom,_ObjectImage,_TipMessage,_EventType,_EventTypeID,_EventSubType,_ObjectTerrain,_ObjectFlip,_Description,_Icon,_Icon_Index,_Consumption_ItemID,_Field_Dynamic_Create,_Ind_Num,_Fx_id,_Portal_Time_Count,_Title,_npc_Type,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Require4_Type,_Require4_ID,_Require4_Value1,_Require4_Value2,_Require5_Type,_Require5_ID,_Require5_Value1,_Require5_Value2,_Require6_Type,_Require6_ID,_Require6_Value1,_Require6_Value2,_Require7_Type,_Require7_ID,_Require7_Value1,_Require7_Value2,_Require8_Type,_Require8_ID,_Require8_Value1,_Require8_Value2,_Require9_Type,_Require9_ID,_Require9_Value1,_Require9_Value2,_Require10_Type,_Require10_ID,_Require10_Value1,_Require10_Value2,_ErrorMessage
1030,兔女郎,488,0,0,2509,2895,45,150,45,40,812010011,和兔女郎對話,1,1030,0,2,0,掌管彩虹島物語活動的兔女郎小姐。說不定比愛麗絲更有名喔!,10005000,99,0,0,0,0,0,[活動],5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50001,艾利亞斯,5,0,0,96,1087,64,16,64,16,0,往艾利亞斯移動,3,5001,0,0,0,往艾利亞斯移動。,10005000,61,0,0,0,900,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50002,原野地帶 2,5,0,0,3104,1056,64,16,64,16,0,往原野地帶 2移動,3,5002,0,0,0,往原野地帶 2移動。,10005000,61,0,0,0,900,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50003,原野地帶 1,5,1,0,96,1375,64,16,64,16,0,往原野地帶 1移動,3,5003,0,0,0,往原野地帶 1移動。,10005000,61,0,0,0,900,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50100,往地下洞窟移動,5,1,0,3104,831,64,16,64,16,0,往地下洞窟移動,3,50100,0,0,0,往地下洞窟移動,10005000,61,0,0,0,900,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100027,恐怖村莊入場,117,5,0,317,1344,96,144,96,144,0,,11,100027,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
162002000,[混血天神] 新手教學_強制對話1,7,0,0,700,703,1400,100,1400,100,0,,8,162002000,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
162002021,[混血天神] 新手教學_強制對話2,7,0,0,700,703,1400,500,1400,500,0,,8,162002021,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
162002121,[混血天神] 新手教學_說明1,7,0,0,700,703,1400,700,1400,500,0,,8,162002121,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7121,娜莉亞祭司,7,0,0,400,703,45,150,45,60,812010479,和娜莉亞祭司對話,1,7121,0,2,0,在賽蕾斯神殿被叫做'姨娘'的女性祭司,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1622901,前往賽蕾斯的神殿 2,7,0,0,1800,895,64,16,64,16,0,前往賽蕾斯的神殿 2,3,1622901,0,0,0,,10005000,61,0,0,0,16389,0,,0,4,1,162002000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[倒塌的賽蕾斯神殿]任務完成後即可前往。
162002122,[混血天神] 新手教學_說明2,7,1,0,1500,768,1500,700,1800,500,0,,8,162002122,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1623001,前往賽蕾斯的神殿 3,7,1,0,3000,896,64,16,64,16,0,前往賽蕾斯的神殿 3,3,1623001,0,0,0,,10005000,61,0,0,0,16389,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
162002037,[混血天神] 新手教學_強制對話3,7,2,0,3400,1792,300,100,300,100,0,,8,162002037,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
162002127,[混血天神] 新手教學_說明2-1,7,2,0,1800,1800,1500,700,1500,700,0,,8,162002122,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7122,摩莉絲祭司,7,2,0,3300,1792,45,150,45,60,812010480,和摩莉絲祭司對話,1,7122,0,2,0,在賽蕾斯神殿被叫做'母親'的女性祭司,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1622902,前往賽蕾斯的神殿 2,7,2,0,90,1680,64,16,64,16,0,前往賽蕾斯的神殿 2,3,1622902,0,0,0,,10005000,61,0,0,0,16389,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1623101,前往賽蕾斯的神殿 4,7,2,0,3550,1792,64,16,64,16,0,前往賽蕾斯的神殿 4,3,1623101,0,0,0,,10005000,61,0,0,0,16389,0,,0,4,1,162002001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[洛克斯的追隨者們] 任務完成後即可前往。
162002054,[混血天神] 新手教學_強制對話4,7,3,0,3626,2400,800,800,800,800,0,,8,162002054,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
162002123,[混血天神] 新手教學_說明3,7,3,0,2500,2000,2500,700,2500,1000,0,,8,162002123,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
162002124,[混血天神] 新手教學_說明4,7,3,0,5500,2000,3000,700,4300,1000,0,,8,162002124,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7123,西斯蒂娜祭司,7,3,0,3626,2400,45,150,45,60,812010481,和西斯蒂娜祭司對話,1,7123,0,2,0,在賽蕾斯神殿被叫做'冰山公主'的女性祭司,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1623002,前往賽蕾斯的神殿 3,7,3,0,90,2592,64,16,64,16,0,前往賽蕾斯的神殿 3,3,1623002,0,0,0,,10005000,61,0,0,0,16389,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
