ID,_Map,_Name,_type
1,00-00,監獄,Single
2,00-01,OX猜謎房間,Single
3,00-02,獨自逃脫的牆,Single
4,00-03,白色房間,Single
5,00-04,黑色房間,Single
6,00-05,藍色房間,Single
7,00-06,深海準備,Single
8,00-07,深海的戰鬥,Single
9,00-08,深海的小章魚房間,Single
10,01-00,新手訓練場 1,Safety zone
11,01-01,新手訓練場 2,Safety zone
12,01-02,神秘森林,Safety zone
13,01-03,貝羅斯都市,Safety zone
14,02-00,貝羅斯都市,Safety zone
15,02-01,貝羅斯酒館,Safety zone
16,02-02,貝希摩斯巷道,Safety zone
17,02-03,競技場大廳,Safety zone
18,02-04,兔女郎的活動,Safety zone
19,02-05,貝羅斯都市,Safety zone
20,03-00,山林地帶 1,Field
21,03-01,山林地帶 2,Field
22,03-02,山林地帶 2,Field
23,04-00,冥王神殿 1樓,Field
24,04-01,冥王神殿 1樓,Field
25,04-02,冥王神殿 2樓,Field
26,04-03,冥王神殿,Safety zone
27,05-00,原野地帶 1,Field
28,05-01,原野地帶 2,Field
29,06-00,艾利亞斯都市,Safety zone
30,06-01,艾利亞斯王宮,Safety zone
31,06-02,王宮內部,Safety zone
32,06-03,王宮守衛室,Safety zone
33,06-04,自由市場,Safety zone
34,06-05,精品店,Safety zone
35,06-06,艾利亞斯機場,Safety zone
36,06-07,格鬥場,Safety zone
37,06-08,餐廳,Safety zone
38,06-09,美妝店,Safety zone
39,06-10,鬼怪山入口,Safety zone
40,06-11,貝勒翰之橋,Safety zone
41,06-12,陰森村莊入口,Safety zone
42,07-00,賽蕾斯的神殿1,Safety zone
43,07-01,賽蕾斯的神殿2,Safety zone
44,07-02,賽蕾斯的神殿3,Safety zone
45,07-03,賽蕾斯的神殿4,Safety zone
46,07-04,賽蕾斯的神殿5,Safety zone
47,07-05,賽蕾斯的神殿6,Safety zone
48,08-00,飛行中的機艙內,Safety zone
49,09-00,陰屍路入場等候室,Safety zone
50,09-01,陰屍路獎勵房,Safety zone
51,09-02,萬聖節迷宮選擇房間,Safety zone
52,09-03,萬聖節迷宮等候室,Safety zone
53,09-04,艱難的尋路,Safety zone
54,09-05,怒懼,Safety zone
55,09-06,懼,Safety zone
56,09-07,陰屍路,Safety zone
57,09-08,Game2 - 甩開激進粉絲大廳,Safety zone
58,09-09,Game2 - 甩開激進粉絲,Safety zone
59,10-00,足球場,Safety zone
60,10-01,彩球,Safety zone
61,10-02,活動足球場,Safety zone
62,10-03,彩虹島物語露天運動場,Safety zone
63,10-04,輔助競技場,Safety zone
64,10-05,彩球 2,Safety zone
65,11,螞蟻洞窟,Safety zone
66,12-00,紅高粱地 1,Field
67,12-01,紅高粱地 2,Field
68,12-02,紅高粱地 2,Field
69,12-03,紅高粱地 2,Field
70,13-00,地下洞窟,Field
71,14-00,地下暗渠入口,Safety zone
72,14-01,地下暗渠 區域1,Field
73,14-02,地下暗渠 區域2,Field
74,14-03,Game4 - 第1名才是我的世界等候室,Safety zone
75,14-04,Game4 - 第1名才是我的世界,Safety zone
76,14-05,Game4 - 第1名才是我的世界第1名獎勵房,Safety zone
77,14-06,Game4 - 第1名才是我的世界獎勵房,Safety zone
78,15-00,黑月城 1,Field
79,15-01,黑月城 2,Field
80,15-02,黑月城 3,Field
81,15-03,黑月城 4,Field
82,15-04,黑月城 5,Field
83,15-05,回憶旅行,Field
84,16-00,貝斯雪原,Field
85,16-01,雷弗利治雪原,Field
86,16-02,史波萊諾雪原,Field
87,16-03,貝勒翰之橋,Safety zone
88,16-04,溫泉男湯,Safety zone
89,16-05,溫泉女湯,Safety zone
90,16-06,雪狸貓溫泉,Safety zone
91,16-07,gm莫迪的冬日溫泉,Safety zone
92,16-08,NAVER極速上升溫泉湯,Safety zone
93,16-09,活動森林浴,Safety zone
94,17-00,阿法都市,Safety zone
95,17-01,阿法都市港口,Safety zone
96,17-02,戰鬥用品店,Safety zone
97,17-03,餐廳,Safety zone
98,18-00,金字塔 1,Field
99,18-01,金字塔 2,Field
100,18-02,金字塔 3,Field
101,18-03,金字塔 4,Field
102,18-04,金字塔 5,Field
103,19-00,龍京都市,Safety zone
104,19-01,龍京酒館,Safety zone
105,19-02,龍京酒館客房,Safety zone
106,19-03,老虎寺關口,Safety zone
107,19-04,老虎寺關口,Safety zone
108,19-05,龍京都市,Safety zone
109,19-06,龍京酒館客房,Safety zone
110,20-00,奧亦奇都市,Safety zone
111,21-00,山嶽地帶 1,Field
112,21-01,山嶽地帶 2,Field
113,21-02,偽造數據,Field
114,21-03,山嶽洞窟 3,Field
115,21-04,山嶽洞窟 4,Field
116,21-05,山嶽洞窟 1,Field
117,21-06,山嶽洞窟 2,Field
118,21-07,山嶽休息地,Safety zone
119,21-08,我是落地之王,Field
120,21-09,冬季 Jump,Field
121,22-00,偽造數據,Field
122,22-01,偽造數據,Field
123,22-02,阿爾卡笛亞 2,Field
124,22-03,阿爾卡笛亞 3,Field
125,22-04,阿爾卡笛亞 1,Field
126,23-00,櫻樹湖畔 1,Field
127,23-01,偽造數據,Field
128,23-02,偽造數據,Field
129,23-03,櫻樹湖畔 2,Field
