ID,_CategoryView,_New_Notification,_Menu_Type,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Require4_Type,_Require4_ID,_Require4_Value1,_Require4_Value2,_Require5_Type,_Require5_ID,_Require5_Value1,_Require5_Value2,_Normal_X,_Normal_Y,_Over_X,_Over_Y,_disable_X,_disable_Y
31,1,0,1,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,1,1,141,1,281,1
32,1,0,2,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,1,37,141,37,281,37
33,1,0,3,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,1,73,141,73,281,73
34,1,0,4,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,1,145,141,145,281,145
35,1,0,6,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,1,181,141,181,281,181
36,1,0,7,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,1,217,141,217,281,217
37,1,0,33,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,1,253,141,253,281,253
38,1,0,5,6,1,64,,1,3,140,,1,1,1107,,0,0,,,0,0,,,1,109,141,109,281,109
39,0,0,0,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
40,0,0,0,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
41,0,0,0,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
42,0,0,0,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
43,1,0,10,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,1,325,141,325,281,325
44,1,0,11,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,1,361,141,361,281,361
45,1,0,13,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,1,433,141,433,281,433
46,1,0,14,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,1,469,141,469,281,469
47,1,0,8,1,1,1110,,1,1,236,,0,0,,,0,0,,,0,0,,,1,577,141,577,281,577
48,1,1,9,1,3,200,,1,1,1110,,0,0,,,0,0,,,0,0,,,1,289,141,289,281,289
49,1,0,12,1,578,1,,0,0,,,0,0,,,0,0,,,0,0,,,1,397,141,397,281,397
50,0,0,0,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
51,0,0,0,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
52,0,0,0,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
53,0,0,0,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
54,0,0,0,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
55,1,0,15,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,1,505,141,505,281,505
56,1,0,17,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,1,613,141,613,281,613
57,1,0,18,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,1,649,141,649,281,649
58,1,0,31,0,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,1,685,141,685,281,685
59,1,0,19,1,3,10,,0,0,,,0,0,,,0,0,,,0,0,,,1,721,141,721,281,721
60,1,0,20,7,2,50000100,,0,0,,,0,0,,,0,0,,,0,0,,,1,757,141,757,281,757
61,1,1,16,1,449,230,236,0,0,,,0,0,,,0,0,,,0,0,,,1,541,141,541,281,541
62,0,0,0,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
63,0,0,0,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0
