ID,_Name,_Description
805318706,物品,根據分類，可確認角色持有的物品。
805318707,裝備,可確認角色正在裝備的物品。
805318709,技能,可確認角色的技能。
805318708,狀態,可確認角色的基本狀態和能力值。
805318710,任務,可確認有關任務的相關情報。
805318711,公會,可確認有關公會的相關情報。
805318712,隊伍,可確認有關隊伍的相關情報。
805318713,好友,可確認好友名單和黑名單。
805318722,情侶,可確認有關情侶的相關情報。
805318714,寵物,可確認有關寵物的相關情報。
805318720,導覽書,可得知符合角色等級別的技能、任務等相關情報。
805318721,聊天室,可參予對話聊天室，或是創建聊天室。
805318715,設定,可確認有關設定的相關情報。
805318716,小幫手,可確認在進行遊戲時，需要的各種說明。
805318719,聊天巨集,可簡便地使用常使用的聊天內容。
805318728,製作,可確認製作技能。
805318729,裝扮,可以確認裝扮。
805318731,成就,可確認成就。
805318730,格鬥場,可以使用格鬥場。
