ID,_Mike_Kind,_BackG_Image,_BackGL_ImageX1,_BackGL_ImageY1,_BackGL_ImageX2,_BackGL_ImageY2,_BackGC_ImageX1,_BackGC_ImageY1,_BackGC_ImageX2,_BackGC_ImageY2,_BackGR_ImageX1,_BackGR_ImageY1,_BackGR_ImageX2,_BackGR_ImageY2,_Mike_Image,_Mike_ImageX1,_Mike_ImageY1,_Mike_imageX2,_Mike_ImageY2,_Num_Image,_Num_ImageX1,_Num_ImageY1,_Num_ImageX2,_Num_ImageY2,_Chanel_Image,_Chanel_ImageX1,_Chanel_ImageY1,_Chanel_ImageX2,_Chanel_ImageY2,_MikeB_Image,_MikeB_ImageX1,_MikeB_ImageY1,_MikeB_ImageX2,_MikeB_ImageY2,_Icon_Image1,_Icon_Image1X1,_Icon_Image1Y1,_Icon_Image1X2,_Icon_Image1Y2,_Icon_Image2,_Icon_Image2X1,_Icon_Image2Y1,_Icon_Image2X2,_Icon_Image2Y2,_Red,_Green,_Blue,_OutputID,_OutputMessage
170200101,0,10001901,1,136,2,150,2,136,4,150,4,136,5,150,10001901,6,136,25,150,10001901,41,136,111,150,10001901,26,136,37,150,10001901,38,136,40,150,10001901,0,0,0,0,10001901,0,0,0,0,255,255,255,[%s]:,%s
170200102,0,10001901,1,91,2,105,2,91,4,105,4,91,5,105,10001901,6,91,25,105,10001901,41,91,111,105,10001901,26,91,37,105,10001901,38,91,40,105,10001901,112,91,128,105,10001901,112,91,128,105,255,255,255,[%s]:,%s
170200201,1,10001901,1,151,2,165,2,151,4,165,4,151,5,165,10001901,6,151,25,165,10001901,41,151,111,165,10001901,26,151,37,165,10001901,38,151,40,165,10001901,0,0,0,0,10001901,0,0,0,0,255,255,255,[%s]:,%s
170200202,1,10001901,1,61,2,75,2,61,4,75,4,61,5,75,10001901,6,61,25,75,10001901,41,61,111,75,10001901,26,61,37,75,10001901,38,61,40,75,10001901,112,61,128,75,10001901,112,61,128,75,255,255,255,[%s]:,%s
170200203,1,10001901,1,76,2,90,2,76,4,90,4,76,5,90,10001901,6,76,25,90,10001901,41,76,111,90,10001901,26,76,37,90,10001901,38,76,40,90,10001901,112,76,128,90,10001901,112,76,128,90,255,255,255,[%s]:,%s
170200204,1,10001901,1,106,2,120,2,106,4,120,4,106,5,120,10001901,6,106,25,120,10001901,41,106,111,120,10001901,26,106,37,120,10001901,38,106,40,120,10001901,112,106,128,120,10001901,112,106,128,120,255,255,255,[%s]:,%s
170200103,0,10001901,1,1,2,15,2,1,4,15,4,1,5,15,10001901,6,1,25,14,10001901,41,1,111,15,10001901,26,1,37,15,10001901,38,1,40,15,10001901,0,0,0,0,10001901,0,0,0,0,255,255,255,[%s]:,%s
170200205,1,10001901,1,16,2,30,2,16,4,30,4,16,5,30,10001901,6,16,25,30,10001901,41,16,111,30,10001901,26,16,37,30,10001901,38,16,40,30,10001901,112,16,128,30,10001901,112,16,128,30,255,255,255,[%s]:,%s
170200105,0,10001901,1,31,2,45,2,31,4,45,4,31,5,45,10001901,6,31,25,45,10001901,41,31,111,45,10001901,26,31,37,45,10001901,38,31,40,45,10001901,112,31,128,45,10001901,112,31,128,45,255,255,255,[%s]:,%s
170200206,1,10001901,1,46,2,60,2,46,4,60,4,46,5,60,10001901,6,46,25,60,10001901,41,46,111,60,10001901,26,46,37,60,10001901,38,46,40,60,10001901,112,46,128,60,10001901,112,46,128,60,255,255,255,[%s]:,%s
170200107,0,10001901,1,121,2,135,2,121,4,135,4,121,5,135,10001901,6,121,25,135,10001901,41,121,111,135,10001901,26,121,37,135,10001901,38,121,40,135,10001901,112,121,128,135,10001901,112,121,128,135,255,255,255,[%s]:,%s
170200191,0,10001901,1,136,2,150,2,136,4,150,4,136,5,150,10001901,6,136,25,150,10001901,41,136,111,150,10001901,26,136,37,150,10001901,38,136,40,150,10001901,0,0,0,0,10001901,0,0,0,0,255,255,255,[%s]:,%s
170200291,1,10001901,1,151,2,165,2,151,4,165,4,151,5,165,10001901,6,151,25,165,10001901,41,151,111,165,10001901,26,151,37,165,10001901,38,151,40,165,10001901,0,0,0,0,10001901,0,0,0,0,255,255,255,[%s]:,%s
170200111,0,10001901,1,181,2,195,2,181,4,195,4,181,5,195,10001901,6,181,25,195,10001901,41,181,111,195,10001901,26,181,37,195,10001901,38,181,40,195,10001901,112,181,128,195,10001901,112,181,128,195,255,255,255,[%s]:,%s
